source_id	file_or_area	class_function	semantics	freecad_evidence	cad_core_target	current_status	next_step
C7M1-SRC-000	docs/CADCore方案/00-CAD-Core抽取方案.md	P7/CAD Core后续任务	Hole ModelThread and standard table were historically listed as remaining P7 PartDesign items	Old roadmap rows mention Hole ModelThread and standard-part table driven head dimensions but S0/S1 show live capability and source evidence must decide current truth	docs/CADCore7.0 package	baseline_rechecked_s1	S2
C7M1-SRC-101	src/Mod/PartDesign/App/FeatureHole.cpp	Hole::Hole/readCutDefinitions	Property registration and external head-cut dimension table load	Hole::Hole calls readCutDefinitions then ADD_PROPERTY_TYPE registers Threaded ModelThread ThreadType ThreadSize ThreadClass ThreadFit HoleCutType HoleCutDiameter HoleCutDepth ThreadDepthType UseCustomThreadClearance CustomThreadClearance BaseProfileType; readCutDefinitions scans Mod/PartDesign/Resources/Hole and user PartDesign/Hole JSON files	cad-core/src/part_design/feature_hole.cpp;cad-core/resources/hole	property_boundary_evidence_recorded	S2
C7M1-SRC-102	src/Mod/PartDesign/App/FeatureHole.cpp	Hole::updateHoleCutParams	Standard counterbore/countersink dimensions and fallback rules	Metric Counterbore reads ISO 4762; metric Countersink and Counterdrill read ISO 10642; HoleCutTypeMap dynamic standards set normed dimensions; missing normed rows fall back to calculateAndSetCounterbore/calculateAndSetCountersink or non-metric rule-of-thumb	cad-core/src/part_design/feature_hole.cpp;cad-core/fixtures/p7/hole-supported-threaded-standard-*;cad-core/fixtures/p7/hole-supported-threaded-dynamic-*	standard_head_cut_evidence_recorded	S2
C7M1-SRC-103	src/Mod/PartDesign/App/FeatureHole.cpp	Hole::determineDiameter/getThreadPitch/getThreadClassClearance	Thread table tap-drill diameter pitch ModelThread major diameter and class/custom clearance	getThreadPitch returns threadDescription pitch; getThreadClassClearance only adds ISO metric clearance when ThreadClass second char is G; determineDiameter uses custom/class clearance for ModelThread then TapDrill or BSP/BSW/BSF NPT pitch fallback and clearance tables	cad-core/src/part_design/feature_hole.cpp	thread_table_and_clearance_evidence_recorded	S2
C7M1-SRC-104	src/Mod/PartDesign/App/FeatureHole.cpp	Hole::execute	ModelThread compound tool boundary	execute builds revolve protoHole; when Threaded and ModelThread it calls makeThread then builder.MakeCompound and builder.Add protoHole plus protoThread into holeWithThread before findHoles	cad-core/src/part_design/feature_hole.cpp	model_thread_compound_evidence_recorded	S2
C7M1-SRC-105	src/Mod/PartDesign/App/FeatureHole.cpp	Hole::findHoles	Profile source center discovery and local transform	findHoles filters circle/arc edges by GeomAbs_Circle and adaptor.IsClosed against BaseProfileType; point mode uses getSubTopoShapes(TopAbs_VERTEX, TopAbs_EDGE); each center uses makeShapeWithElementMap(protoHole, mapper, {baseshape}) then makeElementTransform	cad-core/src/part_design/feature_hole.cpp;cad-core/src/part/topo_shape*	profile_source_history_evidence_recorded	S2
C7M1-SRC-106	src/Mod/PartDesign/App/FeatureHole.cpp	Hole::makeThread	Thread profile and pipe-shell geometry	makeThread reads ThreadDirection pitch and class/custom clearance; builds thread wire profile, makeLongHelix, BRepOffsetAPI_MakePipeShell, FaceMakerCheese end caps, sewing, solid, and reverses if classifier says inside	cad-core/src/part_design/feature_hole.cpp	pipe_shell_tool_evidence_recorded	S2
C7M1-SRC-201	cad-core/src/runtime/capability_contract.cpp	part_design.hole	Published capability and remaining gaps	S1 rechecked capability publishes thread_tables head_cut_definition_files model_thread status done_first_slice geometry pipe_shell history covered native_oracle_fixtures empty known gaps and remaining_gaps empty	cad-core/tests/test_adapters.py	publication_evidence_recorded	S2
C7M1-SRC-202	cad-core/tests/test_p7_features.py	CadCoreP7FeatureTest Hole tests	Focused assertions and historical contract	Hole tests cover supported native oracles standard head cuts model thread parameter state pipe-shell tool ModelThread plus counterbore expected and point profile source history	cad-core/tests/test_p7_features.py	focused_tests_evidence_recorded	S2
C7M1-SRC-203	cad-core/tools/collect_freecad_expected.py	collect_freecad_expected.py	Oracle collection command authority	Collector CLI accepts fixture path or --phase and --freecadcmd; S1 records collector command only and requires matching FreeCAD/LibPack/OCCT baseline for any expected refresh	cad-core/fixtures/p7/expected/*.freecad.json	collector_baseline_recorded	S2
