candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
DTE-CAND-001	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.h	Assembly::DistanceType	full_remaining_enum	DistanceType lists 37 values: 6 basic baseline values plus LineCircle CircleCircle PlaneCylinder PlaneSphere PlaneCone PlaneTorus CylinderCylinder CylinderSphere CylinderCone CylinderTorus ConeCone ConeTorus ConeSphere TorusTorus TorusSphere SphereSphere PointCylinder PointSphere PointCone PointTorus LineCylinder LineSphere LineCone LineTorus CurvePlane CurveCylinder CurveSphere CurveCone CurveTorus PointCurve and Other	cad-core/include/cad_core/assembly/joint_solver.h	DTE-SCOPE-002	S1 verified every remaining enum case is represented in scope matrix before S2 support decisions
DTE-CAND-002	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.cpp	Assembly::getDistanceType	classification_and_swap	Reads Reference1/2 element kind and primitive, then calls swapJCS so line circle plane cylinder cone torus sphere face or edge is in solver ordering before returning DistanceType	cad-core/src/assembly/joint_solver.cpp	DTE-SCOPE-002;DTE-SCOPE-003	S3 extend request-local classifier beyond point line plane using the same ordering
DTE-CAND-003	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.cpp	Assembly::getEdgeRadius	edge_circle_radius	TopoDS edge through BRepAdaptor_Curve returns sf.Circle().Radius() only for GeomAbs_Circle; every other edge type returns 0	cad-core/src/assembly/joint_solver.cpp;cad-core/src/geometry	DTE-SCOPE-003;DTE-SCOPE-004	S3 add edge radius evidence and S4 use it in LineCircle/CircleCircle scalars
DTE-CAND-004	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.cpp	Assembly::getFaceRadius	face_cylinder_sphere_radius	TopoDS face through BRepAdaptor_Surface returns Cylinder().Radius() for GeomAbs_Cylinder and Sphere().Radius() for GeomAbs_Sphere; plane cone torus and other faces return 0	cad-core/src/assembly/joint_solver.cpp;cad-core/src/geometry	DTE-SCOPE-003;DTE-SCOPE-005;DTE-SCOPE-006	S3 add face radius evidence and S4 use it in cylinder/sphere scalars while recording torus zero-radius behavior
DTE-CAND-005	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointDistance	edge_circle_mapping	LineCircle maps to ASMTRevCylJoint distanceIJ=getJointDistance+getEdgeRadius(ref2); CircleCircle adds getEdgeRadius(ref1)+getEdgeRadius(ref2)	cad-core/src/assembly/joint_solver.cpp	DTE-SCOPE-004	S4 implement edge circle ASMTRevCylJoint mapping after S5 oracle
DTE-CAND-006	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointDistance	plane_cylinder_sphere_mapping	PlaneCylinder maps to ASMTLineInPlaneJoint offset=getJointDistance+getFaceRadius(ref2); PlaneSphere maps to ASMTPointInPlaneJoint offset with the same face-radius correction	cad-core/src/assembly/joint_solver.cpp	DTE-SCOPE-005	S4 implement plane-to-radius surface mappings
DTE-CAND-007	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointDistance	cylinder_sphere_torus_mapping	CylinderCylinder maps to ASMTRevCylJoint, CylinderSphere and TorusSphere map to ASMTCylSphJoint, CylinderTorus maps to ASMTRevCylJoint, SphereSphere maps to ASMTSphSphJoint; distanceIJ adds getFaceRadius(ref1)+getFaceRadius(ref2) so torus contributes 0	cad-core/src/assembly/joint_solver.cpp	DTE-SCOPE-005;DTE-SCOPE-006	S4 implement or classify explicit surface mappings after oracle
DTE-CAND-008	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointDistance	torus_explicit_mapping	PlaneTorus and TorusTorus are explicit switch cases mapping to ASMTPlanarJoint offset=getJointDistance without radius correction	cad-core/src/assembly/joint_solver.cpp	DTE-SCOPE-006	S5 collect torus representative oracle before capability support
DTE-CAND-009	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointDistance	point_surface_mapping	PointCylinder maps to ASMTCylSphJoint distanceIJ=getJointDistance+getFaceRadius(face ref1); PointSphere maps to ASMTSphSphJoint with the same face-first radius correction	cad-core/src/assembly/joint_solver.cpp	DTE-SCOPE-005	S4 implement point-to-radius-surface mappings after oracle
DTE-CAND-010	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointDistance	point_curve_mapping	PointCurve explicitly maps to ASMTPointInPlaneJoint offset=getJointDistance after TODO comments about plane-of-curve versus conic tangent distance	cad-core/src/assembly/joint_solver.cpp	DTE-SCOPE-007	S5 collect oracle before deciding supported vs boundary
