candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
C10M1-SRC-101	src/Mod/Sketcher/App/SketchObject.cpp	SketchObject::buildInternals	sketch_internal_pipeline	buildInternals calls makeElementFace with Part::FaceMakerBuildFace, then WireJoiner setTightBound setMergeEdges addShape and getOpenWires openWires SKF before returning face/open-wire compound	cad-core/src/sketcher/sketch_object.cpp;cad-core/src/sketcher/sketch_internal_builder.cpp	C10M1-SCOPE-101,C10M1-SCOPE-103	S2_route_then_S3_S4
C10M1-SRC-102	src/Mod/Sketcher/App/SketchObject.cpp	SketchObject::getInternalElementMap	internal_element_alias_authority	getInternalElementMap iterates only TopAbs_VERTEX and TopAbs_EDGE, uses findSubShapesWithSharedVertex CheckGeometry SingleResult, and writes Internal* raw aliases; no raw FaceN alias for InternalFaceN	cad-core/src/app/element_map.cpp;cad-core/include/cad_core/part/topo_shape.h;cad-core/src/part/topo_shape.cpp	C10M1-SCOPE-104,C10M1-SCOPE-105	S5_selector_boundary
C10M1-SRC-103	src/Mod/Part/App/FaceMakerBuildFace.cpp	FaceMakerBuildFace::splitSelfIntersecting;splitAtIntersections;Build_Essence	near_tangent_coincident_face_build	Build_Essence runs splitSelfIntersecting then splitAtIntersections, records myPreSplitHistory AddModified, feeds BOPAlgo_BuilderFace, sets SetAvoidInternalShapes, and returns bounded areas	cad-core/src/part/face_maker.cpp	C10M1-SCOPE-101,C10M1-SCOPE-102	S3_oracle
C10M1-SRC-104	src/Mod/Part/App/FaceMaker.cpp	FaceMaker::Build;FaceMaker::postBuild	face_maker_history_chain	Build resets myPreSplitHistory and calls Build_Essence; postBuild chains MapperHistory myPreSplitHistory and MapperMaker mySplitter before mapSubElement so producer history, not output order, owns naming	cad-core/src/part/internal_shape_history_publisher.cpp;cad-core/include/cad_core/part/topo_shape.h;cad-core/src/part/topo_shape.cpp	C10M1-SCOPE-102	S3_then_S6_gate
C10M1-SRC-105	src/Mod/Part/App/WireJoiner.cpp	WireJoinerP::EdgeInfo;WireInfo;build	wire_joiner_state_machine	EdgeInfo carries wireInfo wireInfo2 iteration iteration2 and superEdge, WireInfo carries done and purge, buildClosedWire mutates aHistory and build materializes openWireCompound children	cad-core/src/part/wire_joiner.cpp;cad-core/src/part/internal_shape_history_publisher.cpp	C10M1-SCOPE-103,C10M1-SCOPE-104	S4_ledger_review
C10M1-SRC-106	src/Mod/Part/App/WireJoiner.cpp	WireJoinerP::getOpenWires;WireJoiner::Generated;Modified;IsDeleted	open_wire_history_export	getOpenWires optionally purges noOriginal wires, calls makeShapeWithElementMap with MapperHistory aHistory and sourceEdges, and exposes Generated Modified IsDeleted from aHistory	cad-core/src/part/wire_joiner.cpp;cad-core/src/part/internal_shape_history_publisher.cpp	C10M1-SCOPE-103,C10M1-SCOPE-104	S4_ledger_review
C10M1-SRC-107	src/Mod/PartDesign/App/FeatureSketchBased.cpp	ProfileBased::getTopoShapeVerifiedFace	profile_consumer_closed_face	getTopoShapeVerifiedFace resolves Profile LinkSub, separates open wires only for allowOpen, throws Cannot make face from profile when no face and allowOpen is false, and returns a verified face for PartDesign profile consumption	cad-core/src/part_design/profile_resolver.cpp	C10M1-SCOPE-105	S5_selector_review
C10M1-SRC-108	src/Mod/Sketcher/App/SketchObject.cpp;src/Mod/Part/App/FaceMakerBuildFace.cpp;src/Mod/Part/App/WireJoiner.cpp	buildInternals plus FaceMakerBuildFace plus WireJoiner	internalshape_profile_boundary	FreeCAD InternalShape may combine bounded FaceMaker result and WireJoiner open wires, but ProfileBased consumes closed faces; open wire evidence cannot become profile_ready fallback	cad-core/src/sketcher/sketch_internal_builder.cpp;cad-core/src/part_design/profile_resolver.cpp	C10M1-SCOPE-103,C10M1-SCOPE-105	S4_S5_boundary
C10M1-SRC-201	cad-core/src/sketcher/sketch_object.cpp	buildOptionalProfileFace;buildSketchInternalResult	current_sketch_executor_coverage	Current executor keeps profileShape and internalShape separate, reports unsupported_profile_region when FaceMakerBuildFace cannot produce bounded InternalFace regions, and publishes internal result metadata	cad-core/src/sketcher/sketch_object.cpp;cad-core/src/sketcher/sketch_internal_result.cpp	C10M1-SCOPE-101,C10M1-SCOPE-103	S2_route
C10M1-SRC-202	cad-core/src/sketcher/sketch_internal_builder.cpp	buildSketchInternals	current_internal_builder_coverage	buildSketchInternals calls makeFacesFromClosedWiresAndSplitEdgesDetailed, then WireJoiner with setTightBound setMergeEdges addSourceEdge addOpenWire buildFinalEdgeOwnership and buildResult SKF true, compounding open wires after bounded faces	cad-core/src/sketcher/sketch_internal_builder.cpp;cad-core/src/part/wire_joiner.cpp	C10M1-SCOPE-101,C10M1-SCOPE-103	S2_route
