id	non_goal	reason	owner_step	status	reopen_condition
C12M15-NONGOAL-001	Reopen C12-M11 closed internal edge response	C12-M11 already published closed profile backend contract as current_supported	All	active	Reopen only if new response evidence overturns C12-M11 S2/S3.
C12M15-NONGOAL-002	Treat EdgeN order as FreeCAD-grade stable id	EdgeN is current request indexed name; geometry extension id is the stable identity candidate	All	active	Never reopen as stable without geometry id or mapped-name ledger evidence.
C12M15-NONGOAL-003	Implement my-chili3d consumer sync in FreeCAD repo	Frontend token persistence belongs to my-chili3d follow-up; S2/S3 only say frontend must consume backend fields	S2/S3	active_s3_reaffirmed	Switch repos and open my-chili3d package if user asks.
C12M15-NONGOAL-004	Decide open wire raw EdgeN mesh product contract	Open wire mesh/null decision was separate from the C12-M15 stable-id ledger; 2026-07-05 live audit confirms current cad-core supports raw EdgeN mesh/subshapes	S0/S2/S3	superseded_current_supported_2026_07_05	Do not open C12-M11-OpenWireRawEdgeMeshProductContract by default; reopen only for new response/reference token regression.
C12M15-NONGOAL-005	Introduce persistent backend sketch session	CAD Core remains stateless and request-local	All	active	Never reopen unless root CAD Core stateless architecture changes.
C12M15-NONGOAL-006	Use mesh geometry similarity to recover identity	Mesh/polyline order is display output, not topology identity evidence; S2/S3 forbid mesh-order identity recovery	S2/S3	active_s3_reaffirmed	Only source geometry id, mapped name, ElementMap/ledger evidence or explicit diagnostic can drive identity.
C12M15-NONGOAL-007	Expand to full sketch solver identity	Solver constraint persistence is outside this stable edge token design	S2/S3	active	Open separate solver-facing package if constraints require it.
C12M15-NONGOAL-008	Implement C++ in S2	This step only publishes product contract; S3 decides current coverage or implementation boundary	S2	active_s2	Open implementation package only if S3 authorizes implementation_needed.
C12M15-NONGOAL-009	Add fixtures expected tests or adapters in S2	User explicitly scoped S2 to docs and matrices; no C++ validation artifacts are required	S2	active_s2	S3 or later implementation package may add focused tests if needed.
C12M15-NONGOAL-010	Run FreeCADCmd build or heavy regression in S2	S2 is documentation contract work and validation is limited to queue TSV whitespace and diff checks	S2	active_s2	Only stage release or implementation steps should run heavier validation when explicitly required.
C12M15-NONGOAL-011	Decide S3 current coverage in S2	S2 defines the contract but does not classify current_supported or implementation_needed	S2	active_s2	S3 owns current gap and minimum implementation boundary decision.
C12M15-NONGOAL-012	Implement C++ in S3	S3 only classifies current coverage and implementation boundary; it does not edit cad-core source, fixtures, expected, tests or adapters	S3	active_s3	Open a separate implementation package only if a future S4 or user decision explicitly authorizes it.
