scope_id	source_candidates	semantic_item	current_status	scope_reason	freecad_basis	cad_core_evidence	cad_core_landing	fixture_or_test_route	next_step
P5P6-SCOPE-001	P5P6-CAND-025;P5P6-CAND-026	MapperHistory event schema and terminal split/deleted/merge diagnostics	supported	S4 复审保持 supported：已存在 request-local MapperHistoryEvent schema、terminal split/deleted/merge diagnostics 和 focused C3M1/P6 evidence；不把旧 seed/S4 草案回退成 complete mapper backendGap	src/Mod/Part/App/TopoShapeExpansion.cpp::TopoShape::makeShapeWithElementMap consumes MapperHistory/MapperMaker	cad-core/include/cad_core/part/topo_shape_mapper.h defines source/target/shape_kind/relation/maker_stage/evidence/recoverability; cad-core/tests/test_p6_topology.py covers deleted and ambiguous split; cad-core/tests/test_adapters.py capabilities assert no complete_mapper_history known gap	cad-core/include/cad_core/part/topo_shape_mapper.h; cad-core/src/part/topo_shape_mapper.cpp; cad-core/src/part/topo_shape.cpp	c3m1 mapper-history-ambiguous-split; c3m1 shapefix-delete-small-edge; p6 topology diagnostics	Keep as supported baseline; S5/S6 producer gaps must feed this schema instead of redefining it
P5P6-SCOPE-002	P5P6-CAND-017;P5P6-CAND-018;P5P6-CAND-019;P5P6-CAND-020;P5P6-CAND-021;P5P6-CAND-022;P5P6-CAND-023;P5P6-CAND-024;P5P6-CAND-027;P5P6-CAND-028;P5P6-CAND-029;P5P6-CAND-030	ElementMap child map, mapped postfix, source-prefixed stable key and policy propagation	supported	S4 复审保持 supported：当前已覆盖 child map preserve/recursive/postfix/hash、source-prefixed key、mapped postfix alias、policy drop/propagate；不是 MapperHistory/ElementMap lifecycle blocker	src/App/ElementMap.cpp::addChildElements/hashChildMaps/getElementHistory/traceElement; src/App/MappedName.cpp	cad-core/include/cad_core/part/topo_shape.h documents child map/postfix/hash fields; cad-core/tests/test_p6_topology.py covers recursive/postfix/hash child maps; cad-core/tests/test_adapters.py exposes mapped_postfix_alias/source_prefixed_stable_key and no child-map known gaps	cad-core/include/cad_core/part/topo_shape.h; cad-core/src/part/topo_shape.cpp; cad-core/src/app/property_links.cpp	c3m1 element-map-child-map-recursive-compound; c3m1 element-map-child-map-postfix-compound; c3m1 element-map-child-map-hash-key-compound	Keep as supported baseline; future resolver work may consume but should not reopen without failing evidence
P5P6-SCOPE-003	P5P6-CAND-013;P5P6-CAND-014;P5P6-CAND-015;P5P6-CAND-016;P5P6-CAND-031;P5P6-CAND-032	Unified resolver for LinkSub, StableSubList, source key, mapped postfix, split/deleted diagnostics and ReferenceShadow writeback	supported	S4 复审保持 supported：已存在 runtime ReferenceShadow validation/update、split/deleted diagnostic route、source object rename recovery 和 UpToFace/ExternalGeometry stable reference focused tests；ReferenceShadow.brep 只作为旧单 subshape evidence	src/App/GeoFeature.cpp::resolveElement/updateElementReference; src/App/PropertyLinks.cpp::_updateElementReference; src/Mod/Part/App/PartFeature.cpp::getRelatedElements	cad-core/src/runtime/recompute.cpp validates ReferenceShadow and emits elementReferenceUpdates; cad-core/tests/test_p6_topology.py covers UpToFace ReferenceShadow update and source object rename; cad-core/tests/test_diagnostics.py covers split/deleted stable diagnostics	cad-core/src/runtime/recompute.cpp; cad-core/src/app/property_links.cpp; cad-core/src/part/topo_shape_reference.cpp	p6 up-to-face-stable-body-history; c3m2 source-object-rename-recovery; p6 stable-subname diagnostics	Keep as supported resolver baseline; S5/S6 must not move resolver business logic into adapters
P5P6-SCOPE-004	P5P6-CAND-004;P5P6-CAND-007;P5P6-CAND-008;P5P6-CAND-009	ExternalGeometry missing repair and source-prefixed stable reference recovery	supported	已有 source-prefixed stable key oracle和 Missing flag focused recovery，失败时走 stable diagnostics；不按当前输出反推	src/Mod/Sketcher/App/SketchObjectExternal.cpp::rebuildExternalGeometry/fixExternalGeometry/updateGeometryRefs	cad-core/fixtures/p6/expected/sketch-external-edge-stable-body-profile-source.freecad.json cites FreeCADCmd oracle; cad-core/tests/test_p5_sketch.py covers c3m2 sketch-external-missing-fix and missing snapshot diagnostics	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/runtime/recompute.cpp	p6 sketch-external-edge-stable-body-profile-source; c3m2 sketch-external-missing-fix	Keep supported for source-prefixed recovery; separate state-machine oracle remains SCOPE-008
P5P6-SCOPE-005	P5P6-CAND-005	ExternalGeometry projection/intersection baseline for edge, vertex, face and whole-shape routes	supported	P5 已有 ExternalTypes Projection/Intersection/Both、face/edge/vertex、circle/ellipse edge focused coverage；复杂 HLR/非平面仍不由本行扩大	scope basis: src/Mod/Sketcher/App/SketchObjectExternal.cpp::rebuildExternalGeometry projection/intersection path	cad-core/tests/test_p5_sketch.py covers external edge/face/intersection/Both and non-parallel circle/ellipse variants; fixtures/p5 expected files provide checked-in evidence	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/part/part_feature.cpp	p5 sketch-external-edge; p5 sketch-external-face-intersection; p5 sketch-external-face-both	Keep supported baseline; unsupported projection variants must use diagnostics or new oracle before expansion
P5P6-SCOPE-006	P5P6-CAND-001;P5P6-CAND-002;P5P6-CAND-003;P5P6-CAND-010;P5P6-CAND-011	ExternalGeometryExtension flags parse/capability route	supported	协议字段、ExternalFlags 解析、capabilities 暴露和 request-local state update payload 已存在；这不等同于全部 FreeCAD oracle parity	src/Mod/Sketcher/App/ExternalGeometryExtension.* defines Defining/Frozen/Detached/Missing/Sync; ExternalGeometryFacade stores Ref	cad-core/src/app/property_links.cpp reads ExternalFlags; cad-core/src/adapters/c_api/c_api.cpp exposes flags/lifecycle; cad-core/tests/test_adapters.py asserts flags and lifecycle capabilities	cad-core/src/app/property_links.cpp; cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/adapters/c_api/c_api.cpp	c_api capabilities test; p5 external geometry state focused tests	Keep protocol support; semantic parity cases remain SCOPE-007 and SCOPE-008
P5P6-SCOPE-007	P5P6-CAND-003;P5P6-CAND-010;P5P6-CAND-011	Defining external profile parity	supported	Defining native oracle 已采集并与 cad-core 对齐：collector 通过 SketchObjectPy::addExternal(..., defining=True) 保留 ExternalFlags，FreeCAD expected 证明 ExternalGeo 仍为 construction 但带 Defining 标志并参与 profile；reference-only 对照保持不参与 profile 且 downstream Pad 给出 open_profile diagnostic	src/Mod/Sketcher/App/ExternalGeometryExtension.h defines Defining as allow an external geometry to build shape; src/Mod/Sketcher/App/SketchObjectExternal.cpp::addExternal passes defining into rebuildExternalGeometry and rebuildExternalGeometry propagates link defining flags; src/Mod/PartDesign/App/FeatureSketchBased.cpp::getProfileNormal returns Part2DObject Placement normal	cad-core/fixtures/p5/sketch-external-defining-profile.json and expected/sketch-external-defining-profile.freecad.json record FreeCADCmd oracle with four Defining ExternalGeo items, InternalShape face, and Pad 10x5x4 result; cad-core/tests/test_p5_sketch.py covers Defining success and reference-only Pad diagnostic; cad-core/src/part_design/feature_extrude.cpp consumes Sketch profileNormal for FreeCAD extrusion direction parity	cad-core/tools/collect_freecad_expected.py; cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/sketcher/sketch_object.cpp; cad-core/src/part_design/feature_extrude.cpp	p5 sketch-external-defining-profile; focused Defining/reference-only tests	Keep supported; do not reopen unless a native FreeCAD expected contradicts Defining ExternalGeo flags, profile participation, Pad/Pocket result, or reference-only diagnostic behavior
P5P6-SCOPE-008	P5P6-CAND-002;P5P6-CAND-003;P5P6-CAND-006;P5P6-CAND-010	Frozen, Frozen+Sync, Detached and unresolved Missing state-machine parity	notCollected	S6 live probe 保持 notCollected：request-local behavior and update payload are covered, but source-changed Frozen/Sync/Detached/Missing and deleted-target behavior still lack reliable FreeCAD oracle; Missing/deleted must use resolver or ReferenceShadow evidence, not sketcher guessing	src/Mod/Sketcher/App/SketchObjectExternal.cpp::rebuildExternalGeometry skips Frozen without Sync, clears Sync after rebuild, sets Missing from refSet, and pre-resolves Missing via GeoFeature::resolveElement; src/Mod/Sketcher/App/SketchObject.cpp::onExternalGeoChanged clears Detached refs and removes ExternalGeometry links	cad-core/tests/test_p5_sketch.py covers Frozen, Frozen+Sync, Detached, Missing, native ExternalGeo and C3M2 snapshot diagnostics; FreeCADCmd /home/user/.local/bin/freecadcmd reports FreeCAD 1.2.0 Revision 20260519 but minimal Sketch.addExternal('Box','Face1') probe exits with Application unexpectedly terminated, so state-machine oracle was not collected	cad-core/src/sketcher/sketch_object_external.cpp; cad-core/src/runtime/recompute.cpp	p5/c3m2 frozen sync detached missing FreeCAD oracle pending	Repair native state-machine oracle collector for Frozen without Sync, Frozen+Sync, Detached, Missing object/subshape, deleted target, snapshot present/missing; then reclassify supported/backendGap/unsupported
P5P6-SCOPE-009	P5P6-CAND-033;P5P6-CAND-034;P5P6-CAND-035	FaceMakerBuildFace pre-split and splitter concrete history producer	supported	S6 closed：FaceMaker now has concrete edge and bounded-face producer evidence feeding SketchInternalHistoryContext and topo mapper events; facemaker_history:summary_only remains diagnostic-only when no concrete evidence exists	src/Mod/Part/App/FaceMaker.cpp::FaceMaker::postBuild consumes myPreSplitHistory and mySplitter through MapperHistory/MapperMaker; FaceMakerBuildFace.cpp::splitSelfIntersecting records myPreSplitHistory->AddModified and splitAtIntersections fills mySplitter	cad-core/include/cad_core/part/face_maker.h exposes FaceMakerHistorySummary edgeEvidence/boundedFaceEvidence; cad-core/src/part/face_maker.cpp records preSplitHistory/splitterHistory lineage; cad-core/src/part/topo_shape.cpp consumes FaceMaker producer evidence before summary diagnostics	cad-core/src/part/face_maker.cpp; cad-core/src/part/topo_shape.cpp; cad-core/src/sketcher/sketch_object.cpp; cad-core/src/app/element_map.cpp	p5 self-intersection, bounded split, closed-hole internal shape fixtures; focused S6 tests passed for FaceMaker bounded faces and source-edge one-to-many split	Keep as supported baseline; ambiguous producer-missing cases may only emit summary_only/producer-missing diagnostics and must not synthesize terminal history
P5P6-SCOPE-010	P5P6-CAND-036;P5P6-CAND-037;P5P6-CAND-038;P5P6-CAND-039;P5P6-CAND-040;P5P6-CAND-041;P5P6-CAND-042	WireJoiner openWireCompound child-wire history and current-member vertex multiplicity parity	supported	S6 closed for recoverable parity：WireJoiner child-wire event ledger and current-member vertex evidence are consumed as producer history; unrecoverable one-to-many cases remain stable diagnostics without output pruning	src/Mod/Part/App/WireJoiner.cpp::WireJoinerP::build exports openWireCompound final child wires; getOpenWires(noOriginal) filters source wires then consumes MapperHistory(aHistory); EdgeInfo/WireInfo/iteration2/superEdge carry ownership state	cad-core/include/cad_core/part/wire_joiner.h documents child-wire/current-member ledgers; cad-core/src/part/topo_shape.cpp consumes wireJoinerOpenExportHistoryEntries for mapper events and unique ElementMap aliases, while wire_joiner_current_member_vertex_multiplicity_blocked is diagnostic-only	cad-core/src/part/wire_joiner.cpp; cad-core/include/cad_core/part/wire_joiner.h; cad-core/src/part/topo_shape.cpp	p5 open wire, dangling line, through-open-cutter, branch/open cutter fixtures; focused S6 tests passed for child-wire ownership, branch cutter, t-junction cutter and internal branch cutter	Keep as supported baseline for recoverable child-wire vertex multiplicity parity; ambiguous one-to-many cases remain diagnostics and must not rewrite topology
