boundary_id	source_row	source_matrix	final_status	final_route	c7m5_freeze	reopen_condition
C7M5-P7-FREEZE-001	P7T-SCOPE-001	p7_transformed_scope_review_matrix.tsv	supported	Mirrored Features and Whole shape topology hard oracle closed by S6	Inherited closed baseline; do not reopen mirrored topology_counts or final-result refine in C7-M5	Reopen only with new collected source-backed oracle mismatch
C7M5-P7-FREEZE-002	P7T-SCOPE-002	p7_transformed_scope_review_matrix.tsv	supported	LinearPattern Features and Whole shape topology hard oracle closed by S6	Inherited closed baseline; do not reopen LinearPattern datum-line sketch-axis two-direction or body-prefix topology_counts in C7-M5	Reopen only with new collected source-backed oracle mismatch
C7M5-P7-FREEZE-003	P7T-SCOPE-003	p7_transformed_scope_review_matrix.tsv	supported	PolarPattern support-backed Whole shape topology closed by S6	Inherited closed baseline for support-backed route; standalone polar-pattern-whole-shape stays nonGoal	Reopen only with support-backed native lifecycle evidence
C7M5-P7-FREEZE-004	P7T-SCOPE-004	p7_transformed_scope_review_matrix.tsv	supported	Scaled Whole shape topology closed by S6	Inherited closed baseline; keep scaled features and Whole shape topology regression	Reopen only with new collected source-backed oracle mismatch
C7M5-P7-FREEZE-005	P7T-SCOPE-005	p7_transformed_scope_review_matrix.tsv	supported	MultiTransform topology hard oracle closed by S6	Inherited closed baseline; do not reopen linear+mirror whole-shape scaled-diagonal or divisor diagnostic without evidence	Reopen only with composition-specific collected mismatch evidence
C7M5-P7-FREEZE-006	P7T-SCOPE-006	p7_transformed_scope_review_matrix.tsv	supported	Transformed pattern ownership and maker-history release evidence supported	Inherited supported covered baseline; C7-M5 may only ask whether more complex ownership needs new oracle	Reopen only with source-audit evidence or collected history oracle mismatch
C7M5-P7-FREEZE-007	P7T-SCOPE-007	p7_transformed_scope_review_matrix.tsv	supported	Transformed copy source alias and terminal diagnostics supported baseline	Inherited supported baseline for TransformN aliases original stable aliases split deleted terminal diagnostics and merge history	Reopen only from transform-copy and ElementMap copy source evidence
C7M5-P7-FREEZE-101	P7T-BG-001	p7_transformed_backend_gap_classification.tsv	closed	collected-oracle-supported-closed	Inherited supported closed baseline for P7T-SCOPE-001..005; no open C++ landing	Reopen only with new collected source-backed oracle mismatch
C7M5-P7-FREEZE-102	P7T-BG-002	p7_transformed_backend_gap_classification.tsv	covered	ownership-fallback-supported-covered	Inherited supported covered baseline for ownership fallback and composition; no C7-M5 backendGap without new evidence	Reopen only with source-audit evidence or collected history oracle mismatch
C7M5-P7-FREEZE-103	P7T-BG-003	p7_transformed_backend_gap_classification.tsv	nonGoal	standalone lifecycle boundary	Inherited lifecycle boundary; standalone geometry-equivalent cases cannot become backendGap	Reopen only with support-backed native fixture or reproducible FreeCAD lifecycle oracle
C7M5-P7-FREEZE-201	P7T-BLOCK-001	p7_transformed_blocker_queue.tsv	closed	mirrored_topology_oracle_closed	Inherited blocker closure; keep mirrored focused tests and expected topology_counts	Reopen only with new collected source-backed oracle mismatch
C7M5-P7-FREEZE-202	P7T-BLOCK-002	p7_transformed_blocker_queue.tsv	closed	linear_pattern_topology_oracle_closed	Inherited blocker closure; keep LinearPattern focused tests and expected topology_counts	Reopen only with new collected source-backed oracle mismatch
C7M5-P7-FREEZE-203	P7T-BLOCK-003	p7_transformed_blocker_queue.tsv	closed	whole_shape_pattern_scaled_topology_oracle_closed	Inherited closure for support-backed routes; standalone polar-pattern-whole-shape remains nonGoal	Reopen only with support-backed native lifecycle evidence
C7M5-P7-FREEZE-204	P7T-BLOCK-004	p7_transformed_blocker_queue.tsv	closed	multi_transform_topology_backendGap_closed	Inherited blocker closure without fixture geometry source-index or transform-index fallback	Reopen only with composition-specific collected mismatch evidence
C7M5-P7-FREEZE-205	P7T-BLOCK-005	p7_transformed_blocker_queue.tsv	closed	ownership_fallback_release_evidence_supported	Inherited ownership fallback closure; C7-M5 must not convert to backendGap without new source or oracle evidence	Reopen only with source-audit evidence or collected history oracle mismatch
C7M5-P7-FREEZE-301	P7T-NG-001	p7_transformed_non_goal_registry.tsv	nonGoal	complete Sketcher solver	Inherited nonGoal; transformed work consumes existing Sketch and AddSubShape products	Open a dedicated Sketcher solver plan
C7M5-P7-FREEZE-302	P7T-NG-002	p7_transformed_non_goal_registry.tsv	nonGoal	Assembly solver and Joint constraints	Inherited nonGoal; Assembly solve belongs to P8	Open P8 Assembly solver mainline
C7M5-P7-FREEZE-303	P7T-NG-003	p7_transformed_non_goal_registry.tsv	nonGoal	complete transformed parameter universe	Inherited nonGoal; unsupported parameter paths must stay diagnostic unless source and oracle justify promotion	Promote only with FreeCAD source fixture need and collected mismatch evidence
C7M5-P7-FREEZE-304	P7T-NG-004	p7_transformed_non_goal_registry.tsv	nonGoal	cross-request BREP cache state	Inherited nonGoal under stateless CAD Core boundary	Reopen only if architecture docs change stateless boundary
C7M5-P7-FREEZE-305	P7T-NG-005	p7_transformed_non_goal_registry.tsv	nonGoal	standalone geometry-equivalent native golden	Inherited nonGoal; standalone Whole shape cannot become native topology or ownership oracle without Body support lifecycle	Reopen when collector can reproduce FreeCAD lifecycle without fabricating Body or support state
