scope_id	parent_source	representative	initial_route	why_same_batch	cad_core_boundary	next_step
C7M6-SCOPE-000	C7-M5 release baseline;P8 live doc	C7-M6 live baseline and P8 covered boundary	baseline_frozen	S0 froze HEAD/status, empty C7-M1..M5 queues and current P8 Assembly supported / expected-backed / diagnostic boundaries before any oracle or implementation	docs;matrix	S1
C7M6-SCOPE-101	P8 Assembly baseline	GroundedJoint and existing request-local solver placement baseline	already_covered	S1/S2 rechecked AssemblyObject::solve and current real Ondsel adapter; c3m6 expected/tests cover grounded JointType matrix, request-local solve and placement writeback	cad-core/src/assembly;cad-core/tests/test_p8_features.py	S3
C7M6-SCOPE-201	P8 Assembly marker baseline	Marker placement first slices and subshape placement ownership	already_covered	S1/S2 rechecked handleOneSideOfJoint and current marker resolver; object-level and Vertex/Edge/Face subshape marker slices are expected-backed and must not be reopened	cad-core/src/assembly/joint_solver.cpp;cad-core/fixtures/c3m6	S3
C7M6-SCOPE-202	C7M6-SCOPE-201	Non-identity connector and nested object-global marker chain	oracle_candidate	Same FreeCAD handleOneSideOfJoint ledger covers Placement1/2 connector, object-global to part-local transform, native_marker_oracle and solver writeback evidence	cad-core/src/assembly/joint_solver.cpp;cad-core/fixtures/c3m6	S3
C7M6-SCOPE-203	C7M6-SCOPE-201;C7M6-SCOPE-401	Bundled offsetPlc marker/writeback lifecycle	oracle_blocker	Source shows offsetPlc in both marker creation and writeback, but current fixture grammar/expected only proves identity offset boundary; S3 must first prove a native lifecycle	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_object.cpp	S3
C7M6-SCOPE-301	P8 Assembly remaining constraints	Grounded JointType matrix and DistanceType mapped/diagnostic boundaries	already_covered	S1/S2 rechecked makeMbdJointOfType / makeOndselJointOfType; current tests cover Parallel, Perpendicular, RackPinion, Screw, Gears, Belt, nonzero Angle, DistanceType mapped rows, PointLine source/native expected delta and diagnostic boundaries	cad-core/src/assembly/joint_solver.cpp;cad-core/include/cad_core/assembly/joint_solver.h	S3
C7M6-SCOPE-302	C7M6-SCOPE-301	Angle zero fallback and signed current-value scalar evidence	oracle_candidate	Same FreeCAD constraint scalar path covers Angle zero fallback, getJointCurrentValue, UtilsAssembly getJointDistance/getJointXYAngle and native marker current_value fields	cad-core/src/assembly/joint_solver.cpp;cad-core/fixtures/c3m6	S3
C7M6-SCOPE-401	P8 Assembly writeback	Multi-component placement writeback and documentObjectUpdates	already_covered	S1/S2 rechecked solve / setNewPlacements and cad-core documentObjectUpdates; tests cover single, multi-component, partial and next-request no-update behavior	cad-core/src/assembly/assembly_utils.cpp;cad-core/src/assembly/assembly_object.cpp	S3
C7M6-SCOPE-501	P8 non-goal boundary	GUI drag session, persistent solver session, cross-request state, full Link lifecycle and Worker / WASM / Web	diagnostic_non_goal	These paths require UI/session/product adapter lifecycle and do not belong to this no-state CAD Core solver implementation batch	docs only	S3
C7M6-SCOPE-601	C7M6-SCOPE-202;C7M6-SCOPE-203;C7M6-SCOPE-302	Implementation gate	gate_pending_no_s2_backend_gap_candidate	S4 must decide already_closed_expected_backed, backend_gap_requires_implementation, oracle_blocked or diagnostic_non_goal after S3 native oracle/blocker; S2 opens no C++ edit gate	cad-core/src/assembly;cad-core/tests;cad-core/fixtures/c3m6	S4
