id	fixture	feature_path	freecad_oracle	expected_shape	scope	step	status	notes
SWEEP-FIX-001	part-sweep-right-corner-surface	Connected two-edge L spine plus one closed asymmetric profile; Part::Sweep Spine=PathWire, Sections=[Profile], Solid=false, Frenet=true, Transition=Right corner, Linearize=false	Native Part::Sweep expected to be collected in S1; tests assert source fields, shell output, default Right corner transition and PipeShell maker history	shell from closed profile along bent spine	SWEEP-SCOPE-001;SWEEP-SCOPE-002;SWEEP-SCOPE-003;SWEEP-SCOPE-004	S1	planned-S1	Source-backed smoke; covers FreeCAD default Transition=Right corner without relying on final bbox only
SWEEP-FIX-002	part-sweep-solid	Same style single-wire spine plus closed profile; Part::Sweep Solid=true, Frenet=true, Transition=Right corner	Native Part::Sweep expected to be collected in S1; tests assert occt_solid or equivalent solid classification, positive volume, fields and maker history	solid sweep	SWEEP-SCOPE-001;SWEEP-SCOPE-003;SWEEP-SCOPE-004	S1	planned-S1	Prevents an implementation that always returns a surface shell and ignores MakeSolid()
SWEEP-FIX-003	part-sweep-frenet-off	Curved spine plus one asymmetric profile; Part::Sweep Solid=false, Frenet=false, Transition=Right corner	Native Part::Sweep expected to be collected in S1; tests assert Frenet=false is parsed and routed to SetMode(false) while history remains PipeShell maker-backed	corrected-Frenet shell	SWEEP-SCOPE-001;SWEEP-SCOPE-003;SWEEP-SCOPE-004	S1	planned-S1	Uses geometry where frame choice can affect orientation; not just a boolean echo
SWEEP-FIX-004	part-sweep-transition-transformed	Bent single-wire spine plus asymmetric profile; Part::Sweep Solid=false, Frenet=true, Transition=Transformed	Native Part::Sweep expected to be collected in S1; tests assert transition enum 0 routes to BRepBuilderAPI_Transformed	transformed-corner shell	SWEEP-SCOPE-003;SWEEP-SCOPE-004	S1	planned-S1	Completes the first of the three OCCT transition modes
SWEEP-FIX-005	part-sweep-transition-round-corner	Same bent-spine family as transition rows; Part::Sweep Solid=false, Frenet=true, Transition=Round corner	Native Part::Sweep expected to be collected in S1; tests assert transition enum 2 routes to BRepBuilderAPI_RoundCorner	round-corner shell	SWEEP-SCOPE-003;SWEEP-SCOPE-004	S1	planned-S1	Right corner is covered by SWEEP-FIX-001/002; this row prevents a two-mode implementation
SWEEP-FIX-006	part-sweep-spine-subedges	Spine source exposes multiple connected edges; Part::Sweep.Spine is App::PropertyLinkSub value=PathSource with SubList=[Edge1,Edge2], Sections=[Profile]	Native Part::Sweep expected to be collected in S1; tests assert selected subshapes are compounded into one wire before PipeShell and source trace still includes spine/profile inputs	sweep from selected spine subchain	SWEEP-SCOPE-001;SWEEP-SCOPE-002;SWEEP-SCOPE-004	S1	planned-S1	Covers the Sweep::execute() SubValues branch that full-object spine fixtures miss
SWEEP-FIX-007	part-sweep-open-profile-surface	Single-wire spine plus one open edge or open wire profile; Part::Sweep Solid=false, Frenet=true, Transition=Right corner	Native Part::Sweep expected to be collected in S1; tests assert prepareProfiles edge-to-wire/open-wire handling and shell/surface output	open-profile surface	SWEEP-SCOPE-002;SWEEP-SCOPE-004	S1	planned-S1	Keeps profile support aligned with prepareProfiles instead of only closed face/wire profiles
SWEEP-FIX-008	part-sweep-invalid-inputs	Diagnostic fixture group for empty Sections, missing Spine, invalid Spine SubList, disconnected or multi-wire spine, invalid section link, and non-profile section shape	Diagnostic expected or focused diagnostic assertions to be added in S1; no fabricated FreeCAD expected shape payload	diagnostics	SWEEP-SCOPE-001;SWEEP-SCOPE-002;SWEEP-SCOPE-005	S1	planned-S1	Expected source strings include "No sections linked.", "No spine", "Invalid spine", "Invalid section link", "Spine shape cannot form a single wire", and "Profile shape is not a single vertex, edge, wire nor face."
SWEEP-FIX-009	part-sweep-linearize	Valid Part::Sweep with Linearize=true after the same source-backed setup	S0 source shows Linearize is post-processing after makeElementPipeShell; do not publish until expected can distinguish simplification from PipeShell construction	post-processed sweep	SWEEP-SCOPE-006	S2+	deferred-S0	S1 may parse and reject/defer Linearize=true; it is not required for first support publication
SWEEP-FIX-010	part-pipeshell-advanced-wrapper	Part.BRepOffsetAPI_MakePipeShell auxiliary spine, located profile Add(profile, location), spine support, trihedron/binormal modes, and Hole ModelThread internal PipeShell use	no Part::Sweep oracle fixture in this package; keep as non-goal or future dedicated package	non-goal	SWEEP-SCOPE-006;SWEEP-SCOPE-007	S2+	nonGoal-S0	Advanced wrapper and Hole thread implementation are not evidence that source-backed Part::Sweep is supported
