candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
SRJ-CAND-001	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.h	Assembly::JointType	joint_type_enum	JointType enum includes RackPinion and Screw before Gears and Belt	cad-core/src/assembly/joint_solver.cpp	SRJ-SCOPE-003;SRJ-SCOPE-004	S1 verify enum order against JointObject.py
SRJ-CAND-002	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/JointObject.py	JointUsingDistance	joint_property_strings	JointUsingDistance includes RackPinion and Screw; Distance UI text describes pitch radius and thread pitch	cad-core/src/assembly/joint_group.cpp;cad-core/include/cad_core/assembly/joint_solver.h	SRJ-SCOPE-003;SRJ-SCOPE-004	S1 keep GUI labels out of solver support predicate
SRJ-CAND-003	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointOfType	screw_mbd_mapping	case JointType::Screw requires slidingPartIndex, optional swapJCS, and returns ASMTScrewJoint with pitch from Distance	cad-core/src/assembly/joint_solver.cpp	SRJ-SCOPE-002;SRJ-SCOPE-003	S3/S6 implement Screw mapping after sliding precondition
SRJ-CAND-004	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointOfType	rackpinion_mbd_mapping	case JointType::RackPinion returns ASMTRackPinionJoint with pitchRadius from Distance	cad-core/src/assembly/joint_solver.cpp	SRJ-SCOPE-004	S4/S6 implement RackPinion mapping
SRJ-CAND-005	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::slidingPartIndex	sliding_side_detection	scans same Assembly Slider joints and compares target joint JCS pitch and roll	cad-core/src/assembly/joint_solver.cpp	SRJ-SCOPE-002	S3 implement request-local sliding side helper
SRJ-CAND-006	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::swapJCS	jcs_ordering	Screw and RackPinion call swapJCS when sliding side is not first	cad-core/src/assembly/joint_solver.cpp	SRJ-SCOPE-002;SRJ-SCOPE-003;SRJ-SCOPE-004	S3 implement DTO-level swap without graph mutation
SRJ-CAND-007	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJoint	marker_branch	only RackPinion branches to getRackPinionMarkers; Screw uses ordinary marker path after any JCS swap	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_utils.cpp	SRJ-SCOPE-003;SRJ-SCOPE-004	S4 keep RackPinion marker rewrite separate from Screw
SRJ-CAND-008	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::getRackPinionMarkers	rack_marker_rewrite	rack marker Z axis aligns with pinion Z and X axis aligns with sliding axis; yaw adjustment is computed before marker creation	cad-core/src/assembly/joint_solver.cpp	SRJ-SCOPE-004	S4 implement marker rewrite before Ondsel marker creation
SRJ-CAND-009	/home/user/Chili3DProject/FreeCAD/src/3rdParty/OndselSolver/OndselSolver/ASMTScrewJoint.h	MbD::ASMTScrewJoint	ondsel_joint_field	ASMTScrewJoint exposes pitch and aConstant fields	cad-core/src/assembly/joint_solver.cpp	SRJ-SCOPE-003	S3/S6 use pitch field directly
SRJ-CAND-010	/home/user/Chili3DProject/FreeCAD/src/3rdParty/OndselSolver/OndselSolver/ASMTRackPinionJoint.h	MbD::ASMTRackPinionJoint	ondsel_joint_field	ASMTRackPinionJoint exposes pitchRadius and aConstant fields	cad-core/src/assembly/joint_solver.cpp	SRJ-SCOPE-004	S4/S6 use pitchRadius field directly
SRJ-CAND-011	/home/user/Chili3DProject/FreeCAD/cad-core/src/assembly/joint_solver.cpp	buildAssemblySolveRequest;makeOndselJointOfType	cad_core_adapter_gap	current supported predicate excludes RackPinion and Screw; request builder lacks sliding-side precondition and special marker rewrite	cad-core/src/assembly/joint_solver.cpp	SRJ-SCOPE-002;SRJ-SCOPE-003;SRJ-SCOPE-004	S3-S4 implement adapter gaps
SRJ-CAND-012	/home/user/Chili3DProject/FreeCAD/cad-core/tests/test_p8_features.py	CadCoreP8FeatureTest	focused_tests_coverage	current grounded joint matrix covers Gears/Belt but no Screw/RackPinion; unsupported diagnostic fixture still covers RackPinion	cad-core/fixtures/c3m6	SRJ-SCOPE-005	S5 add focused Screw/RackPinion fixtures and assertions
SRJ-CAND-013	/home/user/Chili3DProject/FreeCAD/cad-core/src/adapters/c_api/c_api.cpp	assembly capabilities	publication_surface	current supported_joint_matrix omits RackPinion/Screw; unsupported_joint_matrix contains both	cad-core/tests/test_adapters.py	SRJ-SCOPE-006	S5 update supported and unsupported publication after implementation and expected pass
SRJ-CAND-014	/home/user/Chili3DProject/FreeCAD/docs/FreeCAD几何生态迁移工程-细分/P8-Assembly-Joint-Placement-OndselSolver收敛主线/矩阵/p8_assembly_solver_scope_review_matrix.tsv	P8ASM-SCOPE-007	upstream_matrix	P8ASM-SCOPE-007 currently keeps RackPinion/Screw diagnostic-only and complex Distance notCollected	docs/FreeCAD几何生态迁移工程-细分/P8-Assembly-Joint-Placement-OndselSolver收敛主线	SRJ-SCOPE-006	S5 update upstream matrix after implementation
