id	axis	source_candidate	product_boundary	expected_status	current_comparison_status	admission	required_evidence	request_local_judgement	s4_close_condition	owner_step
C12M3-SCOPE-001	edge_wire_provenance	C12M3-SRC-004,C12M3-SRC-007,C12M3-SRC-009,C12M3-SRC-011,C12M3-SRC-014	request_local_mapper_history_possible	native_expected_missing_c5m9_context_only	comparison_blocked_until_expected_ready	probe_admitted	Native artifact must name source Projection LinkSubList item/subname and target Edge/Wire/fragments through getElementHistory, mapShapes, mapSubElement, MapperHistory or ElementMap; C5-M9 source-backed expected is context only.	Admitted only if evidence is produced within one FreeCADCmd request from object result or intermediate shapes; bbox, order, EdgeN and fixture-name guessing are rejected.	S4 marks native_provenance_expected_ready with source/target endpoints or closes as native_hidden_retained, collector_bug or product_boundary_rejected.	S2
C12M3-SCOPE-002	face_rebuild_provenance	C12M3-SRC-005,C12M3-SRC-007,C12M3-SRC-008,C12M3-SRC-009,C12M3-SRC-011,C12M3-SRC-014	request_local_mapper_history_possible	native_expected_missing_c5m9_context_only	comparison_blocked_until_expected_ready	probe_admitted	Native artifact must expose source face/wire/edge endpoint to rebuilt Face/Wire/Edge endpoint history through ElementMap, MapperHistory or TopoShapePy history APIs.	Admitted only for request-local history on result/intermediate shapes; face order, bbox, target counts and fixture names cannot substitute for ownership.	S4 publishes source-backed face rebuild provenance or closes native_hidden_retained, collector_bug or product_boundary_rejected.	S2
C12M3-SCOPE-003	all_compound_height_offset	C12M3-SRC-006,C12M3-SRC-008,C12M3-SRC-010,C12M3-SRC-011,C12M3-SRC-014	request_local_mapper_history_possible_with_placement_review	native_expected_missing_c5m9_context_only	comparison_blocked_until_expected_ready	probe_admitted	Native artifact must identify compound child provenance, height-solid provenance and pre/post Offset placement relation through request-local history, not through saved document state.	Admitted only if compound and placement judgement can be made from the current request graph/result; persistent document, TopoDS, NamedShape or ElementMap cache is rejected.	S4 records request-local compound/height/offset judgement or closes native_hidden_retained, collector_bug or product_boundary_rejected.	S2
C12M3-SCOPE-004	invalid_projection_diagnostic	C12M3-SRC-002,C12M3-SRC-011,C12M3-SRC-014	request_local_diagnostic_possible	diagnostic_native_expected_missing_c5m9_context_only	comparison_blocked_until_expected_ready	probe_admitted_diagnostic_only	Native artifact must expose stable property, target object and subname failure for invalid Projection input; C5-M9 diagnostic expected is context only.	Admitted as diagnostic-only if the failure is request-local and source-addressable; crash, timeout, TypeError, sandbox limit or collector bug is not backend semantics.	S4 classifies diagnostic as native_provenance_expected_ready, native_hidden_retained, collector_bug, sandbox_runtime_limit or product_boundary_rejected.	S2
C12M3-SCOPE-005	api_observability	C12M3-SRC-007,C12M3-SRC-008,C12M3-SRC-009,C12M3-SRC-010,C12M3-SRC-011	request_local_api_observability_with_persistence_guard	native_api_visibility_missing	comparison_not_applicable_until_expected_ready	probe_admitted_api_boundary	Probe must record callable getElementHistory, mapShapes, mapSubElement, ElementMap and MapperHistory observations on ProjectOnSurface result or intermediate shapes, including None/error summaries.	Admitted only as observability; PropertyPartShape save/restore is context, not permission for persistent ElementMap/NamedShape cache, cross-request document state or full BREP transport.	S4 identifies a stable request-local native API surface or closes native_hidden_retained, collector_bug or product_boundary_rejected.	S2
C12M3-SCOPE-006	output_guessing	C12M3-SRC-012,C12M3-SRC-013,C12M3-SRC-014	product_boundary_rejected	not_applicable	not_applicable	rejected	No acceptable evidence; bbox, result order, EdgeN counts, topology count, fixture name and current cad-core ledger fields are explicitly non-evidence for native provenance.	Rejected because ownership would be inferred from output shape or current implementation instead of FreeCAD native history.	If an S4 row needs this inference, close it product_boundary_rejected and do not run S5 comparison.	S2
C12M3-SCOPE-007	gui_workbench_session	C12M3-SRC-001,C12M3-SRC-011	product_boundary_rejected	not_applicable	not_applicable	rejected	No acceptable evidence; GUI session, ViewProvider, Workbench command state or TaskPanel lifecycle is outside the CAD Core request DTO.	Rejected because CAD Core is a stateless request-local geometry service, not a native GUI session.	Keep in non-goal registry; S4 artifacts requiring GUI/Workbench state close product_boundary_rejected.	S2
C12M3-SCOPE-008	persistent_native_history_cache	C12M3-SRC-010	product_boundary_rejected	not_applicable	not_applicable	rejected	PropertyPartShape ElementMap save/restore may explain FreeCAD persistence but cannot be required evidence for CAD Core API behavior.	Rejected because cross-request native Document, TopoDS, NamedShape or ElementMap cache is outside the stateless product boundary.	Keep in non-goal registry; do not compare, implement or promote to backend gap.	S2
C12M3-SCOPE-009	full_brep_transport	C12M3-SRC-010,C12M3-SRC-011	product_boundary_rejected	not_applicable	not_applicable	rejected	Full BREP payloads are not acceptable product evidence for this package; local probe artifacts may summarize shapes but cannot expand the DTO boundary.	Rejected because CAD Core request/response does not transport complete modeling BREP, apart from the existing ReferenceShadow.brep exception outside this package.	Keep in non-goal registry; S4 rows requiring full BREP transport close product_boundary_rejected.	S2
C12M3-SCOPE-010	c5m9_expected_as_native_expected	C12M3-SRC-014	native_expected_rejected_current_context_only	source_backed_known_gap_context_not_native_expected	comparison_blocked_until_s4_native_artifact	rejected_as_native_expected	C5-M9 source-backed expected can provide current context, known-gap wording and delete condition, but not native ProjectOnSurface MapperHistory/ElementMap expected.	Rejected as native expected until S4 produces request-local native artifact; it cannot by itself authorize current comparison or implementation.	S4 must replace or corroborate it with native_provenance_expected_ready evidence before S5 can compare.	S2
