id	scope	non_goal	reason	source_authority	diagnostic_or_doc_policy	validation	next_owner
C4-NG-001	global	FreeCAD GUI / ViewProvider / TaskPanel / Workbench UI	CAD Core is backend geometry kernel extraction only	AGENTS.md;src/Gui	record in docs; do not create implementation rows	C4-VAL-001	C4-S0/C4-S12
C4-NG-002	sketcher	complete Sketcher GCS solver session	current target is solver-facing input/state/diagnostics/geometry update only	AGENTS.md;src/Mod/Sketcher/App/Sketch*.cpp	unsupported solver relation must have stable diagnostic	C4-VAL-301	C4-S6
C4-NG-003	global	cross-request backend document session	front-end DocumentObject graph is only persistent truth	AGENTS.md architecture boundary	documentObjectUpdates only suggest next graph changes	C4-VAL-001	C4-S0/C4-S12
C4-NG-004	global	full BREP persistent state	only ReferenceShadow.brep single subshape snapshot is allowed	AGENTS.md;docs/CADCore3.0/00-总览.md	S9 keeps ReferenceShadow.brep as single subshape evidence only; reject full-shape BREP as modeling input or long-lived backend state	C4-VAL-401	done_C4-S9/C4-S12
C4-NG-005	topo	output-order/bbox/fixture-name topo correction	violates MapperHistory/ElementMap ownership discipline	src/Mod/Part/App/TopoShape*.cpp;TopoShapeMapper*.cpp	S9 focused tests lock update/reselect/diagnostic behavior; require FreeCAD history path or stable diagnostic, not output order, bbox, fixture name or geometry similarity	C4-VAL-401	done_C4-S9/C4-S12
C4-NG-006	surface	full surface family as one broad task	too broad and previously caused overclaiming	docs/CADCore3.0/06-C3-M8后续收口清单.md;capabilities-gap对照表.md	split into ProjectOnSurface/wire-wire/Loft/Sweep/Filling/GeomPlate rows	C4-VAL-101	C4-S1/C4-S2/C4-S3
C4-NG-007	part_design	all FreeCAD PartDesign features by default	4.0 only admits product-needed graph/recompute/topo features	docs/CADCore3.0/FreeCAD语义矩阵.md;src/Mod/PartDesign/App	C4-M0 product gate decides family entry	C4-VAL-201	C4-S4/C4-S5
C4-NG-008	assembly	representative fallback as full solver	representative path is fallback metadata only	docs/CADCore3.0/capabilities-gap对照表.md;cad-core/src/adapters/c_api/c_api.cpp	assembly.representative_solver_adapter keeps covered_representative / fallback_metadata_only wording and is not counted as full Ondsel solver	C4-VAL-501	done_C4-S10
C4-NG-009	adapter	geometry/topo business logic in CLI/C ABI/Worker/WASM	adapter must stay protocol bridge	cad-core/src/adapters/c_api/c_api.cpp	S11 tests assert schema/capability/resource parity only; adapter may emit adapter_resource_limit and mesh_limit_exceeded diagnostics but must not interpret FreeCAD modeling semantics	C4-VAL-501	done_C4-S11
C4-NG-010	surface	ProjectOnSurface GUI task panel and advanced branches in C4-S1 first slice	C4-S1 only publishes Mode=Edges Height=0 Offset=0 single support face and single edge/wire projection	src/Mod/Part/App/FeatureProjectOnSurface.cpp;src/Mod/Part/Gui/TaskProjectOnSurface.ui	keep Mode=Faces/All height/offset solid face rebuild multi projection as deferred diagnostics until expected-backed	C4-VAL-101	C4-S1
