oracle_id	scope_ids	fixture_group	native_case	freecad_authority	s2_route	expected_output	cad_core_compare	next_step
C8M1-ORACLE-101	C8M1-SCOPE-101	c8m1	shape-binder-whole-box-cross-body	ShapeBinder::updatedShape and TestShapeBinder.testTwoBodyShapeBinderCase	oracle_candidate	whole Support shape summary, bbox, child topology, OutList/InList evidence and ElementMap source alias	current unsupported_type before S4; no implementation gate until S3 expected exists	S3_collect_batch
C8M1-ORACLE-102	C8M1-SCOPE-102	c8m1	shape-binder-face-edge-vertex-multi-subshape	ShapeBinder::buildShapeFromReferences	oracle_candidate	selected Face Edge Vertex shape type, multi-subshape compound child order, topology and ElementMap source evidence	current unsupported_type before S4; no implementation gate until S3 expected exists	S3_collect_batch
C8M1-ORACLE-103	C8M1-SCOPE-103	c8m1	shape-binder-trace-support-placement	ShapeBinder::updatedShape TraceSupport	oracle_candidate	sourceCS targetCS transform, placement and bbox evidence for TraceSupport false and true	current unsupported_type before S4; placement plumbing in other features is reusable only	S3_collect_batch
C8M1-ORACLE-104	C8M1-SCOPE-104	c8m1	shape-binder-datum-fallback-line-plane-point	ShapeBinder::buildShapeFromReferences App::Line Plane Point branches	oracle_candidate	Line edge, Plane face, Point vertex summaries with source Placement evidence	current unsupported_type before S4; S3 may record oracle_blocker if datum object probing is unstable	S3_collect_batch_or_oracle_blocker
C8M1-ORACLE-201	C8M1-SCOPE-201	c8m1	subshape-binder-basic-support-whole-face-edge-list	SubShapeBinder::update NeedSubElement ResolveLink Transform	oracle_candidate	whole object, selected Face and Edge list shape summaries, Support owner indices, transform and diagnostics	current unsupported_type before S4; no implementation gate until S3 expected exists	S3_collect_batch
C8M1-ORACLE-202	C8M1-SCOPE-202	c8m1	subshape-binder-makeface-offset-fuse-refine	SubShapeBinder::update makeElementFace makeElementOffset2D fuse makeElementRefine	oracle_candidate	MakeFace, Offset, Fuse and Refine operation-specific topology, bbox, area or volume, plus diagnostics	current unsupported_type before S4; reusable topo helpers are not Binder support	S3_collect_batch
C8M1-ORACLE-203	C8M1-SCOPE-205	c8m1	subshape-binder-setlinks-normalization-diagnostics	SubShapeBinder::setLinks	oracle_candidate	cycle rejection, invalid support diagnostics, empty sub list whole selection and child subname collapse evidence	current unsupported_type before S4; DTO normalization must wait for S3 expected	S3_collect_batch
C8M1-ORACLE-204	C8M1-SCOPE-204	c8m1	subshape-binder-relative-context-nested-route	SubShapeBinder::getSubObject and update Relative Context	oracle_candidate	Relative, Context, nested getSubObject route, matrix cache, label route and placement transform evidence	current unsupported_type before S4; S3 may record oracle_blocker if nested route cannot be stably collected	S3_collect_batch_or_oracle_blocker
C8M1-ORACLE-205	C8M1-SCOPE-203	c8m1	subshape-binder-profile-consumer-before-after-pad	PartDesignTests.TestShapeBinder binder before after Pad and Revolution profile	oracle_candidate	before and after Pad bbox/normal equivalence, Revolution profile area/volume and Body replay consumer evidence	current unsupported_type before S4; body/profile reuse is downstream only until Binder shape exists	S3_collect_batch
C8M1-ORACLE-206	C8M1-SCOPE-206	c8m1	shape-binder-subshape-binder-element-map-namedshape-body-replay	PartDesignTests.TestTopologicalNamingProblem ElementMap tests	oracle_candidate	childShapes, ElementMapSize, stable subname, source aliases, NamedShape publication and Body/BaseFeature replay differences	current unsupported_type before S4; no display-only or output patch route	S3_collect_batch
C8M1-ORACLE-301	C8M1-SCOPE-301	c8m1	subshape-binder-bindmode-synchronized-frozen-detached	SubShapeBinder::execute and onChanged BindMode branches	oracle_candidate	BindMode Synchronized update, Frozen/manual no-update evidence and Detached support clearing evidence	current unsupported_type before S4; lifecycle product subset remains candidate only	S3_lifecycle_probe
C8M1-ORACLE-302	C8M1-SCOPE-302	c8m1	subshape-binder-copy-on-change-disabled-enabled-mutated-partialload	SubShapeBinder::setupCopyOnChange, checkCopyOnChange and PartialLoad onChanged	oracle_candidate	CopyOnChange Disabled Enabled Mutated property-copy evidence, PartialLoad request-local evidence or oracle_blocked native lifecycle reason	current unsupported_type before S4; full temporary-document cache remains diagnostic boundary unless S3 proves request-local semantics	S3_lifecycle_probe_or_oracle_blocked
