id	layer	source_path	symbol_or_case	key_freecad_signal	cad_core_target	status	next_action
P5CONIC-CAND-001	FreeCAD-Part	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp	GeomArcOfHyperbola::Save/Restore	Save writes CenterX/Y/Z, NormalX/Y/Z, MajorRadius, MinorRadius, AngleXU, StartAngle, EndAngle; Restore builds gp_Ax2, calls GC_MakeHyperbola and GC_MakeArcOfHyperbola(..., Standard_True)	cad-core/src/sketcher/sketch_object_geometry.*; cad-core/src/sketcher/sketch_object_operations.*	closed-S4	FreeCAD authority captured; S4 publishes supported profile/external geometry while keeping solver internals out of scope
P5CONIC-CAND-002	FreeCAD-Part	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Geometry.cpp	GeomArcOfParabola::Save/Restore	Save writes CenterX/Y/Z, NormalX/Y/Z, Focal, AngleXU, StartAngle, EndAngle; Restore builds gp_Ax2, calls gce_MakeParab and GC_MakeArcOfParabola(..., Standard_True)	cad-core/src/sketcher/sketch_object_geometry.*; cad-core/src/sketcher/sketch_object_operations.*	closed-S4	FreeCAD authority captured; S4 publishes supported profile/external geometry while keeping solver internals out of scope
P5CONIC-CAND-003	FreeCAD-Sketcher	/Users/li/Chili3DProject/FreeCAD/src/Mod/Sketcher/App/SketchObjectGeometry.cpp	SketchObject::isSupportedGeometry	GeomArcOfHyperbola and GeomArcOfParabola are in the supported geometry return-true set	cad-core/tests/test_diagnostics.py; cad-core fixtures	closed-S4	Stale unsupported hyperbola diagnostic was replaced by supported fixtures and diagnostics []
P5CONIC-CAND-004	FreeCAD-Sketcher	/Users/li/Chili3DProject/FreeCAD/src/Mod/Sketcher/App/SketchAnalysis.cpp	PointConstraints::addGeometry	Hyperbola and parabola arcs call getStartPoint() and getEndPoint() into PointPos::start/end; no internal solver migration required for this batch	cad-core/src/sketcher/sketch_object_operations.*	closed-S4	Focused tests cover profile/raw edge counts; full conic solver auxiliary geometry remains non-goal
P5CONIC-CAND-005	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/sketcher/sketch_object_geometry.cpp	ArcOfHyperbola and ArcOfParabola parsing	Parser accepts ArcOfHyperbola/Part::GeomArcOfHyperbola and ArcOfParabola/Part::GeomArcOfParabola; required lower-camel fields are center/radii-or-focal/startAngle/endAngle; angle defaults 0 and normal is implicit sketch +Z	cad-core/src/sketcher/*	closed-S4	Existing parser/build path is now covered by profile, construction, external and invalid-param fixtures
P5CONIC-CAND-006	cad-core-tests	/Users/li/Chili3DProject/FreeCAD/cad-core/tests/test_diagnostics.py	sketch-unsupported-hyperbola	Existing test still expected unsupported_geometry for hyperbola while FreeCAD marks it supported and cad-core has parser/build hooks	cad-core/tests and fixtures	closed-S4	Deleted stale fixture, added sketch-hyperbola-arc-profile, and kept unsupported_geometry smoke on true unsupported OffsetCurve
P5CONIC-CAND-007	oracle	/Users/li/Chili3DProject/FreeCAD/cad-core/tools/collect_freecad_expected.py	FreeCAD expected collection	Use only when shape/subshape oracle is needed; sandbox FreeCADCmd/OCCT differences cannot be treated as parity failure	cad-core/fixtures/p5	closed-S4	Expected files collected for profile, construction and projected external fixtures with FreeCAD 1.2.0devR20260519
P5CONIC-CAND-008	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/sketcher/sketch_object_operations.cpp	profileEdges and make edge path	Profile edges include ArcOfHyperbola/ArcOfParabola; makeProfileEdge uses GC_MakeHyperbola/GC_MakeArcOfHyperbola and gce_MakeParab/GC_MakeArcOfParabola with Standard_True	cad-core/src/sketcher/sketch_object_operations.*	closed-S4	Profile and construction fixtures prove the path without adding a second conic structure
P5CONIC-CAND-009	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/sketcher/sketch_object_external.cpp	ExternalGeo merge vs TopoDS edge projection	Native ExternalGeo parses and appends hyperbolaArcs/parabolaArcs; S3 added projected GeomAbs_Hyperbola/GeomAbs_Parabola support	cad-core/src/sketcher/sketch_object_external.*	closed-S4	Native and projected external fixtures publish conic external geometry support
P5CONIC-CAND-010	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/sketcher/sketch_object_geometry.cpp; /Users/li/Chili3DProject/FreeCAD/cad-core/src/sketcher/sketch_object_operations.cpp	diagnostics and exception conversion	Parse-time invalid/missing fields return unsupported_geometry; OCCT maker failures in makeProfileEdge become empty optional and buildRawSketchShape reports execution_failed	cad-core diagnostics	closed-S4	Invalid conic params keep strict unsupported_geometry diagnostics; valid conic fixtures are diagnostics []
