id	field	required_in_c13m2	source	status	acceptance
C13M2-CONTRACT-001	topoNamingState.objects[*].elementMap.entries[*].mappedName.raw	must_raw_canonical	src/App/MappedName.h::fromRawData + ElementMap::encodeElementName + S2 focused expected	resume_ready_after_c13m3_s5	C13-M3 S4 live tests publish source-backed raw mappedName for current p2/c4m6 scope; C13-M2 S4 still owns formal close or narrowed blocker.
C13M2-CONTRACT-002	topoNamingState.objects[*].elementMap.entries[*].mappedName.canonical	must_raw_canonical	ElementMap::hashElementName/dehashElementName + collect_freecad_expected.py::canonical_freecad_mapped_name	resume_ready_after_c13m3_s5	C13-M3 S4 live tests publish canonical mappedName with no expectedFailure; C13-M2 S4 must validate current focused scope before closing.
C13M2-CONTRACT-003	elementMap entry key stability	must_raw_canonical	ElementMap mappedNames ledger via setElementName/addName/find + collect_freecad_expected.py::comparable_topo_naming_state	resume_ready_after_c13m3_s5	Stable-token fallback is no longer the producer-ledger blocker for live p2/c4m6; C13-M2 S4 must finish formal entry-key parity accounting.
C13M2-CONTRACT-004	evidence.childElementMapKey	future_s5_key_id	ElementMap::hashChildMaps/addChildElements/getChildElements + collector schema	s5_empty_evidence_guard_s3	S3 test asserts focused expected has no non-empty childElementMapKey evidence; S5 must add explicit parity tests before marking support.
C13M2-CONTRACT-005	evidence.mapperHistoryIds	future_s5_key_id	TopoShapeMapper generated/modified relation + TopoShapeExpansion MapperMaker/MapperHistory + collector schema	s5_empty_evidence_guard_s3	S3 test asserts focused expected has no non-empty mapperHistoryIds evidence; S5 must add explicit parity tests before marking support.
C13M2-CONTRACT-006	documentHash/objectHash	no_change	C13-M1 publisher	closed_inherited	Do not reopen C13-M1 hash work unless tests show regression.
C13M2-CONTRACT-007	response subname/fullSubname/stableSubname	no_change	Existing response contract	closed_inherited	C13-M2 must not change frontend-visible subshape response semantics.
C13M2-CONTRACT-008	indexed-only elementMap without raw mappedName	gap_allowed_indexed_only	collect_freecad_expected.py::topo_state_element_map_entry; p5/current p8 focused expected	passed_c13m3_s4_no_fake_raw	p5 Sketch=indexed_only/0 and current p8 BoxLink no-fake-raw boundaries pass in C13-M3 S4; old p8 app-link-box-face fixture is not live evidence.
C13M2-CONTRACT-901	Full fixture topoNamingState parity	no_followup	future full parity batch	non_goal	C13-M2 focused parity does not require all expected files to match.
C13M2-CONTRACT-902	Frontend topoNamingState consumption	no_followup	my-chili3d future task	non_goal	Frontend consumer sync belongs outside this FreeCAD batch.
