candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
PPJ-CAND-001	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.h	Assembly::JointType	joint_type_enum	AssemblyUtils.h states the enum must match JointObject.py; JointType order is Fixed/Revolute/Cylindrical/Slider/Ball/Distance/Parallel/Perpendicular/Angle/RackPinion/Screw/Gears/Belt	cad-core/src/assembly/joint_solver.cpp	PPJ-SCOPE-002;PPJ-SCOPE-003	closed by S6: Parallel and Perpendicular enum strings are published in the request-local supported matrix with fixture/oracle/test evidence
PPJ-CAND-002	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/JointObject.py	JointTypes	joint_property_strings	JointTypes uses the same order as AssemblyUtils.h; JointUsingReverse includes Parallel; JointParallelForbidden contains Angle and Perpendicular as preventParallel GUI/interaction guard, not a cad-core request-local support blocker	cad-core/src/assembly/joint_group.cpp;cad-core/src/assembly/joint_solver.cpp	PPJ-SCOPE-002;PPJ-SCOPE-003	closed by S6: JointParallelForbidden remains GUI-only wording and does not block cad-core request-local Parallel/Perpendicular support
PPJ-CAND-003	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointOfType	parallel_mbd_mapping	AssemblyObject.cpp includes ASMTParallelAxesJoint and direct case JointType::Parallel returns CREATE<ASMTParallelAxesJoint>::With(); cad-core maps direct joint.jointType == Parallel to MbD::ASMTParallelAxesJoint::With() and includes it in isSupportedOndselJointType()	cad-core/src/assembly/joint_solver.cpp;cad-core/src/adapters/c_api/c_api.cpp	PPJ-SCOPE-002	closed: S3 direct adapter mapping, S4 native expected and S5 publication are complete
PPJ-CAND-004	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointOfType	perpendicular_mbd_mapping	AssemblyObject.cpp includes ASMTPerpendicularJoint and direct case JointType::Perpendicular returns CREATE<ASMTPerpendicularJoint>::With(); cad-core includes ASMTPerpendicularJoint, maps direct joint.jointType == Perpendicular and includes it in isSupportedOndselJointType()	cad-core/src/assembly/joint_solver.cpp;cad-core/src/adapters/c_api/c_api.cpp	PPJ-SCOPE-003	closed: S3 direct adapter mapping, S4 native expected and S5 publication are complete
PPJ-CAND-005	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJoint	marker_binding	makeMbdJoint reads JointType, calls makeMbdJointOfType, and only RackPinion branches to getRackPinionMarkers; Parallel and Perpendicular therefore use handleOneSideOfJoint for Reference1/Placement1 and Reference2/Placement2	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_utils.cpp	PPJ-SCOPE-002;PPJ-SCOPE-003	closed by S6: existing JointConstraint reference and placement DTO is sufficient for the checked-in grounded Parallel/Perpendicular fixtures
PPJ-CAND-006	/home/user/Chili3DProject/FreeCAD/cad-core/src/assembly/joint_solver.cpp	makeOndselJointOfType	cad_core_adapter_gap	cad-core includes ASMTParallelAxesJoint and ASMTPerpendicularJoint; makeOndselJointOfType maps direct Parallel/Perpendicular before the Angle branch, keeps Angle=0 as a separate fallback path, and isSupportedOndselJointType includes Parallel and Perpendicular	cad-core/src/assembly/joint_solver.cpp	PPJ-SCOPE-002;PPJ-SCOPE-003	closed: direct adapter gap, native expected and capability publication are complete; RackPinion/Screw/Gears/Belt stay unsupported
PPJ-CAND-007	/home/user/Chili3DProject/FreeCAD/cad-core/src/adapters/c_api/c_api.cpp	assembly capabilities	publication_surface	ondsel_solver_adapter covered list now includes grounded_parallel_joint and grounded_perpendicular_joint; supported_joint_matrix includes Parallel and Perpendicular, while unsupported_joint_matrix keeps only RackPinion, Screw, Gears and Belt	cad-core/tests/test_adapters.py	PPJ-SCOPE-005	closed by S5 capability publication sync
PPJ-CAND-008	/home/user/Chili3DProject/FreeCAD/cad-core/tests/test_p8_features.py	CadCoreP8FeatureTest	focused_tests_coverage	CadCoreP8FeatureTest includes assembly-grounded-parallel-joint-real-solver and assembly-grounded-perpendicular-joint-real-solver in the grounded real Ondsel matrix; both assert real_ondsel_solver, direct joint_type, unsupported_joints=[] and no placement writeback, while RackPinion remains the unsupported diagnostic fixture	cad-core/fixtures/c3m6	PPJ-SCOPE-004	closed by S4 focused coverage and S5 capability publication sync
PPJ-CAND-009	/home/user/Chili3DProject/FreeCAD/cad-core/fixtures/c3m6	c3m6 fixture route	native_expected_route	c3m6 has assembly-grounded-parallel-joint-real-solver and assembly-grounded-perpendicular-joint-real-solver fixtures plus FreeCADCmd 1.2.0 revision 20260519 expected files; collector --check passes for both and both expected files have native_solver.return_code=0, solver_adapter.mode=real_ondsel_solver and unsupported_joints=[]	cad-core/fixtures/c3m6;cad-core/fixtures/c3m6/expected;cad-core/tests/test_expected_fixtures.py	PPJ-SCOPE-004	closed by S4 native expected route and consumed by S5 publication sync
PPJ-CAND-010	/home/user/Chili3DProject/FreeCAD/docs/FreeCAD几何生态迁移工程-细分/P8-Assembly-Joint-Placement-OndselSolver收敛主线/矩阵/p8_assembly_solver_scope_review_matrix.tsv	P8ASM-SCOPE-007	upstream_matrix	P8ASM-SCOPE-007 now states the request-local supported subset is Fixed/Revolute/Cylindrical/Slider/Ball/Distance/Parallel/Perpendicular/Angle; RackPinion/Screw/Gears/Belt stay diagnostic-only and complex Distance remains notCollected	docs/FreeCAD几何生态迁移工程-细分/P8-Assembly-Joint-Placement-OndselSolver收敛主线	PPJ-SCOPE-005	closed by S5 upstream matrix publication sync
