candidate_id	layer	file	symbol	semantic_axis	evidence	cad_core_landing	owner_step	next_action
C8M7-SRC-101	docs	docs/CADCore7.0/C7-M7-P8LinkElement持久写回与导入ElementMap完整闭环主线/6-26-14-20-C7-M7-P8LinkElement持久写回与导入ElementMap完整闭环主线总入口.md	C7-M7 S4-S6	inherited_oracle_blocked_boundary	Complete imported ElementMap ShowElement persistent writeback and cross-document hash postfix lifecycle were closed as oracle_blocked or oracle_blocker with no backend_gap_requires_implementation	docs/CADCore8.0/C8-M7-ImportShapeChangedFileDeletedReferenceRecovery准入收口主线	S0	Use as inherited non-goal boundary; do not reopen persistent Link lifecycle
C8M7-SRC-102	docs	docs/CADCore8.0/C8-M6-ShapeBinderSubShapeBinder下游同步源头合同主线/README.md	C8-M6 S6	previous_queue_closed	C8-M6 release gate passed and C8-M1..C8-M6 queues are expected empty before C8-M7 starts	docs/CADCore8.0/C8-M7-ImportShapeChangedFileDeletedReferenceRecovery准入收口主线	S0	Freeze as C8-M7 baseline handoff
C8M7-SRC-201	freecad	src/Mod/Part/App/FeaturePartImportBrep.cpp	Part::ImportBrep::execute	brep_file_import_authority	S1 confirmed FileName is the input property mustExecute follows FileName touch unreadable files return Cannot open file and execute calls TopoShape::importBrep before Shape.setValue	cad-core/src/part/part_import.cpp	S1	Current-file BREP import is source-backed; S3 only needs to route unreadable-file diagnostics
C8M7-SRC-202	freecad	src/Mod/Part/App/FeaturePartImportStep.cpp	Part::ImportStep::execute	step_file_import_authority	S1 confirmed FileName is read on execute unreadable files return Cannot open file and execute calls TopoShape::importStep before Shape.setValue; no old import cache participates	cad-core/src/part/part_import.cpp	S1	Current-file STEP import is source-backed; S3 can treat changed readable FileName as request-local recompute
C8M7-SRC-203	freecad	src/Mod/Part/App/FeaturePartImportIges.cpp	Part::ImportIges::execute	iges_file_import_authority	S1 confirmed FileName is read on execute unreadable files return Cannot open file and execute calls TopoShape::importIges before Shape.setValue; errors stay explicit	cad-core/src/part/part_import.cpp	S1	Current-file IGES import is source-backed; S3 can route deleted files to diagnostic or non-goal
C8M7-SRC-204	freecad	src/Mod/Part/App/TopoShape.cpp;src/Mod/Part/App/ImportStep.cpp;src/Mod/Part/App/ImportIges.cpp	TopoShape STEP IGES BREP import and document import helpers	occt_reader_authority	S1 confirmed TopoShape::importStep and importIges call OCCT ReadFile TransferRoots OneShape on the supplied FileName and importBrep calls BRepTools::Read; helper imports also read current files	cad-core/src/part/part_import.cpp	S1	Bind OCCT current-file reader semantics to changed-file route; do not infer previous-request cache
C8M7-SRC-205	freecad	src/App/PropertyLinks.cpp	PropertyLinkBase::_updateElementReference	reference_update_authority	S1 confirmed FreeCAD resolves through GeoFeature::resolveElement and ShadowSub ElementNamePair then tries current geometry search when missing or regenerating; this is current document evidence not backend cache	cad-core/src/runtime/reference_resolution.cpp;cad-core/src/runtime/element_reference_update.cpp	S1	Carry request-local ReferenceShadow recovery to S4; keep persistent document lifecycle out of C8-M7
C8M7-SRC-206	freecad	src/App/ElementMap.cpp	ElementMap	element_map_authority	S1 confirmed ElementMap::setElementName and encodeElementName are the stable subname ledger with duplicate rename and encoded tag semantics; imported stable names need source-backed map evidence	cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/part/topo_shape.cpp	S1	Owner-qualified import alias is the current supported subset; full persistent ElementMap lifecycle remains outside S1
C8M7-SRC-207	freecad	src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/Part/App/TopoShapeMapper.cpp	TopoShape expansion mapper and history	topo_history_authority	S1 confirmed makeShapeWithElementMap consumes mapper records and ElementMapPolicy while MapperHistory exposes modified/generated history and ShapeMapper expands face edge vertex targets	cad-core/src/part/topo_shape_expansion.cpp	S1	Full history gaps stay separate from current import alias support; avoid output-order guessing
C8M7-SRC-301	cad-core	cad-core/src/part/part_import.cpp	executePartImportBrep;executePartImportStep;executePartImportIges	current_file_import_landing	S1 confirmed readImportFile reads FileName each request validates existing regular file emits Cannot open file diagnostics and executors use BRepTools STEPControl_Reader or IGESControl_Reader before publishing current shape	cad-core/src/part/part_import.cpp	S1	Changed readable FileName is already covered as request-local current-file import candidate; S3 decides publication route
