blocker_id	scope_id	blocker_axis	required_evidence	cad_core_landing	fixture_or_test_route	next_step	close_condition
C8M1-BLOCKER-000	C8M1-SCOPE-101	live_baseline	C7-M7 queue empty, HEAD=29da94dd13, C8-M1 directory created, current registry lacks ShapeBinder SubShapeBinder TypeIds	docs only	queue status rg TSV diff checks	S0_closed	Closed by S0 baseline and scope dictionary; next pending is S1
C8M1-BLOCKER-101	C8M1-SCOPE-101	source_authority	ShapeBinder.cpp ShapeBinder.h Body.cpp Feature.cpp and PartDesign tests reviewed with current cad-core landing map	docs only	source authority TSV and S1 source review	S1_closed	Closed by S1: every source row has FreeCAD symbol, short evidence, call semantics, cad-core landing and candidate status without supported/backend_gap_requires_implementation promotion
C8M1-BLOCKER-201	C8M1-SCOPE-201	oracle_candidate_batch	Oracle rows cover ShapeBinder whole Face Edge Vertex multi-subshape TraceSupport datum fallback, SubShapeBinder whole subshape edge-list MakeFace Offset Fuse Refine Relative Context nested route, downstream profile, ElementMap NamedShape Body replay, BindMode CopyOnChange and PartialLoad	docs only	oracle_plan TSV	S2_closed	Closed by S2 when C8M1-ORACLE-101..104, C8M1-ORACLE-201..206 and C8M1-ORACLE-301..302 are present as batch oracle_candidate rows; C8M1-ORACLE-104,204,302 may become oracle_blocker/oracle_blocked only after S3 collection evidence
C8M1-BLOCKER-301	C8M1-SCOPE-101	native_oracle	FreeCAD expected for ShapeBinder whole/subshape/TraceSupport or explicit blocker	cad-core/fixtures/c8m1	collect_c8m1_shapebinder_expected.py	S3_closed	Closed by S3: expected files for C8M1-ORACLE-101..104 are checked in with freecad_version, source_fixture, shape summaries, childShapes and ElementMap evidence
C8M1-BLOCKER-302	C8M1-SCOPE-201	native_oracle	FreeCAD expected for SubShapeBinder support/MakeFace/Offset/Fuse/Refine or explicit blocker	cad-core/fixtures/c8m1	collect_c8m1_shapebinder_expected.py	S3_closed	Closed by S3: expected files for C8M1-ORACLE-201..205 are checked in with FreeCAD native shape summaries, diagnostics and current unsupported_type comparison
C8M1-BLOCKER-303	C8M1-SCOPE-206	element_map_oracle	ElementMap / NamedShape evidence for Binder output	cad-core/fixtures/c8m1/expected	collect_c8m1_shapebinder_expected.py	S3_closed	Closed by S3: C8M1-ORACLE-206 expected records Fusion, ShapeBinder, SubShapeBinder, Body and BaseFeature ElementMap/childShapes evidence
C8M1-BLOCKER-401	C8M1-SCOPE-101	cpp_executor_missing	Current cad-core cannot execute Binder TypeIds; S3 expected defines semantics	cad-core/src/part_design/feature_shape_binder.cpp	tests.test_c8_shapebinder	S4	Closed when registry, executor, CMake and focused tests pass
C8M1-BLOCKER-402	C8M1-SCOPE-301	lifecycle_boundary	BindMode / CopyOnChange request-local or blocked boundary recorded	feature_shape_binder.cpp or capability diagnostics	lifecycle focused tests	S4	Closed when supported subset or oracle_blocked route is implemented and tested
C8M1-BLOCKER-501	C8M1-SCOPE-101	publication	capability, fixtures, tests and docs agree	capability_contract.cpp	capability smoke and focused tests	S5	Closed when supported/remaining_gaps publication matches tests
C8M1-BLOCKER-601	C8M1-SCOPE-101	release_gate	queue, TSV, build, focused tests and diff pass	whole package	S6 validation	S6	Closed when S6 queue is empty and release docs are synchronized
