id	phase	fixture_family	status	source_authority	cad_core_landing	freecad_oracle_source	cad_core_fixture_target	expected_fields	oracle_or_diagnostic	validation	next_owner	notes
C4-ORC-101	C4-M1	ProjectOnSurface	expected_backed_first_slice	src/Mod/Part/App/FeatureProjectOnSurface.cpp;FeatureProjectOnSurface.h	cad-core/src/part/part_project_on_surface.cpp;collector;adapters/c_api/c_api.cpp	FreeCADCmd native collector for Part::ProjectOnSurface	cad-core/fixtures/c4m1/part-project-on-surface-edge-plane.json;cad-core/fixtures/c4m1/expected/part-project-on-surface-edge-plane.freecad.json;cad-core/fixtures/c4m1/part-project-on-surface-deferred-boundaries.json	subshape counts;projected edge compound;bbox;diagnostics;ordinary indexed NamedShape	Mode=Edges Height=0 Offset=0 single SupportFace single edge/wire Projection supported;Faces/All height/offset solid face rebuild multi projection deferred	tests.test_p8_features;tests.test_expected_fixtures;tests.test_adapters	C4-S1	expected collected from native FreeCADCmd;not derived from cad-core output
C4-ORC-102	C4-M1	RuledSurface wire/wire	expected_backed	src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementRuledSurface	cad-core/src/part/part_ruled_surface.cpp;topo_shape_expansion.cpp	FreeCADCmd native collector	cad-core/fixtures/c4m1/part-ruled-surface-wire-wire.json;cad-core/fixtures/c4m1/expected/part-ruled-surface-wire-wire.freecad.json	BRepFill::Shell shell topology; source edge provenance; mapper history status	whole-wire/whole-wire BRepFill::Shell supported with expected-backed fixture	tests.test_p8_features;tests.test_expected_fixtures;tests.test_adapters	C4-S3	edge/edge first batch remains supported;full surface family remains non-goal
C4-ORC-103	C4-M1	Loft profile/Linearize	expected_backed_with_deferred_complex_profile	src/Mod/Part/App/PartFeatures.cpp::Loft::execute;TopoShapeExpansion.cpp::makeElementLoft	cad-core/src/part/part_loft.cpp;topo_shape_expansion.cpp	FreeCADCmd native collector	cad-core/fixtures/c4m1/part-loft-linearize-profile-face.json;cad-core/fixtures/c4m1/part-loft-linearize-profile-vertex.json;cad-core/fixtures/c4m1/expected/part-loft-linearize-profile-face.freecad.json;cad-core/fixtures/c4m1/expected/part-loft-linearize-profile-vertex.freecad.json	Linearize=true metadata;face profile;vertex profile;ThruSections history;complex profile deferred boundary	Linearize face/vertex profile supported;complex profile family deferred until separate call-chain owner	tests.test_p8_features;tests.test_expected_fixtures;tests.test_adapters	C4-S3	FreeCAD native expected collected;no full surface family overclaim
C4-ORC-104	C4-M1	Sweep multi-profile/advanced	expected_backed_with_deferred_wrapper	src/Mod/Part/App/PartFeatures.cpp::Sweep::execute;TopoShapeExpansion.cpp::makeElementPipeShell	cad-core/src/part/part_sweep.cpp;topo_shape_expansion.cpp	FreeCADCmd native collector	cad-core/fixtures/c4m1/part-sweep-multi-profile-linearize.json;cad-core/fixtures/c4m1/expected/part-sweep-multi-profile-linearize.freecad.json;cad-core/fixtures/c4m1/part-sweep-advanced-deferred.json	Sections multi-profile;Spine edge path;Transition;Linearize=true metadata/history;advanced wrapper diagnostics	Sweep multi-profile with Linearize is expected-backed;AuxiliarySpine/SupportMode/BiNormal/LocationMode/Tolerance remain deferred diagnostics with object/property/target/subname	tests.test_p8_features;tests.test_expected_fixtures;tests.test_adapters	C4-S4	expected collected from native FreeCADCmd;advanced PipeShell wrapper not mixed into Hole internal PipeShell
C4-ORC-105	C4-M1	Filling advanced	deferred_diagnostic	src/Mod/Part/App/AppPartPy.cpp::makeFilledFace;TopoShapeExpansion.cpp::makeElementFilledFace	cad-core/src/part/part_filling.cpp	FreeCADCmd probe/collector	cad-core/fixtures/c4m1/part-filling-advanced-deferred.json	Surface/Supports/Orders/non-default params diagnostics with object/property/target/subname	Part.makeFilledFace advanced kwargs are not promoted after native wrapper probe terminated unexpectedly;Surface/Supports/Orders and non-default params are split to support/order/source-map owner	tests.test_p8_features;tests.test_expected_fixtures;tests.test_adapters	C4-S4	helper boundary explicit;not a GUI feature or native DocumentObject
C4-ORC-106	C4-M1	GeomPlate advanced	expected_backed_advanced_approx_with_deferred_wrappers	src/Mod/Part/App/Tools.cpp::makeSurface;GeomPlate/BuildPlateSurfacePyImp.cpp	cad-core/src/part/part_geomplate.cpp	FreeCADCmd native collector/probe	cad-core/fixtures/c4m1/part-geomplate-advanced-constraints.json;cad-core/fixtures/c4m1/expected/part-geomplate-advanced-constraints.freecad.json;cad-core/fixtures/c4m1/part-geomplate-advanced-deferred.json	3D curve/point constraints;ApproxTol3d;ApproxMaxSegments;ApproxMaxDegree;wrapper/2D/projected diagnostics	3D advanced constraints and non-default approximation params are expected-backed;InitialSurface/Curve2dOnSurface/ProjectedCurve2d/Point2dOnSurface/PlateSurface.Curves remain locatable deferred diagnostics	tests.test_p8_features;tests.test_expected_fixtures;tests.test_adapters	C4-S4	helper not GUI feature;G1-on-surface/projected wrappers need separate owner
C4-ORC-201	C4-M2	PartDesign Revolution/Groove	expected_backed_angle_first_slice_with_deferred_boundaries	src/Mod/PartDesign/App/FeatureRevolution.cpp;FeatureGroove.cpp;FeatureRevolved.cpp;FeatureSketchBased.cpp;Body.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_revolution.cpp;feature_groove.cpp;feature_revolved.cpp;cad-core/src/part/topo_shape_expansion.cpp	FreeCADCmd native collector	cad-core/fixtures/c4m2/partdesign-revolution-axis-angle-body.json;cad-core/fixtures/c4m2/expected/partdesign-revolution-axis-angle-body.freecad.json;cad-core/fixtures/c4m2/partdesign-groove-axis-angle-body.json;cad-core/fixtures/c4m2/expected/partdesign-groove-axis-angle-body.freecad.json;cad-core/fixtures/c4m2/partdesign-revolution-groove-deferred.json;cad-core/fixtures/c4m2/partdesign-revolution-invalid-angle.json	Type=Angle;ReferenceAxis Sketch H/V or line edge axis;additive Revolution;subtractive Groove;Body Tip replay;maker_history:revolve;volume/topology native expected;bounded bbox_delta for conservative OCCT bbox	Angle axis Revolution/Groove supported;TwoAngles/ThroughAll/UpTo*/Profile subshape/FuseOrder=FeatureFirst deferred with locatable diagnostics;invalid angle/axis diagnostic covered	tests.test_p7_features;tests.test_expected_fixtures;tests.test_adapters	C4-S5	expected collected from native FreeCADCmd;GUI/task panel and all PartDesign features by default remain non-goal
C4-ORC-202	C4-M2	PartDesign Boolean Fuse/Cut/Common	expected_backed_body_tool_first_slice	src/Mod/PartDesign/App/FeatureBoolean.cpp::Boolean::execute;Body.cpp	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part/topo_shape.cpp::makeElementBooleanFromSources	FreeCADCmd native collector	cad-core/fixtures/c4m2/partdesign-boolean-cut-body-tool.json;cad-core/fixtures/c4m2/expected/partdesign-boolean-cut-body-tool.freecad.json;cad-core/fixtures/c4m2/partdesign-boolean-fuse-body-tool.json;cad-core/fixtures/c4m2/expected/partdesign-boolean-fuse-body-tool.freecad.json;cad-core/fixtures/c4m2/partdesign-boolean-common-body-tool.json;cad-core/fixtures/c4m2/expected/partdesign-boolean-common-body-tool.freecad.json;cad-core/fixtures/c4m2/partdesign-boolean-deferred-diagnostics.json	Type=Fuse/Cut/Common;Group Body tool;BaseFeature;Body replacement Tip replay;maker_history:boolean;single-solid diagnostic	Body tool Fuse/Cut/Common supported;Cut without BaseFeature and LinkStage3-only Type are diagnostic;AllowCompound multi-solid remains deferred	tests.test_p7_features;tests.test_expected_fixtures;tests.test_adapters	C4-S5	expected collected from native FreeCADCmd;adapter only exposes capability metadata
C4-ORC-203	C4-M2	Datum placement/link/relink	existing_supported_with_attachment_pressure_diagnostic	src/Mod/PartDesign/App/DatumPoint.cpp;DatumLine.cpp;DatumPlane.cpp;DatumCS.cpp;Body.cpp	cad-core/src/part_design/datum_*;cad-core/src/part_design/body.cpp;cad-core/src/runtime/recompute.cpp	existing p7/c3m5 fixture evidence plus source-gated unsupported diagnostic	p7/datum-coordinate-system-reference-axis;p7/datum-coordinate-system-sketch-support;c3m5/body-origin-link-placement;c4m2/partdesign-datum-attachment-deferred-diagnostics	DatumPoint/Line/Plane/CoordinateSystem placement;DatumLine/DatumCS downstream references;Body Origin Role relink;active Datum AttachmentSupport/MapMode diagnostic object/property/target/subname	Placement/link/recompute supported;active Datum AttachmentSupport/MapMode is stable unsupported_property diagnostic;GUI Attachment editor and full AttachEngine map-mode solver deferred/non-goal	tests.test_p7_features;tests.test_adapters	done_C4-S5C	expected not needed for unsupported pressure path;diagnostic prevents claiming AttachEngine solver support
C4-ORC-204	C4-M2	PartDesign Loft profile/section family	expected_backed_additive_subtractive_body_first_slice	src/Mod/PartDesign/App/FeatureLoft.cpp::Loft::execute/getSectionShape;src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementLoft	cad-core/src/part_design/feature_loft.cpp;cad-core/src/part/topo_shape_expansion.cpp	FreeCADCmd native collector	cad-core/fixtures/c4m2/partdesign-loft-additive-body.json;cad-core/fixtures/c4m2/expected/partdesign-loft-additive-body.freecad.json;cad-core/fixtures/c4m2/partdesign-loft-subtractive-body.json;cad-core/fixtures/c4m2/expected/partdesign-loft-subtractive-body.freecad.json	Profile full Sketch;one Sketch Sections;Ruled=false;Closed=false;sewing/solidification;AddSubShape;Body fuse/cut history;maker_history:partdesign_loft	AdditiveLoft/SubtractiveLoft full-profile one-section Body replay supported;explicit subelement selection, Closed multi-section, multi-wire ordering, AllowCompound multi-solid and full sewing MapperHistory remain deferred	tests.test_p7_features;tests.test_expected_fixtures;tests.test_adapters	C4-S5A	expected collected from native FreeCADCmd;Part Workbench Part::Loft capability is not counted as PartDesign support
