candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
MP-CAND-001	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJoint	joint_marker_dispatch	Ordinary joints create marker I and marker J through handleOneSideOfJoint; RackPinion branches to getRackPinionMarkers before marker names are attached to the Ondsel joint	cad-core/src/assembly/joint_solver.cpp	MP-SCOPE-002;MP-SCOPE-010	S1 verified dispatch root; S2 route ordinary validation versus special regression and S3 keep the split explicit
MP-CAND-002	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::handleOneSideOfJoint	reference_validation	Reads moving part and linked object from ReferenceN; bad ReferenceN returns an empty marker name with a warning instead of inventing placement	cad-core/src/assembly/joint_solver.cpp::jointReference	MP-SCOPE-002	S1 verified validation source; S2 keep backendGap and S3 preserve stable diagnostics for missing moving part object or reference link
MP-CAND-003	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::handleOneSideOfJoint	connector_relative_to_object	PlacementN is the JCS placement relative to the referenced object not the containing part	cad-core/src/assembly/joint_solver.cpp::jointReference	MP-SCOPE-003	S1 verified connector/source distinction; S3 keep connectorPlacement as input evidence but do not use it directly as markerPlacement for subshape refs
MP-CAND-004	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::handleOneSideOfJoint	object_subshape_global_transform	FreeCAD computes obj_global_plc = getGlobalPlacement(nullptr, ref) then plc = obj_global_plc * plc	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly	MP-SCOPE-003;MP-SCOPE-005;MP-SCOPE-006;MP-SCOPE-007	S1 verified getGlobalPlacement(nullptr, ref); S3/S5 implement object or subshape global transform lookup for Vertex Edge Face references
MP-CAND-005	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::handleOneSideOfJoint	containing_part_local_transform	FreeCAD computes part_global_plc = getGlobalPlacement(part, ref) then plc = part_global_plc.inverse() * plc	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly	MP-SCOPE-004;MP-SCOPE-005;MP-SCOPE-006;MP-SCOPE-007	S1 verified part-local inverse transform; S3/S5 convert the global JCS back to the moving part local marker placement
MP-CAND-006	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::handleOneSideOfJoint	bundled_part_offset	After part-local conversion FreeCAD applies data.offsetPlc when bundled parts have a non-identity offset	cad-core/src/assembly/joint_solver.cpp;cad-core/include/cad_core/assembly/joint_solver.h	MP-SCOPE-004	S1 verified offsetPlc boundary; S3 record offset boundary and S5 implement or diagnose it without silently ignoring mismatch
MP-CAND-007	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.cpp	Assembly::getJointCurrentValue	current_value_jcs_reference	Distance and Angle initial values multiply Placement1 and Placement2 by getGlobalPlacement(nullptr, ref1/ref2) before comparing JCS placements	cad-core/src/assembly/joint_solver.cpp	MP-SCOPE-009	S1 verified current-value source; S4/S5 ensure native oracle and cad-core evidence cover initial distance or angle from subshape JCS placements
MP-CAND-008	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.cpp	Assembly::getDistanceType;Assembly::swapJCS	mixed_reference_ordering	DistanceType may swap JCS ordering for point line plane combinations; cad-core must keep reference connector and marker placement in sync request-locally	cad-core/include/cad_core/assembly/joint_solver.h;cad-core/src/assembly/joint_solver.cpp	MP-SCOPE-008	S1 verified mixed ordering source; S3/S5 prove swapped DTO ordering does not desynchronize ReferenceN PlacementN connectorPlacement or markerPlacement
MP-CAND-009	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::getRackPinionMarkers	rack_pinion_marker_rewrite	RackPinion forces rack as marker I pinion as marker J and rewrites rack rotation so Z is parallel to pinion and X follows sliding axis	cad-core/src/assembly/joint_solver.cpp	MP-SCOPE-010	S1 verified RackPinion rewrite source; S5 keep the existing rack marker rewrite as a regression gate after unified resolver lands
MP-CAND-010	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::getRackPinionMarkers	special_side_transform	Rack side uses getGlobalPlacement(obj2, ref2) and getGlobalPlacement(obj1, ref1) before yaw adjustment and later may convert through part1 global placement plus offsetPlc	cad-core/src/assembly/joint_solver.cpp	MP-SCOPE-010	S1 verified special transform source; S3 document how special rewrite consumes resolver inputs without being overwritten by ordinary resolver
