id	phase	source_file	source_symbol_or_key	cad_core_landing	reason	status	oracle_or_diagnostic	validation	next_owner
C4-SRC-001	C4-M1	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/FeatureProjectOnSurface.cpp;FeatureProjectOnSurface.h	ProjectOnSurface::execute/tryExecute/getSupportFace/getProjectionShapes/filterShapes/createProjectedWire/projectWire/projectFace/createSolidIfHeight/getOffsetPlacement	cad-core/src/part/part_project_on_surface.cpp;feature_registry.cpp	PartFeatures.cpp/TopoShapeExpansion.cpp were stale draft paths for ProjectOnSurface; actual DocumentObject source is FeatureProjectOnSurface.cpp/.h	supported_expected_backed_first_slice	C4-ORC-101 expected-backed edge projection plus deferred diagnostic rows	C4-VAL-101	C4-S1
C4-SRC-002	C4-M1	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	TopoShape::makeElementRuledSurface(), BRepFill::Shell	cad-core/src/part/part_ruled_surface.cpp;topo_shape_expansion.cpp	RuledSurface wire/wire branch covered by C4-S2 expected-backed BRepFill::Shell	supported_expected_backed	C4-ORC-102 part-ruled-surface-wire-wire native expected	C4-VAL-101	C4-S3
C4-SRC-003	C4-M1	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PartFeatures.cpp	Loft::execute(), Linearize, Sections	cad-core/src/part/part_loft.cpp;topo_shape_expansion.cpp	Loft Linearize plus face/vertex profile covered;complex profile family remains deferred	supported_expected_backed_with_deferred_complex_profile	C4-ORC-103 part-loft-linearize-profile-face/vertex native expected;complex profile family deferred	C4-VAL-101	C4-S3
C4-SRC-004	C4-M1	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PartFeatures.cpp	Sweep::execute(), Sections, Spine, Linearize, Transition	cad-core/src/part/part_sweep.cpp;topo_shape_expansion.cpp	Sweep multi-profile/Linearize follows Sweep::execute -> makeElementPipeShell -> Linearize;advanced wrapper options stay outside first batch	supported_expected_backed_with_deferred_wrapper	C4-ORC-104 part-sweep-multi-profile-linearize native expected;part-sweep-advanced-deferred locatable diagnostics	C4-VAL-101	C4-S4
C4-SRC-005	C4-M1	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPartPy.cpp;TopoShapeExpansion.cpp	Part.makeFilledFace;TopoShape::makeElementFilledFace	cad-core/src/part/part_filling.cpp	Filling helper Surface/Supports/Orders and advanced params need support/order source-map owner;native advanced kwargs parser is unsafe on current probe	deferred_diagnostic	C4-ORC-105 part-filling-advanced-deferred locatable diagnostics;next owner is support/order/source-map modeling, not GUI DocumentObject	C4-VAL-101	C4-S4
C4-SRC-006	C4-M1	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/Tools.cpp;GeomPlate/BuildPlateSurfacePyImp.cpp	Tools::makeSurface;GeomPlate_BuildPlateSurface wrappers	cad-core/src/part/part_geomplate.cpp	GeomPlate 3D curve/point constraints and non-default approximation params are expected-backed;initial surface, 2D/projected constraints and PlateSurface.Curves wrapper remain explicit helper deferred	supported_expected_backed_with_deferred_wrappers	C4-ORC-106 part-geomplate-advanced-constraints native expected;part-geomplate-advanced-deferred locatable diagnostics	C4-VAL-101	C4-S4
C4-SRC-201	C4-M2	/Users/li/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeatureRevolution.cpp;FeatureRevolved.cpp;FeatureSketchBased.cpp;Body.cpp	Revolution::execute -> executeRevolved(FuseWithBase);Revolved::tryExecuteRevolved;ProfileBased::getAxis;Body::execute	cad-core/src/part_design/feature_revolution.cpp;feature_revolved.cpp;cad-core/src/part/topo_shape_expansion.cpp	front-end profile-to-revolution feature first slice is product-needed for axis+Angle additive Body chain	supported_expected_backed_angle_with_deferred_boundaries	C4-ORC-201 partdesign-revolution-axis-angle-body native expected;deferred diagnostics for TwoAngles/ThroughAll/UpTo*/Profile subshape/FuseOrder=FeatureFirst	C4-VAL-201	C4-S5
C4-SRC-202	C4-M2	/Users/li/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeatureGroove.cpp;FeatureRevolved.cpp;FeatureSketchBased.cpp;Body.cpp	Groove::execute -> executeRevolved(CutFromBase);Revolved::tryExecuteRevolved;ProfileBased::getAxis;Body::execute	cad-core/src/part_design/feature_groove.cpp;feature_revolved.cpp;cad-core/src/part/topo_shape_expansion.cpp	subtractive revolution first slice is product-needed for axis+Angle Groove cut replay in Body chain	supported_expected_backed_angle_with_deferred_boundaries	C4-ORC-201 partdesign-groove-axis-angle-body native expected;deferred diagnostics for TwoAngles/ThroughAll/UpTo*/Profile subshape/FuseOrder=FeatureFirst	C4-VAL-201	C4-S5
C4-SRC-203	C4-M2	/Users/li/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeatureLoft.cpp	Loft::execute/getSectionShape, Sections, Ruled, Closed, Additive/Subtractive	cad-core/src/part_design/feature_loft.cpp;cad-core/src/part/topo_shape_expansion.cpp	PartDesign Loft first slice now covers full-profile Sketch Profile plus one Sketch section through sewing/solidification/AddSubShape and Body replay;complex selection/Closed multi-section/multi-wire/sewing mapper remain deferred	supported_expected_backed_first_slice_with_deferred_boundaries	C4-ORC-204 partdesign-loft-additive-body and partdesign-loft-subtractive-body native expected;deferred boundaries documented	C4-VAL-201	C4-S5A
C4-SRC-204	C4-M2	/Users/li/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeaturePipe.cpp	Pipe::execute/buildPipePath/setupAlgorithm, Spine, Sections, Mode, Transformation, Transition	cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part/topo_shape_expansion.cpp	PartDesign Pipe first slice covers full-profile Sketch Profile plus one Body-scope Sketch Spine path through PipeShell maker history, AddSubShape and Body replay;Sections/Auxiliary/Binormal/scaling law/full Transformation/non-default Transition remain deferred	supported_expected_backed_first_slice_with_deferred_boundaries	C4-ORC-205 partdesign-pipe-additive-body and partdesign-pipe-subtractive-body native expected;partdesign-pipe-deferred-diagnostics locatable diagnostics	C4-VAL-201	C4-S5B
