id	pressure_axis	classification	fixture_name	status	source_ownership	terminal_history	elementReferenceUpdates	documentObjectUpdates	reference_shadow_policy	source_evidence	cad_core_landing	validation	s9_owner	acceptance_boundary
C4M4-TR-PRESS-001	multi_producer	updated	topo-reference-pressure-multi-producer-updated	done_c4s9	Original Sketch/Body source owns StableSubList through Pad/Pocket/Boolean/Pattern chain; no output-order, bbox, or fixture-name alias.	Resolved modified/merge history from nested MapperHistory; split/deleted terminal history absent for this row.	Emit updated oldSubname->newSubname entries with stableSubname preserved and relation=updated.	None.	Not required.	p6/body-additive-fuse-history;p7/linear-pattern-pad-pocket-multi-original;c4m2/partdesign-boolean-*-body-tool	src/Mod/Part/App/TopoShapeExpansion.cpp::makeShapeWithElementMap;cad-core/src/part/topo_shape.cpp::propagateNestedSourceHistory;cad-core/src/app/property_links.cpp	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	Multiple producers can update a stable reference only when source ownership resolves to one current terminal element.
C4M4-TR-PRESS-002	rename_label	updated	topo-reference-pressure-rename-label-updated	done_c4s9	DocumentObject id and unique Label owner prove rename; current object name/label wins only when target owner is unique.	Preserved/identity terminal history; only the object/label-qualified prefix changes.	Emit updated LinkSub/LinkSubList subname and StableSubList entries from old object/label prefix to current prefix.	None.	Not required.	p8/app-link-label-qualified-sublist;p8/app-link-multilevel-label-qualified-sublist;src/App/PropertyLinks.cpp::updateLabelReference	cad-core/src/app/property_links.cpp::normalizeSourceObjectRenameLinks;normalizeLabelReferenceLinks	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	Rename updates are accepted only with unique source ownership evidence, not by string replacement alone.
C4M4-TR-PRESS-003	rename_label	diagnostic_only	topo-reference-pressure-rename-label-ambiguous-diagnostic	done_c4s9	Old/current label maps to multiple owners or the current target Label is not unique.	No terminal topology history is consumed because ownership is ambiguous before topo lookup.	No update entry; emit label_reference_ambiguous diagnostic with object/property/target/subname.	None.	Not required.	src/App/PropertyLinks.cpp::updateLabelReference;cad-core/src/app/property_links.cpp::addLabelReferenceAmbiguousDiagnostic	cad-core/src/app/property_links.cpp	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	Ambiguous label ownership is diagnostic_only and must not produce a guessed alias.
C4M4-TR-PRESS-004	link_retag	updated	topo-reference-pressure-link-retag-updated	done_c4s9	LinkedObject source owns the subshape; App::Link retags aliases under Link object, ElementCount index, and materialized LinkElement label.	Modified retag alias resolves to one current terminal element.	Emit updated entries from linked target prefix to Link/LinkElement retagged stable prefix.	None unless ShowElement lifecycle is also active.	Not required.	p8/app-link-body-merge-history-retag;p8/app-link-show-element-index-target-prefix;p8/app-link-element-count-sublist-target-prefix	src/Mod/Part/App/TopoShapeExpansion.cpp::reTagElementMap;cad-core/src/part/topo_shape.cpp::addLinkRetagAlias;cad-core/src/app/link.cpp	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	Link retag is an owner-qualified ElementMap alias, not a display-order alias.
C4M4-TR-PRESS-005	copy_on_change	updated	topo-reference-pressure-copy-on-change-owned-child	done_c4s9	Owned App::LinkElement with _LinkOwner and LinkCopyOnChange=2 owns the copied graph; parent link only coordinates lifecycle.	Preserved/modified history is terminal under the owned child, not the original parent target.	Emit updated entries to the owned child stable path when the copied graph has one resolved target.	Emit create/update/claim documentObjectUpdates for owned child lifecycle; do not overwrite owned child LinkedObject.	ReferenceShadow only if the copied child carries a single subshape snapshot.	p8/app-link-show-element-element-list-copy-on-change-owned-child;cad-core/src/app/copy_on_change.h;cad-core/src/app/link.cpp	cad-core/src/app/link.cpp::addCopyOnChangeLifecycleUpdates;executeInheritedMaterializedLinkElement;cad-core/src/part/topo_shape.cpp	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	CopyOnChange pressure must assert both elementReferenceUpdates and documentObjectUpdates without introducing backend session state.
C4M4-TR-PRESS-006	import_change	unchanged	topo-reference-pressure-import-unchanged	done_c4s9	Import object owns owner-qualified Face/Edge/Vertex aliases from import_shape_element_map.	Preserved import_shape_element_map terminal history.	No elementReferenceUpdates when stable and current subnames are equivalent.	None.	ReferenceShadow not required; imported file remains input graph data, not cached output BREP state.	p8/part-import-step;p8/part-import-iges;p8/part-import-brep;src/Mod/Part/App/FeaturePartImportStep.cpp	cad-core/src/part/topo_shape_expansion.cpp::namedShapeForImportedShape	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	Unchanged import rows prove the update channel stays quiet when the stable alias is still valid.
C4M4-TR-PRESS-007	import_change	needs_reselect	topo-reference-pressure-import-change-deleted	done_c4s9	Import owner remains known, but the selected stable subshape has no current equivalent after file change.	Deleted terminal history.	No unique update; emit needs_reselect/subname_deleted or deleted_stable_subname diagnostic with object/property/target/subname.	None.	A single ReferenceShadow subshape snapshot may be used as evidence; full imported BREP cannot be persisted as state.	p8/part-import-step;p8/part-import-iges;p8/part-import-brep;c4m3 ReferenceShadow deleted diagnostics	cad-core/src/part/topo_shape_reference.cpp;cad-core/src/part/topo_shape.cpp::addTerminalHistory	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	Deleted imported subshape requires frontend reselect; it must not be remapped to the nearest current face/edge.
C4M4-TR-PRESS-008	import_change	diagnostic_only	topo-reference-pressure-import-change-ambiguous-diagnostic	done_c4s9	Import owner is known, but old evidence matches multiple current subshapes or the import source is unavailable.	Ambiguous/unavailable terminal state; no ElementMap alias is written.	No update entry; emit subname_resolve_ambiguous or import_missing diagnostic with evidence count.	None.	ReferenceShadow remains single subshape evidence only; no full BREP fallback.	c4m3/sketch-external-internal-reference-shadow-ambiguous-diagnostic;p8/part-import-*-missing	cad-core/src/part/topo_shape_reference.cpp;cad-core/src/runtime diagnostics	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	Ambiguous import recovery is diagnostic_only and never becomes a unique alias.
C4M4-TR-PRESS-009	shapefix_refine	updated	topo-reference-pressure-shapefix-refine-updated	done_c4s9	Pre-fix/pre-refine source owns stable subshape; ShapeFix/Refine history proves one-to-one modified or merge relation.	Resolved modified/merge terminal history.	Emit updated oldSubname->newSubname when one target remains.	None.	Not required.	p7/pad-refine-true;p7/pocket-refine-true;p7/fillet-refine-true;p7/chamfer-refine-true	src/Mod/Part/App/TopoShape.cpp::fix;TopoShapeExpansion.cpp::makeElementRefine;cad-core/src/part/topo_shape.cpp	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	ShapeFix/Refine updates are accepted only from maker/history relation, not geometry similarity.
C4M4-TR-PRESS-010	shapefix_refine	needs_reselect	topo-reference-pressure-shapefix-refine-deleted	done_c4s9	Pre-fix/pre-refine source is known, but the referenced edge/face was removed by fix/refine.	Deleted terminal history.	No unique update; emit needs_reselect/deleted_stable_subname diagnostic.	None.	ReferenceShadow can only confirm old single subshape evidence, not resurrect deleted topology.	p7/pocket-refine-true;p7/linear-pattern-whole-shape-refined-prefix-support	cad-core/src/part/topo_shape.cpp::addTerminalHistory;cad-core/src/part/topo_shape_mapper.cpp	C4-VAL-401 S9 focused run;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	Deleted fix/refine history remains needs_reselect even if bbox-near current elements exist.
