non_goal_id	item	reason	prohibited_action	reopen_condition
C6M3-NG-001	FreeCAD parity claim	FreeCAD has enum only and no executable Interpolation law branch	Do not write freecad_parity or native expected for Interpolation geometry	Only reopen if upstream FreeCAD implements and oracle is collected
C6M3-NG-002	Linear or S-shape fallback	Interpolation product contract must be distinct	Fallback to Linear/S-shape for missing or invalid LawSamples	Never for C6-M3
C6M3-NG-003	cross-request law cache	CAD Core is stateless and request-local	Store law samples or generated law across requests	Never for CAD Core backend
C6M3-NG-004	GUI LawSamples editor	This package is backend product contract	TaskPanel, ViewProvider, web UI editor	Separate frontend/product package
C6M3-NG-005	blanket capability promotion	Capability must match implemented fixtures	Remove all pipe remaining gaps or claim full PartDesign Pipe coverage	Only after separate package covers every remaining Pipe boundary
C6M3-NG-006	C6-M2 regression reopen	C6-M2 gate is closed and only ORC-013 known environment gap remains	Mix expected fixture recovery work into C6-M3	Separate regression package if a new failure appears
C6M3-NG-007	LawSamples repair normalization	The S1 contract normalizes only accepted samples in response metadata	Sort samples, clamp parameters, inject endpoint samples, coerce sample shape, or repair invalid scale	Never for C6-M3; invalid request must use stable diagnostics
C6M3-NG-008	C6-M1 legacy fixture mutation in S1/S2	S1 is a contract freeze and S2 is a matrix planning step; the C6-M1 boundary fixture is migration evidence	Edit cad-core/fixtures/c6m1/partdesign-pipe-interpolation-law-boundary.json or add fixtures in S1/S2	S5 may create C6-M3 fixtures from the legacy input after S3/S4 implementation lands
C6M3-NG-009	S2 implementation work	S2 only plans executable rows from the frozen contract	Write C++ code, create or edit fixtures, publish capability, or change adapter assertions in S2	S3-S5 own implementation after S2 rows are accepted
C6M3-NG-010	C6-M1 closed row reopening	C6-M1 S6 closed Linear/S-shape product extension and Interpolation diagnostic boundary; C6-M3 consumes it as precedent	Mark C6-M1 matrices or docs pending again, or rewrite C6-M1 fixture semantics from S2	Open a separate C6-M1 correction only if live code contradicts the closed evidence
C6M3-NG-011	S1 DTO shape change	S1 froze array-pair LawSamples and diagnostics	Accept object-form samples, add implicit defaults, change diagnostic codes, or modify response metadata shape from S2	Reopen S1 explicitly with a new contract-change step
