source_id	file_or_area	class_function	semantics	evidence_to_capture	cad_core_target	current_status	next_step
C7M5-SRC-101	src/Mod/PartDesign/App/FeatureTransformed.cpp	PartDesign::Transformed::execute	execute skips MultiTransform children, sets BaseFeature from Body when missing, calls positionBySupport, gets subclass transformations, then Features mode replays each Original AddSubShape add/sub slot through makeElementTransform plus fuse/cut; WholeShape fuses transformed support copies	Reviewed lines 302-443 for setBaseProperty, getTransformations, getAddSubShape, makeElementTransform, makeElementFuse, makeElementCut and refineShapeIfActive	cad-core/src/part_design/feature_transformed.cpp	source_reviewed_for_s2	S2
C7M5-SRC-102	src/Mod/PartDesign/App/FeatureDressUp.cpp	DressUp::getAddSubShape	SupportTransform finds previous FeatureAddSub while skipping consecutive DressUp; additive support yields add slot, subtractive support yields sub slot; without SupportTransform the cache stores add=cut(shape,base) and sub=cut(base,shape)	Reviewed lines 294-410 for cache invalidation, SupportTransform owner search, compound AddSubShape cache and first/second slot extraction	cad-core/src/part_design/feature_dress_up.cpp	source_reviewed_for_s2	S2
C7M5-SRC-103	src/Mod/PartDesign/App/FeatureMultiTransform.cpp	MultiTransform::getTransformations	child transformed features are composed in property order; first child seeds the list; Scaled children use divisor-checked diagonal composition around current slice COG; non-Scaled children multiply every old transform by every new transform	Reviewed lines 78-185 for first-original COG, Scaled divisor validation, diagonal method and multiplication method	cad-core/src/part_design/feature_multi_transform.cpp	source_reviewed_for_s2	S2
C7M5-SRC-104	src/Mod/Part/App/TopoShapeExpansion.cpp	TopoShape::makeElementTransform	transform copy uses BRepBuilderAPI_Transform or location move, then copyElementMap(tmp, op) when retagging is required; ownership is copied/retagged rather than inferred from output geometry	Reviewed lines 3482-3526 for CopyType handling, transformed tmp shape and copyElementMap(tmp, op)	cad-core/src/part/topo_shape.cpp	source_reviewed_for_s2	S2
C7M5-SRC-105	cad-core/src/part/topo_shape.cpp	namedShapeForTransformedCopy	current cad-core creates indexed output owner, retags owner.element aliases from the source, copies source elementMap aliases, propagates nested source history and adds merge history	Reviewed lines 3557-3581; this is the current already-covered baseline for TransformN alias, original stable alias, terminal history and merge propagation	cad-core/src/part/topo_shape.cpp	cad_core_covered_baseline	S2
C7M5-SRC-106	cad-core/tests/test_p7_features.py	CadCoreP7FeatureTest	focused tests already assert DressUp slot history, transformed pattern ownership, terminal split/deleted history, TransformN aliases, MultiTransform composition and expected fixture parity	Reviewed assert_dressup_slot_history, assert_transformed_pattern_ownership, test_p7_transformed_copy_preserves_terminal_stable_history and transformed pattern tests around lines 32-69, 164-196, 3060-3344	cad-core/tests/test_p7_features.py	test_coverage_reviewed_for_s2	S2
C7M5-SRC-107	src/Mod/PartDesign/App/FeatureMirrored.cpp	Mirrored::getTransformations	Mirrored supplies a transformed child list from sketch axis, datum plane or planar support and is consumed by Transformed::execute / MultiTransform composition	Reviewed line 68 entry and axis source handling; existing p7 mirrored fixtures cover datum plane, whole shape, support transform and terminal history	cad-core/src/part_design/feature_mirrored.cpp	source_reviewed_already_covered	S2
C7M5-SRC-108	src/Mod/PartDesign/App/FeatureLinearPattern.cpp	LinearPattern::getTransformations	LinearPattern validates occurrences, calculates first and second direction steps, and returns nested step1+step2 translations consumed by Transformed::execute / MultiTransform	Reviewed lines 229-262 for occurrence validation, custom spacing update and two-direction step composition	cad-core/src/part_design/feature_linear_pattern.cpp	source_reviewed_already_covered	S2
C7M5-SRC-109	src/Mod/PartDesign/App/FeaturePolarPattern.cpp	PolarPattern::getTransformations	PolarPattern includes the identity transform, then accumulates extent or spacing-pattern rotations around the selected axis	Reviewed lines 145-205 for occurrence validation, 360-degree extent handling, identity inclusion and spacing-pattern accumulation	cad-core/src/part_design/feature_polar_pattern.cpp	source_reviewed_already_covered	S2
C7M5-SRC-110	src/Mod/PartDesign/App/FeatureScaled.cpp	Scaled::getTransformations	Scaled validates factor/occurrences, uses first original AddSubShape centre of mass when present, includes identity, then appends scale transforms for later occurrences	Reviewed lines 57-95 for factor validation, first original COG and identity plus scaled occurrences	cad-core/src/part_design/feature_scaled.cpp	source_reviewed_already_covered	S2
C7M5-SRC-201	cad-core/tools/collect_freecad_expected.py	FreeCAD expected collector	Native expected collection and skip unsupported lifecycle gates were not run in S1; S2 must decide which support-backed candidates deserve S3 oracle collection	Collector route deliberately remains pending because S1 did not collect oracle, add fixture, change expected or change tests	cad-core/tools	collector_route_pending	S2
