id	candidate	requires	owner_step	initial_classification	expected_source	request_local_boundary	current_comparison_status	s4_gate	decision	exit_condition
C12M18-CAT-001	active_remaining_or_known_gap	non-empty remaining_gaps or known_gaps plus request-local mismatch	S1/S2	no_active_gap_at_s1	none	current capability has no active remaining_gaps or known_gaps	S1 jq queries produced no output; S2 did not find a hidden family gate that turns this into a comparable mismatch	not_s4_candidate_until_new_gap	no_default_implementation	Open only if a later step finds a new active gap with comparable expected/contract and mismatch.
C12M18-CAT-002	revolution_groove_narrowed_gap	same-baseline native success plus current mismatch	S2	product_diagnostic_contract_non_parity_retained	C12-M7 product diagnostic contract	approved for diagnostic contract	current-covered product diagnostic with freecad_native_parity=false; no same-baseline native success and no mismatch_confirmed	not_s4_candidate	retained_product_diagnostic_non_parity	Reopen only if same FreeCAD/LibPack/OCCT baseline proves UpToFirst and UpToFace native success plus current mismatch.
C12M18-CAT-003	part_workbench_narrowed_gap_rows	stable expected/product contract plus request-local boundary plus current mismatch	S2	historical_mixed_rows	mixed native-hidden, helper-blocked, product-contract and checked-in expected rows	mixed approved or not comparable	S2 review found current-covered, native-hidden, helper-blocked, oracle-blocked, product-contract non-parity or non-goal rows only; no mismatch_confirmed	not_s4_candidate	reviewed_s2_no_part_workbench_s4_candidate	Do not authorize from narrowed_gaps name alone; reopen only from a row with stable expected/contract and current mismatch.
C12M18-CAT-004	partdesign_axis_bspline_non_line	strict parity request from user or product contract conflict	S3	product_extension_retained	product decision and capability boundary	approved as product extension	no mismatch; intentional product behavior	not_s4_candidate	product_extension_retained	Only reopen if user requests strict FreeCAD parity or capability/expected falsely claims native parity.
C12M18-CAT-005	sketch_edge_stable_id_frontend_sync	my-chili3d consumer gap after backend current support	S2/S3	frontend_candidate_not_backend_gap	C12-M11/M15/M16 backend contracts	current-supported backend; frontend external	current-supported backend response and identity ledger; no backend mismatch_confirmed	frontend_route_only	backend_current_supported_frontend_sync_candidate	If product issue remains, create my-chili3d package, not FreeCAD/cad-core C++ package.
C12M18-CAT-006	next_implementation_package_authorization	mismatch-confirmed row plus source/landing/test surface	S4/S5	not_authorized_s5	none	not applicable	no mismatch-confirmed row; no new expected/product-contract package route	closed_s5	backend_no_code_gate_frontend_sync_recommended	S5 published no backend implementation authorization; only external my-chili3d frontend sync is recommended.
C12M18-CAT-101	part_workbench_filling_narrowed_gaps	stable native helper expected or approved product contract plus current mismatch	S2	helper_blocked_product_contract_non_parity_history	C6-M5 product contract and historical Part.makeFilledFace helper evidence	mixed request-local product contract and native helper blockers	product-contract covered or native helper blocked; current comparison is not comparable where native helper expected is missing; no mismatch_confirmed	not_s4_candidate	retained_helper_blocked_product_contract_non_parity	Reopen only after stable native helper expected exists and current mismatch is proven.
C12M18-CAT-102	part_workbench_geomplate_narrowed_gaps	stable native helper expected or approved product contract plus current mismatch	S2	mixed_native_hidden_oracle_blocked_request_local_supported	C6-M6/C8-M4 product contracts plus historical native helper evidence	mixed request-local contract, native-hidden blocker, oracle blocker and non-goal boundary	request-local criteria/projected rows current-supported; native hidden, oracle blocker and PlateSurface lifecycle non-goal rows retained; no mismatch_confirmed	not_s4_candidate	retained_mixed_no_s4_candidate	Reopen only if a retained native/oracle/non-goal row gains approved expected/contract and current mismatch.
C12M18-CAT-103	part_workbench_loft_narrowed_gap	stable native subelement expected plus current mismatch	S2	native_hidden_product_contract_boundary	C6-M7 product contract and C5-M12 native-hidden tuple assignment evidence	product contract non-parity; native selected subelement expected unavailable	not comparable to native hidden selected subelement storage; no mismatch_confirmed	not_s4_candidate	retained_native_hidden_product_contract_boundary	Reopen only if upstream Part::Loft.Sections exposes native subelement storage and current mismatch is proven.
C12M18-CAT-104	part_workbench_project_on_surface_narrowed_gap	native mapper/history expected or product contract conflict plus current mismatch	S2	native_oracle_unavailable_product_contract_retained	C12-M4 request-local projection ledger product contract	approved request-local ledger; native mapper/history oracle unavailable	current-covered request-local product contract; native mapper/history oracle unavailable; no mismatch_confirmed	not_s4_candidate	retained_native_oracle_unavailable_product_contract	Reopen only if future FreeCAD native artifact exposes stable mapper/history ownership expected evidence or product contract mismatch.
C12M18-CAT-105	part_workbench_sweep_narrowed_gaps	stable FreeCADCmd helper expected plus current mismatch	S2	helper_build_blocker_product_contract_non_parity_history	C6-M4 product contract and C5-M10 helper wrapper evidence	product contract non-parity; Location overload not collected	current-supported approved subset plus helper build blocker/product-contract non-parity for Location overload; no mismatch_confirmed	not_s4_candidate	retained_helper_build_blocker_product_contract_non_parity	Reopen only after stable FreeCADCmd helper shape_summary exists and current mismatch is proven.
C12M18-CAT-106	assembly_request_local_subset	request-local assembly expected plus current mismatch	S2	current_supported_subset_with_non_goals	C12-M9 Assembly request-local subset and checked-in current coverage	approved for grounded joints, extended distance geometry, subshape marker placement, runPreDrag and placement validation	current-covered request-local subset; full solver, persistent solver state and cross-request session are non-goals; no mismatch_confirmed	not_s4_candidate	retained_current_supported_with_non_goals	Reopen only with checked-in request-local expected/current mismatch or approved product contract conflict.
C12M18-CAT-107	sub_shape_binder_copy_on_change_family	request-local SubShapeBinder expected plus current mismatch	S2	current_supported_subset_session_cache_non_goal	C12-M10 post-S6 request-local support recompute subset	approved for BindCopyOnChange=Enabled/Mutated and PartialLoad=True request-local subset; persistent _tmp_binder/_CopiedObjs session cache rejected	current-supported request-local subset and no active remaining/known gap; native session parity not comparable; no mismatch_confirmed	not_s4_candidate	retained_current_supported_session_cache_non_goal	Reopen only for request-local expected/current mismatch or explicit architecture decision to support persistent native session semantics.
