id	area	freecad_source	cad_core_landing	evidence_status	owner_step	notes
P8LAR-SRC-001	LinkBaseExtension child cache	/Users/li/Chili3DProject/FreeCAD/src/App/Link.cpp; /Users/li/Chili3DProject/FreeCAD/src/App/Link.h	cad-core/src/app/link.cpp	source_to_verify	S1	精确到 _ChildCache / _LinkOwner / _LinkTouched 及其生命周期
P8LAR-SRC-002	ShowElement materialization	/Users/li/Chili3DProject/FreeCAD/src/App/Link.cpp	cad-core/src/app/link.cpp	source_to_verify	S1	确认 materialized / synthetic / stale / toggle-off child 事务顺序
P8LAR-SRC-003	ElementCount collapsed lists	/Users/li/Chili3DProject/FreeCAD/src/App/Link.cpp	cad-core/src/app/link.cpp	source_to_verify	S1	确认 PlacementList / ScaleList / VisibilityList 优先级
P8LAR-SRC-004	CopyOnChange ledger	/Users/li/Chili3DProject/FreeCAD/src/App/Link.cpp	cad-core/src/app/link.cpp	source_to_verify	S1	确认 deep copy / touched / relink / owner sync 是否属于本轮 supported
P8LAR-SRC-005	PropertyLink label references	/Users/li/Chili3DProject/FreeCAD/src/App/PropertyLinks.cpp	cad-core/src/app/property_links.cpp	source_to_verify	S1	确认 label refs / element refs / mapped alias 的 source authority
P8LAR-SRC-006	PropertyXLink external document	/Users/li/Chili3DProject/FreeCAD/src/App/PropertyLinks.cpp	cad-core/src/app/property_links.cpp	source_to_verify	S1	确认 missing / unloaded / pending / restored / hash mismatch lifecycle
P8LAR-SRC-007	Plain DocumentObjectGroup	/Users/li/Chili3DProject/FreeCAD/src/App/DocumentObjectGroup.cpp	cad-core/src/app/link.cpp	source_to_verify	S1	确认 plain group nested traversal 和 LinkGroup source alias
P8LAR-SRC-008	Mapped postfix / stable subname	/Users/li/Chili3DProject/FreeCAD/src/App/ElementNamingUtils.h; /Users/li/Chili3DProject/FreeCAD/src/App/PropertyLinks.cpp	cad-core/src/app/link.cpp; cad-core/src/topo	source_to_verify	S1	确认 FullSubList / mapped postfix / source-prefixed stable key
P8LAR-SRC-009	Imported shape ElementMap	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PropertyTopoShape.cpp; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShape.cpp	cad-core/src/part; cad-core/src/topo	source_to_verify	S1	确认 import subshape map 和 Link chain 消费边界
P8LAR-SRC-010	AssemblyLink display graph	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyLink.cpp	cad-core/src/assembly/assembly_link.cpp	source_to_verify	S1	确认 AssemblyLink 与 Link graph 的 display / placement 关系
P8LAR-SRC-011	AssemblyObject solver dispatch	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	cad-core/src/assembly/joint_solver.cpp	source_to_verify	S1	确认 Joint / GroundedJoint / remaining JointType 分发
P8LAR-SRC-012	Marker placement chain	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	cad-core/src/assembly/joint_solver.cpp	source_to_verify	S1	确认 handleOneSideOfJoint / offsetPlc / part-local placement
P8LAR-SRC-013	DistanceType and current value	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.cpp; /Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.h	cad-core/src/assembly/joint_solver.cpp	source_to_verify	S1	确认 current value / scalar / swapJCS 后续扩展边界
P8LAR-SRC-014	JointGroup diagnostics	/Users/li/Chili3DProject/FreeCAD/src/Mod/Assembly/App/JointGroup.cpp	cad-core/src/assembly/joint_group.cpp	source_to_verify	S1	确认 hidden reference / group diagnostics
P8LAR-SRC-015	C API capability	/Users/li/Chili3DProject/FreeCAD/cad-core/src/adapters/c_api/c_api.cpp	cad-core/src/adapters/c_api/c_api.cpp	source_to_verify	S1	确认 supported subset / remaining gaps / resource diagnostics key
P8LAR-SRC-016	Worker / WASM contract	/Users/li/Chili3DProject/FreeCAD/cad-core/src/adapters	cad-core/src/adapters; cad-core/tests/test_adapters.py	source_to_verify	S1	确认 adapter 只透传 core schema
