blocker_id	scope_id	blocker_axis	required_evidence	cad_core_landing	fixture_or_test_route	next_step	close_condition
P5P6-BLOCK-001	P5P6-SCOPE-001	topo_history_core	FreeCAD MapperMaker/MapperHistory and ElementMap trace semantics	cad-core/include/cad_core/app/element_map.h; cad-core/src/app/element_map.cpp; cad-core/src/part/topo_shape_mapper.cpp	focused topo history tests	Define MapperHistory event schema and relation policy	Events can express identity, generated, modified, split, merge, deleted and ambiguous with stable diagnostics
P5P6-BLOCK-002	P5P6-SCOPE-002	element_map_lifecycle	ElementMap add/find/findAll/getElementHistory/traceElement child-map and postfix behavior	cad-core/src/app/element_map.cpp	p6 source-prefixed and mapped postfix stable key fixtures	Implement lifecycle APIs and tests	Resolver can query old/current names without geometry guessing
P5P6-BLOCK-003	P5P6-SCOPE-003	facemaker_history_producer	FaceMakerBuildFace pre-split, splitter and postBuild mapper evidence	cad-core/src/part/face_maker.cpp; cad-core/src/part/topo_shape_mapper.cpp	p5 bounded split and self-intersection fixtures	Emit history events from FaceMaker producer	InternalFace/InternalEdge/InternalVertex origins no longer depend on output-order matching
P5P6-BLOCK-004	P5P6-SCOPE-004	wire_joiner_history_producer	WireJoiner EdgeInfo/WireInfo, noOriginal, openWireCompound and aHistory behavior	cad-core/src/part/wire_joiner.cpp; cad-core/src/part/topo_shape_mapper.cpp	p5 dangling line, through open cutter and open-wire split fixtures	Emit history events from WireJoiner producer	Open-wire fragments have source ownership or explicit split/deleted diagnostics
P5P6-BLOCK-005	P5P6-SCOPE-005	runtime_reference_resolver	ElementMap, source-prefixed key, mapped postfix, ReferenceShadow and split/deleted outcomes	cad-core/src/runtime/recompute.cpp; cad-core/src/app/property_links.cpp	p6 UpToFace, LinkSub and Sketch ExternalGeometry stable refs	Define resolver result enum and writeback updates	All reference update consumers use one resolver entry point
P5P6-BLOCK-006	P5P6-SCOPE-006	referenceshadow_evidence	ReferenceShadow fingerprint and single subshape BREP evidence behavior	cad-core/src/part/brep_snapshot.cpp; cad-core/src/runtime/recompute.cpp	p6 ReferenceShadow recovery fixtures	Connect shadow evidence to resolver	Shadow is evidence-only and never becomes modeling input
P5P6-BLOCK-007	P5P6-SCOPE-007	external_defining_oracle	FreeCAD expected for defining external profile vs reference-only projection	cad-core/src/sketcher/sketch_object_external.cpp	p5 external defining profile oracle	Collect oracle before implementation	Status changes from notCollected to backendGap or supported
P5P6-BLOCK-008	P5P6-SCOPE-008	external_frozen_sync_oracle	FreeCAD expected for Frozen without Sync and Frozen+Sync refresh	cad-core/src/sketcher/sketch_object_external.cpp	p5 frozen/sync oracle	Collect oracle before implementation	Status changes from notCollected to backendGap or supported
P5P6-BLOCK-009	P5P6-SCOPE-009	external_detached_oracle	FreeCAD expected for Detached after source changes	cad-core/src/sketcher/sketch_object_external.cpp	p5 detached oracle	Collect oracle before implementation	Status changes from notCollected to backendGap or supported
P5P6-BLOCK-010	P5P6-SCOPE-010	external_missing_deleted_recovery	Missing flag retry path and deleted target diagnostics	cad-core/src/runtime/recompute.cpp; cad-core/src/sketcher/sketch_object_external.cpp	p5 missing refs; p6 deleted refs	Implement Missing flow through resolver	Missing success clears flag by update suggestion; failure keeps diagnostic
P5P6-BLOCK-011	P5P6-SCOPE-011	internalshape_consumer_switch	FaceMaker/WireJoiner producer events and ElementMap lifecycle	cad-core/src/sketcher/sketch_internal_builder.cpp; cad-core/src/sketcher/sketch_object.cpp	p5 InternalShape regression	Switch InternalShape consumer to history path	Geometry-match internal map is no longer main path for complex split/merge/deleted
P5P6-BLOCK-012	P5P6-SCOPE-012	fallback_retirement	Search result for summary-only, geometry-match and fixture-specific fallback	touched files; docs/CADCore方案/细化方案	p5/p6 regression; git diff --check	Delete or mark temporary fallback with FreeCAD basis and deletion condition	Release gate has no unexplained fallback
