id	kind	trigger	freecad_signal	cad_core_contract	step	status
GEOMPLATE-DIAG-001	non-goal	Fake Part::GeomPlate or native DocumentObject assumption	AppPart.cpp registers Part.PlateSurface and Part.GeomPlate wrappers, not a Part::GeomPlate DocumentObject	Reject or ignore fake DocumentObject path; emit capability wording as geometry helper only	S1/S2	closed-S2
GEOMPLATE-DIAG-002	parse	No curve_constraints and no point_constraints	PlateSurfacePyImp.cpp:108 raises "set points or curves as constraints"; Tools.cpp:227 throws construction error for empty boundary	`missing_constraints` diagnostic with helper/object context	S1	closed-S1
GEOMPLATE-DIAG-003	parse	Curve constraint source is missing, null, not a curve, or unsupported	BuildPlateSurfacePyImp.cpp:232 says "PointConstraint or CurveConstraint expected"; CurveConstraintPyImp.cpp:90 says "No valid curve handle"	`missing_curve_source`, `invalid_curve_source` or `unsupported_curve_source` with property path	S1	closed-S1
GEOMPLATE-DIAG-004	parse	Point vector is missing, wrong arity, or non-finite	PointConstraintPyImp.cpp requires Base::VectorPy and wraps Standard_Failure as RuntimeError	`invalid_point_constraint` with index and property path	S1	closed-S1
GEOMPLATE-DIAG-005	parse	Build or approximation numeric params are non-finite, zero/negative where FreeCAD requires counts, or unknown continuity is requested	Wrappers parse typed ints/doubles; PlateSurface fallback maps unknown continuity to C1	`invalid_parameter` for non-finite/count failures; unknown continuity is rejected explicitly in S1	S1	closed-S1
GEOMPLATE-DIAG-006	build	Perform throws or IsDone is false	BuildPlateSurfacePyImp.cpp:260 wraps Standard_Failure as RuntimeError; Tools.cpp:234 returns null surface when IsDone is false	`perform_failed` or `surface_not_done`; do not emit shape parity	S1	implemented-unhit-S1
GEOMPLATE-DIAG-007	approximation	makeApprox throws or returns null BSplineSurface	PlateSurfacePyImp.cpp:254 raises "Approximation of B-spline surface failed"	`approximation_failed`; retain raw build metadata if available	S1	implemented-unhit-S1
GEOMPLATE-DIAG-008	result	Successful build	BuildPlateSurface exposes IsDone, Surface, G0Error, G1Error, G2Error, curves/order/sense inspection	Result metadata includes isDone=true, surface_kind=GeomPlate_Surface, errors, constraint counts, params, approximation status and source evidence	S1	closed-S1
GEOMPLATE-DIAG-009	boundary	Raw GeomPlateSurface persistence/equality is unavailable	Geometry.cpp:6033 throws NotImplemented for persistence and Geometry.cpp:6054 returns false for isSame	Capability must not claim persistence, equality, or long-lived geometry cache	S2	closed-S2
GEOMPLATE-DIAG-010	non-goal	Attempt to route GeomPlate through Filling/Part.makeFilledSurface	cad-core Filling capability lists geomplate as non-goal; AppPartPy makeFilledSurface is BRepOffsetAPI_MakeFilling path	`unsupported_operation` if request uses filling helper name for GeomPlate; keep capability names separate	S2	closed-S2
