id	field	source	allowed_if	forbidden_if	owner_step
C12M5-FIELD-001	BindCopyOnChange	request DocumentObject graph	S3 frozen: allowed as persistent FreeCAD-style property, but Enabled or Mutated still keeps retained diagnostic unless future DTO is approved	used to imply hidden _tmp_binder or _CopiedObjs cache exists, or App::Link support proves SubShapeBinder support	S1/S3
C12M5-FIELD-002	PartialLoad	request DocumentObject graph	S3 frozen: allowed as persistent property and canLoadPartial input; True still keeps explicit retained diagnostic	used to silently skip copied-object lifecycle or remove copy_on_change_full_temporary_document_cache_not_supported	S1/S3
C12M5-FIELD-003	copy_intent	CAD Core product DTO candidate	S3 rejected for current SubShapeBinder: may only name future request-local copy intent after stable copied-object graph evidence and product approval	requires native object pointer persistent temporary document or _tmp_binder session state	S3
C12M5-FIELD-004	source_identity	Support LinkSub and request graph	S3 frozen: object Name ID source name and support subname are serializable request graph facts	full TopoDS or BREP object transported as model input	S3
C12M5-FIELD-005	mutation_delta	product DTO candidate	S3 rejected for current SubShapeBinder: only acceptable when frontend can apply complete object graph updates before next request	backend stores mutation across requests or delta depends on post-request NamedShape ElementMap cache	S3
C12M5-FIELD-006	documentObjectUpdates	App::Link reference transport	S3 frozen reference-only: App::Link and Assembly create update delete suggestions can be persisted by frontend but do not approve SubShapeBinder CopyOnChange	used as evidence that SubShapeBinder _tmp_binder _CopiedObjs copyObject or recomputeFeature lifecycle is supported	S1/S3/S4
C12M5-FIELD-007	copied_object_snapshot	future candidate only	S3 rejected: S2 retained blocker has no stable copied-object graph DTO; only future schema that serializes copied objects as request graph objects may reopen	captures native _CopiedObjs vector hidden object pointer _tmp_binder session state or _CopiedLink single value as DTO	S2/S3
C12M5-FIELD-008	ElementMap_lifecycle	FreeCAD internal lifecycle	S3 retained blocker: recomputeFeature ElementMap lifecycle remains evidence target only and cannot be carried as request-local state	requires post-request NamedShape or ElementMap cache or suppresses diagnostic without replacement evidence	S2/S3
C12M5-FIELD-009	diagnostic	current product behavior	S3 frozen: publish copy_on_change_full_temporary_document_cache_not_supported when DTO or native evidence is insufficient	suppressed without replacement support	S0/S3/S5
C12M5-FIELD-010	support_subname	request DocumentObject graph	S3 frozen: Support SubList StableSubList FullSubList and single-subshape ReferenceShadow can be persisted as reference facts	used as copied-object graph evidence or extended into full object BREP support	S3
