id	area	evidence_source	observed_semantics	cad_core_s1_contract	oracle_or_boundary
FILLING-SRC-001	python-helper	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPartPy.cpp:122; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPartPy.cpp:1229	getPyShapes accepts a shape, geometry, or sequence of shapes; Part.makeFilledFace rejects empty input as "No input shape" and calls makeElementFilledFace(shapes, params, op)	S1 models a source-backed helper operation with explicit Boundary source links; it does not claim native FreeCAD Part::FilledFace DocumentObject	FILLING-FIX-001;FILLING-FIX-002;FILLING-FIX-003
FILLING-SRC-002	freecad-no-document-object	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/Gui/TaskShapeBuilder.cpp:354; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/Gui/TaskShapeBuilder.cpp:408	GUI ShapeBuilder calls Part.makeFilledFace(...) and stores the result into App.ActiveDocument.addObject('Part::Feature','Face').Shape	S1 collector translates cad-core Part::FilledFace helper fixture into a FreeCAD Python helper call and captures the resulting shape	FILLING-BLK-002
FILLING-SRC-003	parser-kwargs	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPartPy.cpp:1238; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPartPy.cpp:1256	Keyword list includes surface/supports/orders/params, but Wrapped_ParseTupleAndKeywords uses "O|O!OOIIIOddddIIs" without passing &supports and without an explicit TopoShapePy type at O!	Support, order, initial surface, and non-default parameter oracle rows stay blocked until FreeCADCmd probe or collector route proves stable behavior	FILLING-BLK-001;FILLING-BLK-003
FILLING-SRC-004	params-defaults	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeMapper.h:255	BRepFillingParams defaults are degree=3, ptsoncurve=15, numiter=2, anisotropy=false, tol2d=1e-5, tol3d=1e-4, tolG1=0.01, tolG2=0.1, maxdeg=8, maxseg=9	S1 emits these defaults in output metadata and expected-backed tests; non-default values are not published yet	FILLING-FIX-001;FILLING-FIX-002
FILLING-SRC-005	initial-surface	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3795; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3808	If params.surface is a face, makeElementFilledFace calls maker.LoadInitSurface(face)	Keep initial surface outside required S1 until helper kwargs are proven or a dedicated collector path is designed	FILLING-FIX-006
FILLING-SRC-006	boundary-discovery	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3809; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3850	makeElementFilledFace expands compounds, prefers a closed wire, otherwise picks the first wire, or builds wires from edge inputs with ConnectionPolicy::requireSharedVertex	S1 helper lives in part/topo_shape_expansion and preserves closed-wire plus connected-edge boundary choices	FILLING-FIX-001;FILLING-FIX-002;FILLING-FIX-004
FILLING-SRC-007	boundary-fix	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3918	Before adding boundary edges, FreeCAD fixes wire connection tolerance to avoid OCCT BRepFill_Filling WireFromList crash	S1 implementation carries OCCT-safe wire normalization before BRepOffsetAPI_MakeFilling::Add	FILLING-FIX-002
FILLING-SRC-008	constraints	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3930; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3940	Boundary ordered edges are added as IsBound=true; remaining wires/edges are IsBound=false constraints, faces and vertices are added as support face or point constraints	Design fixture rows now, but publish constraint support only after expected distinguishes non-boundary constraints from boundary-only filling	FILLING-FIX-005
FILLING-SRC-009	support-order	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3819; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3834	getOrder/getSupport first check the original shape, then the output map for edge copies; order defaults to GeomAbs_C0	Semantic implementation should keep the map lookup design, but S1 capability marks support/order deferred	FILLING-FIX-007
FILLING-SRC-010	history	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3970; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:4418; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShape.h:3092	After Build(), FreeCAD returns makeElementShape(maker, _shapes, op), which uses MapperMaker Modified/Generated history; default op is Part::OpCodes::FilledFace	S1 tests assert maker-history/source evidence, not only face count or bbox	FILLING-FIX-001;FILLING-FIX-002
FILLING-SRC-011	diagnostics	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPartPy.cpp:1305; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3910; /Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp:3974	FreeCAD boundaries include "No input shape", "No boundary wire", and "Failed to created face by filling edges"	S1 diagnostic fixture preserves source strings where applicable and adds cad-core property/target fields	FILLING-FIX-003
