oracle_id	scope_id	representative	fixture_or_expected	current_evidence	required_action	next_step
C7M1-ORC-000	C7M1-SCOPE-000	live_capability_baseline	cad-core/src/runtime/capability_contract.cpp;cad-core/tests/test_adapters.py	S4 rechecked publication baseline: model_thread status done_first_slice geometry pipe_shell history covered remaining empty native_oracle_fixtures published native_oracle_known_gap_fixtures empty and remaining_gaps empty	route=publication_closure_only; keep as S5 publication baseline and do not change backend code	closed_s4
C7M1-ORC-101	C7M1-SCOPE-201	model_thread_metric_supported	hole-supported-model-thread-metric;expected/hole-supported-model-thread-metric.freecad.json	Expected exists from FreeCADCmd oracle reference not cad-core output; capability lists p7/hole-supported-model-thread-metric; test_p7_features asserts pipe_shell class clearance radius clearance and expected match	route=already_closed_expected_backed; no further oracle collection or implementation required	closed_s4
C7M1-ORC-102	C7M1-SCOPE-202	model_thread_counterbore_supported	hole-supported-model-thread-counterbore;expected/hole-supported-model-thread-counterbore.freecad.json	Expected exists from FreeCADCmd oracle reference not cad-core output; test asserts topology_counts edges 106 faces 50 vertices 60 volume 434.05359569539525 model_thread_compound_tool_shape and threaded_model_thread_head_cut_native_oracle	route=already_closed_expected_backed; no geometry topology or history active gap	closed_s4
C7M1-ORC-103	C7M1-SCOPE-101	standard_counterbore_supported	hole-supported-threaded-standard-counterbore;expected/hole-supported-threaded-standard-counterbore.freecad.json	Expected exists from FreeCADCmd oracle reference not cad-core output; capability publishes standard head cut support; focused tests match iso4762.json diameter depth and expected	route=already_closed_expected_backed; this supported row is the active closure for the old standard counterbore case	closed_s4
C7M1-ORC-104	C7M1-SCOPE-101	standard_countersink_supported	hole-supported-threaded-standard-countersink;expected/hole-supported-threaded-standard-countersink.freecad.json	Expected exists from FreeCADCmd oracle reference not cad-core output; capability publishes standard head cut support; focused tests match iso10642.json diameter and expected	route=already_closed_expected_backed; this supported row is the active closure for the old standard countersink case	closed_s4
C7M1-ORC-105	C7M1-SCOPE-101	dynamic_iso2009_supported	hole-supported-threaded-dynamic-iso2009;expected/hole-supported-threaded-dynamic-iso2009.freecad.json	Expected exists from FreeCADCmd oracle reference not cad-core output; capability lists native oracle fixture; test asserts ISO 2009 and iso2009.json source plus expected	route=already_closed_expected_backed; this supported row is the active closure for the old dynamic ISO2009 case	closed_s4
C7M1-ORC-106	C7M1-SCOPE-101	dynamic_din7984_supported	hole-supported-threaded-dynamic-din7984;expected/hole-supported-threaded-dynamic-din7984.freecad.json	Expected exists from FreeCADCmd oracle reference not cad-core output; capability lists native oracle fixture; focused tests assert DIN 7984 and din7984.json source plus expected	route=already_closed_expected_backed; this supported row is the active closure for the old dynamic DIN7984 case	closed_s4
C7M1-ORC-107	C7M1-SCOPE-301	point_profile_legacy_expected	hole-point-profile;expected/hole-point-profile.freecad.json	Expected exists from FreeCADCmd oracle reference not cad-core output; capability lists p7/hole-point-profile; test asserts Vertex1 center source and findHoles mapper history	route=already_closed_expected_backed; keep as expected-backed point-profile representative	closed_s4
C7M1-ORC-108	C7M1-SCOPE-301	point_profile_supported_expected	hole-supported-point-profile;expected/hole-supported-point-profile.freecad.json	Expected exists from FreeCADCmd oracle reference not cad-core output; fixture uses BaseProfileType 1 and records point profile source candidate	route=already_closed_expected_backed; keep as supported point-profile representative	closed_s4
C7M1-ORC-109	C7M1-SCOPE-301	point_counterbore_supported	hole-supported-point-counterbore;expected/hole-supported-point-counterbore.freecad.json	Expected exists from FreeCADCmd oracle reference not cad-core output; capability lists p7/hole-supported-point-counterbore; tests assert Vertex source plus Counterbore head cut and expected	route=already_closed_expected_backed; point source plus head cut is closed	closed_s4
C7M1-ORC-110	C7M1-SCOPE-301	circle_arc_profile_source_supported	hole-supported-threaded-dynamic-iso2009;hole-supported-model-thread-metric;hole-supported-model-thread-counterbore	Fixtures use BaseProfileType 6 and Edge source history; expected-backed representatives use FreeCADCmd oracle references not cad-core output; tests assert Edge source mapper_history producer evidence and expected matches	route=already_closed_expected_backed; Edge/circle source history is closed	closed_s4
C7M1-ORC-201	C7M1-SCOPE-101	legacy_standard_counterbore_pending	hole-threaded-standard-counterbore;expected/hole-threaded-standard-counterbore.freecad.json	Expected still says FreeCAD Hole threaded-standard oracle pending and known_gap.kind hole_thread_geometry_oracle_pending; supported counterbore row has native expected and current AttachmentSupport/FlatFace input	route=historical_or_native_blocked; retain as diagnostic historical non-active legacy stub and do not collect in C7-M1	closed_historical
