id	contract_axis	owner_step	current_assumption	required_response	current_status	exit_condition
C12M15-CONTRACT-001	geometry_id_identity	S1/S2	FreeCAD-grade stable edge identity comes from GeometryFacade extension id, not GeoId / EdgeN order	When input geometry has unique positive id, current edge publishes sourceGeometryId and sourceStableSubname=g<ID>	source_current_reviewed_s1	S2 writes field contract; S3 classifies current coverage and any missing tests.
C12M15-CONTRACT-002	stable_subname_publish_rule	S2	stableSubname may be persisted only when identityStatus=stable	stableSubname=g<ID> only for mapped geometry id; fallback entries do not publish durable stableSubname	current_behavior_reviewed_s1	S2 defines rule; S3 verifies responseSubshapes and edgeSegments behavior.
C12M15-CONTRACT-003	raw_internal_edge_source_alignment	S2	InternalEdgeN should not invent a separate identity when it can map to raw source geometry	InternalEdgeN carries sourceGeometryId/sourceStableSubname from raw source edge when source-backed	partial_current_reviewed_s1	S3 checks closed/mixed internal profile current behavior; S2 must define when internal_element_map alias is authoritative and when WireJoiner/history gaps remain.
C12M15-CONTRACT-004	index_fallback_boundary	S2	Missing geometry id is allowed but not stable	Response carries identityStatus=index_fallback and no durable stableSubname	current_behavior_reviewed_s1	S2 defines product wording for sourceStableSubname=index:N vs public stableSubname empty; S3 checks current fallback behavior.
C12M15-CONTRACT-005	invalid_duplicate_id_diagnostic	S1/S3	Invalid or duplicate geometry id must fail explicitly	Parser emits invalid_geometry_id or duplicate_geometry_id diagnostic before stable ledger publication	parser_diagnostic_current_reviewed_s1	S3 checks current parser diagnostics against focused tests.
C12M15-CONTRACT-006	reorder_resolution	S2/S3	Reordering Geometry list should not break stable references when geometryId is unchanged	Reference resolution maps old g<ID> to current EdgeN without EdgeN order guessing	current_behavior_reviewed_s1	S3 defines focused test/fixture candidate or marks current_supported if already covered.
C12M15-CONTRACT-007	delete_missing_resolution	S2/S3	Deleted geometry id should not resolve to a random current EdgeN	Reference resolution reports deleted/needs_reselect when g<ID> is absent	current_behavior_reviewed_s1	S3 classifies current deleted_stable_subname behavior and diagnostic wording.
C12M15-CONTRACT-008	geometry_kind_drift	S2/S3	Same id with different geometry kind may be semantic drift	Response/reference resolution records sourceGeometryKind and reports geometry_kind_changed when old/new kind differ	current_behavior_reviewed_s1	S3 verifies current sourceGeometryKind consumer or opens follow-up.
C12M15-CONTRACT-009	split_fragment_boundary	S2/S3	Split one source edge into multiple current fragments is not automatically stable	Design must classify split as explicit fragment mapping or requires reselect; no bbox/mesh guessing	gap_pending_s2_s3	S2/S3 decide whether split is out-of-scope, diagnostic, or next implementation batch; current raw ledger is one raw edge to one source identity.
C12M15-CONTRACT-010	frontend_consumer_boundary	S2	Frontend must consume backend identity and not invent it	Response fields are sufficient for my-chili3d to persist selection without prefix guessing	pending_s2	S2 documents consumer boundary; frontend implementation remains separate.
