blocker_id	scope_id	blocker_axis	required_evidence	cad_core_landing	fixture_or_test_route	next_step	close_condition
P6CR-BLOCK-001	P6CR-SCOPE-001	live_baseline_guard	HEAD 6b1962d5a0, dirty boundary, old P6 matrices, C ABI capabilities and focused tests prove no active C++ backendGap is assumed	cad-core/src/adapters/c_api/c_api.cpp;docs/FreeCAD几何生态迁移工程-细分/P6-MakerHistory-ShapeFix-DressUp-Taper收敛主线	P6 matrix grep; capability focused test	S0 complete; no C++ backendGap from current evidence	Closed by S0: live state recorded and only P6MH-SCOPE-005 remains notCollected
P6CR-BLOCK-002	P6CR-SCOPE-001	old_scope_boundary_guard	ShapeFix, DressUp/Refine/transformed and taper producer baselines stay supported and are not reopened by this package	docs/FreeCAD几何生态迁移工程-细分/P6-MakerHistory-ShapeFix-DressUp-Taper收敛主线/矩阵;p6 capabilities	test_adapters maker history capabilities	S0 complete; supported producer baselines remain read-only unless oracle contradicts them	Closed by S0: P6MH supported rows are referenced and not rewritten as backendGap
P6CR-BLOCK-003	P6CR-SCOPE-001	source_candidate_completeness	FreeCAD source candidates cover ShapeFix/ReShape, ElementMap consumption, DressUp AddSubShape/Refine, and taper ThruSections history before fixture choice	docs/FreeCAD几何生态迁移工程-细分/P6-ComplexReferenceRecovery-ShapeFix-DressUp-Taper收口主线/矩阵	source grep; S1 candidate notes	S1 complete; S2 consumes p6_complex_reference_recovery_source_candidates.tsv	Closed by S1: P6CR-CAND-003/004/006 each records source file, symbol, old reference, producer event, observer route, collector/probe route and cad-core landing
P6CR-BLOCK-010	P6CR-SCOPE-002	shapefix_source_chain	FreeCAD ShapeFix/ReShape source chain showing how an old EdgeN/FaceN becomes modified or deleted and how MapperHistory is consumed	cad-core/src/part/shape_fix.cpp;cad-core/src/part/topo_shape.cpp	rg source audit; c3m1 shapefix baseline tests	S1 complete; S2 collects ShapeFix oracle or records collectorGap	Closed by S1: P6CR-CAND-003 traces removeSmallEdges -> ShapeBuild_ReShape -> MapperHistory(BRepTools_ReShape) -> makeShapeWithElementMap without fixture-derived semantics
P6CR-BLOCK-011	P6CR-SCOPE-002	shapefix_fixture_design	A concrete fixture design where ShapeFix changes a stable old reference and downstream recovery/diagnostic is observable	cad-core/fixtures/c3m1;cad-core/fixtures/p6	fixture draft plus expected route	S1 complete; S2 extends c3m1 shapefix-delete-small-edge into stable-reference oracle	Closed by S1: old Source.Edge1, old current OldSmallEdge, deleted producer mutation, ProbeSketch.ExternalGeometry observer and FreeCADCmd collector/probe route are defined
P6CR-BLOCK-012	P6CR-SCOPE-002	shapefix_collector_or_probe	FreeCADCmd collector or probe can execute the ShapeFix scenario and emit expected old/current reference evidence	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c3m1/expected;cad-core/fixtures/p6/expected	FreeCADCmd expected collection	S2 closed as collectorGap; do not enter S3 ShapeFix mismatch classification until collector/probe can model the old stable observer	Closed by S2: FreeCADCmd runs, but collect_freecad_expected.py rejects fixtures/c3m1/shapefix-delete-small-edge.json with "fixture has no Objects"; no native ShapeFix/removeSmallEdges type plus StableSubList observer route is available, so no expected is checked in
P6CR-BLOCK-013	P6CR-SCOPE-002	shapefix_mismatch_classification	Compare checked-in ShapeFix expected to cad-core output and classify supported/backendGap/diagnostic_expected/nonGoal	cad-core/src/part/shape_fix.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/runtime/recompute.cpp	cad-core/fixtures/c3m1/shapefix-delete-small-edge.json	S3 classified as notCollected because no checked-in expected exists	Closed by S3: ShapeFix remains collectorGap/notCollected and cannot enter backendGap until collector/probe support creates a formal expected
P6CR-BLOCK-020	P6CR-SCOPE-003	dressup_refine_source_chain	FreeCAD DressUp getAddSubShape, Fillet/Chamfer/Draft/Thickness and RefineModel source chain for split/deleted stable references	cad-core/src/part_design/feature_dress_up.cpp;cad-core/src/part/topo_shape.cpp	rg source audit; c3m5 dressup baseline tests	S1 complete; S2 collects DressUp/Refine oracle or records collectorGap	Closed by S1: P6CR-CAND-004 traces Chamfer::execute -> makeElementChamfer -> DressUp::getAddSubShape -> makeElementRefine with native Body membership requirement
P6CR-BLOCK-021	P6CR-SCOPE-003	dressup_refine_fixture_design	A concrete fixture where DressUp/Refine modifies, splits, or deletes an old stable reference and a downstream Base/Support/SubShapeBinder/ExternalGeometry observer sees it	cad-core/fixtures/c3m5;cad-core/fixtures/p6	fixture draft plus expected route	S1 complete; S2 clones c3m5 chamfer-distance-angle-edge with Refine and stable-reference observer	Closed by S1: old Pad.Edge1, old current OldChamferEdge, deleted/split/modified mutation, ProbeSketch/SubShapeBinder observer and collect_freecad_expected route are defined
P6CR-BLOCK-022	P6CR-SCOPE-003	dressup_refine_collector_or_probe	FreeCADCmd collector or probe can execute the DressUp/Refine scenario and emit stable reference recovery evidence	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c3m5/expected;cad-core/fixtures/p6/expected	FreeCADCmd expected collection	S3 compares cad-core output for cad-core/fixtures/p6/sketch-external-edge-stable-chamfer-refine.json before any backendGap promotion	Closed by S2: cad-core/fixtures/p6/sketch-external-edge-stable-chamfer-refine.json and expected/sketch-external-edge-stable-chamfer-refine.freecad.json are checked in; /Users/li/.cargo/bin/FreeCADCmd --check passes
P6CR-BLOCK-023	P6CR-SCOPE-003	dressup_refine_mismatch_classification	Compare checked-in DressUp/Refine expected to cad-core output and classify supported/backendGap/diagnostic_expected/nonGoal	cad-core/src/part_design/feature_dress_up.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/runtime/recompute.cpp	cad-core/fixtures/p6/sketch-external-edge-stable-chamfer-refine.json;cad-core/tests/test_p6_topology.py	S3 classified as supported; no DressUp C++ row for S4	Closed by S3: cad-core output matches FreeCAD expected with diagnostics=[], one ProbeSketch external geometry, zero Missing/Detached/Frozen/Sync flags and empty internal shape
P6CR-BLOCK-030	P6CR-SCOPE-004	taper_thru_sections_source_chain	FreeCAD ExtrusionHelper and MapperThruSections source chain showing generated/modified first/last section history for old references	cad-core/src/part/extrusion_helper.cpp;cad-core/src/part_design/feature_extrude.cpp;cad-core/src/part/topo_shape.cpp	rg source audit; taper baseline tests	S1 complete; S2 collects taper oracle or records collectorGap	Closed by S1: P6CR-CAND-006 traces FeatureExtrude::buildExtrusion -> ExtrusionHelper::makeElementDraft -> BRepOffsetAPI_ThruSections -> MapperThruSections::generated without output-order guessing
P6CR-BLOCK-031	P6CR-SCOPE-004	taper_thru_sections_fixture_design	A concrete tapered Pad/Pocket/Part::Extrusion fixture where an old stable reference crosses generated/modified ThruSections history	cad-core/fixtures/p3b;cad-core/fixtures/p5;cad-core/fixtures/p6	fixture draft plus expected route	S1 complete; S2 clones p3b pad-two-sides-taper or p6 taper stable-reference fixture with generated-side observer	Closed by S1: old Sketch.Edge1, old current OldTaperSide, generated/split mutation, UpToFace/ExternalGeometry observer and collect_freecad_expected or FreeCADCmd probe route are defined
P6CR-BLOCK-032	P6CR-SCOPE-004	taper_thru_sections_collector_or_probe	FreeCADCmd collector or probe can execute the taper scenario and emit expected stable reference recovery evidence	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/p3b/expected;cad-core/fixtures/p5/expected;cad-core/fixtures/p6/expected	FreeCADCmd expected collection	S3 compares cad-core output for cad-core/fixtures/p6/sketch-external-edge-stable-two-sides-taper.json before any backendGap promotion	Closed by S2: cad-core/fixtures/p6/sketch-external-edge-stable-two-sides-taper.json and expected/sketch-external-edge-stable-two-sides-taper.freecad.json are checked in; /Users/li/.cargo/bin/FreeCADCmd --check passes
