id	kind	scope	status	capability_key	evidence_files	fixture_evidence	test_evidence	remaining_boundary	next_owner
FREEZE-SCOPE-001	process	docs capability publication	published_verified	part_workbench.ruled_surface;part_workbench.loft;part_workbench.sweep;part_workbench.filling;part_workbench.geomplate	docs/CADCore3.0/capabilities-gap对照表.md;docs/CADCore3.0/oracle-fixture队列.md;docs/CADCore3.0/00-总览.md;docs/CADCore3.0/03-【已实现】Sketcher-Part-PartDesign几何能力复刻.md;docs/CADCore3.0/06-C3-M8后续收口清单.md	n/a	cad-core/tests/test_adapters.py part_workbench surface capability assertions	CADCore3.0 docs publish only verified first-batch surface capabilities; ProjectOnSurface and full surface family remain explicit remaining boundaries	closed
FREEZE-SCOPE-002	process	oracle fixture publication	published_verified	part_workbench.ruled_surface;part_workbench.loft;part_workbench.sweep;part_workbench.filling;part_workbench.geomplate	docs/CADCore3.0/oracle-fixture队列.md ORC-M4-PARTSURF-001..005;cad-core/fixtures/p8;cad-core/fixtures/c3m4	p8/part-ruled-surface-*;c3m4/part-loft-*;c3m4/part-sweep-*;c3m4/part-filling-*;c3m4/part-geomplate-*	cad-core/tests/test_p8_features.py;cad-core/tests/test_expected_fixtures.py	oracle queue has dedicated PARTSURF rows for RuledSurface, Loft, Sweep, Filling and GeomPlate first batches; unsupported cases remain independent boundaries	closed
FREEZE-SCOPE-003	process	adapter metadata publication	published_verified	part_workbench.ruled_surface;part_workbench.loft;part_workbench.sweep;part_workbench.filling;part_workbench.geomplate	cad-core/src/adapters/c_api/c_api.cpp;cad-core/tests/test_adapters.py	p8/part-ruled-surface-*;c3m4/part-loft-*;c3m4/part-sweep-*;c3m4/part-filling-*;c3m4/part-geomplate-*	cad-core/tests/test_adapters.py surface capability assertions	adapter metadata and tests assert payload keys, fixtures, diagnostics, remaining_gaps and non_goals for all five published capabilities	closed
FREEZE-SCOPE-004	process	focused and stage validation	s2_validation_passed	part_workbench.ruled_surface;part_workbench.loft;part_workbench.sweep;part_workbench.filling;part_workbench.geomplate	cad-core/tests/test_p8_features.py;cad-core/tests/test_expected_fixtures.py;cad-core/tests/test_adapters.py	p8/part-ruled-surface-*;c3m4/part-loft-*;c3m4/part-sweep-*;c3m4/part-filling-*;c3m4/part-geomplate-*	tests.test_p8_features;tests.test_expected_fixtures;tests.test_adapters;stage regression gate	SURFACEFREEZE-S2 validation gate covers focused and stage regression; final queue must be empty before commit	closed
FREEZE-SCOPE-005	process	non-goal and remaining boundary cleanup	published_verified	part_workbench.ruled_surface;part_workbench.loft;part_workbench.sweep;part_workbench.filling;part_workbench.geomplate	docs/CADCore3.0/capabilities-gap对照表.md;cad-core/src/adapters/c_api/c_api.cpp;docs/FreeCAD几何生态迁移工程-细分/C3M4-PartWorkbenchSurface-ProjectOnSurface独立主线/6-19-19-18-C3M4-PartWorkbenchSurface-ProjectOnSurface独立主线草案.md	n/a	cad-core/tests/test_adapters.py remaining_gaps/non_goals assertions	wire/wire RuledSurface, ProjectOnSurface, Loft Linearize/profile families, Sweep multi-profile/Linearize, Filling support/order/params/constraints, GeomPlate advanced constraints and full surface family remain explicit boundaries	ProjectOnSurface独立主线;future_feature_family_boundary
FREEZE-FAMILY-001	family	RuledProjection	supported_edge_edge_first_batch	part_workbench.ruled_surface	docs/CADCore3.0/capabilities-gap对照表.md;docs/CADCore3.0/oracle-fixture队列.md ORC-M4-PARTSURF-001;cad-core/src/adapters/c_api/c_api.cpp	p8/part-ruled-surface-line-line;p8/part-ruled-surface-conic-line;p8/part-ruled-surface-orientation-reversed;p8/part-ruled-surface-invalid-input	cad-core/tests/test_p8_features.py ruled_surface cases;cad-core/tests/test_adapters.py part_workbench.ruled_surface	wire_wire_brepfill_shell;projection_on_surface_source_audited_planned;full_part_surface_family	ProjectOnSurface独立主线;future_ruled_surface_wire_boundary
FREEZE-FAMILY-002	family	Loft	supported_expected_backed_first_batch	part_workbench.loft	docs/CADCore3.0/capabilities-gap对照表.md;docs/CADCore3.0/oracle-fixture队列.md ORC-M4-PARTSURF-002;cad-core/src/adapters/c_api/c_api.cpp	c3m4/part-loft-two-section-surface;c3m4/part-loft-solid;c3m4/part-loft-ruled;c3m4/part-loft-closed;c3m4/part-loft-invalid-sections	cad-core/tests/test_p8_features.py loft cases;cad-core/tests/test_adapters.py part_workbench.loft	linearize_post_processing;face_vertex_profile_expected;complex_profile_family;full_part_surface_family	future_loft_profile_boundary
FREEZE-FAMILY-003	family	SweepPipeShell	supported_expected_backed_first_batch	part_workbench.sweep	docs/CADCore3.0/capabilities-gap对照表.md;docs/CADCore3.0/oracle-fixture队列.md ORC-M4-PARTSURF-004;cad-core/src/adapters/c_api/c_api.cpp	c3m4/part-sweep-right-corner-surface;c3m4/part-sweep-solid;c3m4/part-sweep-frenet-off;c3m4/part-sweep-transition-transformed;c3m4/part-sweep-transition-round-corner;c3m4/part-sweep-spine-subedges;c3m4/part-sweep-open-profile-surface;c3m4/part-sweep-invalid-inputs	cad-core/tests/test_p8_features.py sweep cases;cad-core/tests/test_adapters.py part_workbench.sweep	linearize_post_processing;multi_profile_sections_expected;full_part_surface_family;advanced_pipeshell_wrapper remains non-goal	future_sweep_profile_boundary
FREEZE-FAMILY-004	family	Filling	supported_expected_backed_first_batch	part_workbench.filling	docs/CADCore3.0/capabilities-gap对照表.md;docs/CADCore3.0/oracle-fixture队列.md ORC-M4-PARTSURF-003;cad-core/src/adapters/c_api/c_api.cpp	c3m4/part-filling-closed-wire-default;c3m4/part-filling-boundary-edges-default;c3m4/part-filling-invalid-inputs	cad-core/tests/test_p8_features.py filling cases;cad-core/tests/test_adapters.py part_workbench.filling	surface_kwarg_blocked_until_freecadcmd_probe;supports_orders_blocked_until_freecadcmd_probe;non_default_params_deferred;non_boundary_constraints_expected_deferred;compound_boundary_optional_expected;full_part_surface_family	future_filling_param_boundary
FREEZE-FAMILY-005	family	GeomPlate	supported_expected_backed_first_batch	part_workbench.geomplate	docs/CADCore3.0/capabilities-gap对照表.md;docs/CADCore3.0/oracle-fixture队列.md ORC-M4-PARTSURF-005;cad-core/src/adapters/c_api/c_api.cpp	c3m4/part-geomplate-curve-point-default;c3m4/part-geomplate-invalid-inputs	cad-core/tests/test_p8_features.py geomplate cases;cad-core/tests/test_adapters.py part_workbench.geomplate	initial_surface_reference_contract;g1_curve_on_surface;projected_2d_curve;point_2d_on_surface;custom_constraint_criteria;part_platesurface_curves_wrapper;full_part_surface_family	future_geomplate_advanced_constraints_boundary
