candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
C8M3-SRC-101	src/Mod/Part/App/Geometry.cpp	GeomHyperbola/GeomParabola/GeomArcOfHyperbola/GeomArcOfParabola	part_conic_3d_fields	GeomHyperbola persists MajorRadius MinorRadius AngleXU; GeomParabola persists Focal AngleXU; GeomArcOf* adds StartAngle EndAngle and restores OCCT trimmed conic arcs	cad-core/src/part/part_geometry_curve.cpp	C8M3-SCOPE-101	S1_closed_then_S3_batch_oracle
C8M3-SRC-102	src/Mod/Part/App/Geometry2d.cpp	Geom2dHyperbola/Geom2dParabola/Geom2dArcOfHyperbola/Geom2dArcOfParabola	part_conic_2d_fields	Geom2dHyperbola persists MajorRadius MinorRadius; Geom2dParabola persists Focal; Geom2dArcOf* restores trimmed u v ranges for Sketcher/surface 2D input	cad-core/src/sketcher/sketch_object_geometry.cpp	C8M3-SCOPE-201	S1_closed_then_S4_boundary
C8M3-SRC-103	src/Mod/Sketcher/App/SketchObjectExternal.cpp	GeomAbs_Hyperbola/GeomAbs_Parabola external branches	sketcher_external_conic	FreeCAD processEdge2 maps projected GeomAbs_Hyperbola and GeomAbs_Parabola to Part conic arc construction geometry	cad-core/src/sketcher/sketch_object_external.cpp	C8M3-SCOPE-201,C8M3-SCOPE-203	S1_closed_then_S4_boundary
C8M3-SRC-104	src/Mod/Sketcher/App/Constraint.h;src/Mod/Sketcher/App/SolverGeometryExtension.h	HyperbolaMajor/HyperbolaMinor/HyperbolaFocus/ParabolaFocus/ParabolaFocalAxis	solver_facing_conic_constraints	Constraint.h InternalAlignmentType names conic solver-facing states; this is not full Sketcher solver implementation	cad-core/src/sketcher;cad-core/tests/test_p5_sketch.py	C8M3-SCOPE-202	S1_closed_then_S4_non_goal_boundary
C8M3-SRC-105	src/Mod/Assembly/App/AssemblyUtils.cpp	getDistanceType	distance_type_classification	FreeCAD classifies references before solver construction; non line/circle curves route to PointCurve Curve* or Other/default TODO paths	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_utils.cpp	C8M3-SCOPE-301	S1_closed_then_S5_distance_type_gate
C8M3-SRC-106	src/Mod/Assembly/App/AssemblyObject.cpp	makeMbdJointOfType	distance_type_solver_mapping	FreeCAD maps PointCurve to ASMTPointInPlaneJoint and default to ASMTPlanarJoint while explicit DistanceType cases map to solver joint DTO behavior	cad-core/src/assembly/joint_solver.cpp	C8M3-SCOPE-301	S1_closed_then_S5_distance_type_gate
C8M3-SRC-201	cad-core/src/part/part_geometry_curve.cpp	PartConicCurveDTO	current_part_conic_dto	Current cad-core builds Hyperbola/Parabola finite edges, metadata, invalid diagnostics and request-local Extrusion/RuledSurface consumer bridge	cad-core/src/part/part_geometry_curve.cpp	C8M3-SCOPE-101,C8M3-SCOPE-102	S3_current_batch_review
C8M3-SRC-202	cad-core/src/sketcher/sketch_object_geometry.cpp;cad-core/src/sketcher/sketch_object_operations.cpp;cad-core/src/sketcher/sketch_object_external.cpp	SketchHyperbolaArc/SketchParabolaArc	current_sketcher_conic_input_external	Current cad-core parses ArcOfHyperbola/ArcOfParabola, builds profile edges, filters construction conic arcs and projects external conic edges	cad-core/src/sketcher	C8M3-SCOPE-201,C8M3-SCOPE-203	S4_current_boundary_review
C8M3-SRC-203	cad-core/src/runtime/capability_contract.cpp	part_workbench.conic_curves	current_capability_gap	Current capability status is done_part_geometry_curve_edge_consumer and remaining_gaps are gui_conic_edit full_sketcher_solver_conic_constraints distance_type_default_todo	cad-core/src/runtime/capability_contract.cpp;cad-core/tests/test_adapters.py	C8M3-SCOPE-501	S5_S6_publication
C8M3-SRC-204	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_utils.cpp	classifyDistanceType/resolveDistanceJointMapping	current_distance_type	Current cad-core supports basic and 13 extended radius-bearing DistanceTypes, keeps PointCurve diagnostic boundary, and leaves PlaneCone LineCylinder CurvePlane Other as default_or_todo_boundary	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_utils.cpp	C8M3-SCOPE-301	S5_distance_type_gate
C8M3-SRC-205	cad-core/tests/test_p8_features.py;cad-core/tests/test_p5_sketch.py;cad-core/tests/test_adapters.py	part_conic/sketch_conic/distance_type_capability_tests	current_capability_tests	Existing focused tests cover p8 PartConicCurveDTO producer/consumers, p5 Sketcher conic input/external geometry, DistanceType basic/extended/default boundaries and capability remaining_gaps	cad-core/tests/test_p8_features.py;cad-core/tests/test_p5_sketch.py;cad-core/tests/test_adapters.py	C8M3-SCOPE-101,C8M3-SCOPE-201,C8M3-SCOPE-301,C8M3-SCOPE-501	S3_S4_S5_S6_validation_routes
