id	source_or_authority	symbol_or_path	semantic_axis	initial_evidence	cad_core_landing	owner_step	next_action
C12M18-SRC-001	live capability	cad-core/build/cad-core capabilities	capability zero-gap baseline	S1 snapshot on HEAD 09c7dad8ed regenerated /tmp/c12m18-capabilities.json; non-empty remaining_gaps query produced no output; non-empty known_gaps query produced no output	cad-core/src/runtime/capability_contract.cpp;cad-core/tests/test_adapters.py	S0/S1	Freeze as S0/S1 baseline; do not infer implementation work from empty active gaps.
C12M18-SRC-002	C12-M17 release gate	docs/CADCore12.0/C12-M17-SubtractivePipeProductPipeLawShapeParity实现批次/README.md	SubtractivePipe product PipeLaw closeout	C12-M17 final status implemented_freecad_main_shape_parity_product_law_retained; main Shape lifecycle is post-cut feature Shape and AddSubShape keeps removed tool cache	cad-core/src/part_design/feature_pipe.cpp;cad-core/tests/test_p7_features.py	S0	Retain closed; reopen only with future focused regression or expected/current mismatch.
C12M18-SRC-003	non-native boundary doc	docs/capability/7-5-00-14-cad-web-background非FreeCAD原生语义边界.md	product extension boundary	Current non-native list only keeps PartDesign axis accepts geometrically linear BSpline / non-Line curves; user chose to keep it as product extension	cad-core/src/part/edge_axis.cpp;cad-core/src/part_design	S3	Keep as product extension; do not open strict FreeCAD parity bug unless user changes product decision.
C12M18-SRC-004	live narrowed_gaps	capability narrowed_gaps paths	historical backlog records	S1 extraction found 6 narrowed_gaps paths and 15 keys: revolution_groove 1, filling 6, geomplate 4, loft 1, project_on_surface 1, sweep 2	cad-core/src/runtime/capability_contract.cpp	S1/S2	Reapply three gates before any next package authorization; do not treat path/key presence as implemented or mismatch-confirmed.
C12M18-SRC-005	C12-M11/M15/M16 release gates	docs/CADCore12.0/C12-M11-SketchInternalEdgeSubshapeMeshContract批次;C12-M15;C12-M16	sketch response and identity ledger	Closed internal edge response, stable geometry id contract and split fragment ledger are backend current-supported; frontend consumer sync remains external	my-chili3d external package candidate	S3	Split frontend work from backend C++ gap.
C12M18-SRC-006	C12-M9 backlog gate	docs/CADCore12.0/C12-M9-CADCoreImplementationCandidate再盘点批次/README.md	evidence-first gate precedent	C12-M9 previously found no mismatch-confirmed row when CopyOnChange was still active; C12-M18 reruns the method after C12-M17 zero-gap state	docs/CADCore12.0	S0/S2	Use as process precedent, not stale conclusion.
C12M18-SRC-007	capability publication authority	cad-core/src/runtime/capability_contract.cpp::capabilityContractJson();diagnosticCodeList();ondselSolverCapabilityJson()	public capability JSON authority	S1 read the publication source; remaining_gaps, known_gaps and narrowed_gaps are published from capability_contract.cpp and consumed through cad-core capabilities / FFI, not inferred from roadmap prose	cad-core/src/runtime/capability_contract.cpp	S1	Record authority only; S1 does not edit capability source or change public wording.
C12M18-SRC-008	focused adapter assertions	cad-core/tests/test_adapters.py::CadCoreAdapterTest.test_c_api_capabilities_publication_smoke;test_c_api_capabilities_exposes_web_contract_facts	adapter publication assertions	S1 read focused assertions: schema/core entrypoint smoke, family remaining_gaps empty assertions, top-level known_gaps=[], and narrowed_gaps keys/status checks for Groove, ProjectOnSurface, Sweep, Filling, GeomPlate and Loft	cad-core/tests/test_adapters.py	S1	Record assertion surface only; S1 does not edit adapters or tests.
C12M18-SRC-101	live narrowed_gaps path	part_design.revolution_groove.narrowed_gaps	narrowed_gaps input path	keys=partdesign_groove_upto_brepfeat_cut_native_failure; status=published_c12m7_product_diagnostic_contract; route=product_diagnostic_contract_non_parity	cad-core/src/runtime/capability_contract.cpp;cad-core/tests/test_adapters.py	S1/S2	Carry into S2 three-gate review as product diagnostic contract history, not as S1 implementation item.
C12M18-SRC-102	live narrowed_gaps path	part_workbench.filling.narrowed_gaps	narrowed_gaps input path	keys=filling_non_boundary_support_order_native_helper_blocker,filling_params_all_native_helper_blocker,filling_params_pts_anisotropy_tol_g1_g2_max_segments_blocker,filling_support_order_g1_native_helper_blocker,filling_support_order_g2_native_helper_blocker,filling_surface_native_helper_blocker; all statuses released_c6m5_product_contract_non_parity	cad-core/src/runtime/capability_contract.cpp;cad-core/tests/test_adapters.py	S1/S2	Carry into S2 three-gate review as helper-blocked/product-contract history, not as S1 implementation item.
