id	slice	freecad_authority	cad_core_landing	required_evidence	step	status
FGMN1-SLICE-001	document.recompute.begin/document.recompute.end	src/App/Document.cpp::recompute()	cad-core/src/runtime/recompute.cpp::recomputeContext/recomputeArtifacts	targets;dirty/blocked set;plan order;outcome;exact eventRange	S2	pending
FGMN1-SLICE-002	document.object.execute.begin/document.object.execute.end	src/App/DocumentObject.cpp::recompute()	cad-core/src/runtime/recompute.cpp object loop	object/id/type;hasher lastId before/after;input/output slots;exception	S2	pending
FGMN1-SLICE-003	reference.resolve/reference.update	src/App/PropertyLinks.cpp;src/App/GeoFeature.cpp::updateElementReference()	cad-core/src/runtime/reference_resolution.cpp;src/runtime/element_reference_update.cpp	property-local requested/current/stable names;owner;resolved/deleted/split/ambiguous decision	S2	pending
FGMN1-SLICE-004	hasher.mapped_name	src/App/StringHasher.cpp::getID(MappedName,...)	cad-core/src/app/string_hasher.cpp::getMappedNameId/hashMappedName	data;postfix;index;hit/allocation;PrefixID/PrefixIDIndex;ordered input/output refs	S2	pending
FGMN1-SLICE-005	hasher.insert	src/App/StringHasher.cpp::insert()	cad-core/src/app/string_hasher.cpp::allocate/getId	lastId before/after;flags;data;postfix;ordered related refs;hit/allocation	S2	pending
FGMN1-SLICE-006	table_checkpoint	src/App/StringHasher.cpp producer checkpoints	cad-core/src/app/string_hasher.cpp::inspectProducerTraceState	complete SID table and lastId;content hash	S2	pending
FGMN1-SLICE-007	mapped_name.parse	src/App/MappedName.cpp::findTagInElementName();src/App/StringHasher.cpp::StringID::fromString()	cad-core/src/topo/freecad_mapped_name_codec.cpp;cad-core/src/app/string_hasher.cpp	raw data/postfix;id/index/prefix/tag/type;purpose;failure position/reason	S2	pending
FGMN1-SLICE-008	element_map.find/element_map.find_all	src/App/ElementMap.cpp::find/findAll	cad-core/src/part/topo_shape.cpp::sourceElementNames and lookup helpers	IndexedName;first/all mode;ordered entries;entry-local refs;child fallback	S2	pending
FGMN1-SLICE-009	element_map.encode	src/App/ElementMap.cpp::encodeElementName/hashElementName	cad-core/src/part/topo_shape.cpp provenance encoders;src/topo/freecad_mapped_name_codec.cpp	input name;master/source tag;op;force/dehash;raw/canonical output;refs	S2	pending
FGMN1-SLICE-010	element_map.write	src/App/ElementMap.cpp::setElementName/addName	cad-core/src/part/topo_shape.cpp::recordElementMapEntry/provenance writers	target;raw name;entry-local refs;append/duplicate/overwrite/rename decision	S2	pending
FGMN1-SLICE-011	element_map.erase/element_map.reset/element_map.drop	src/App/ElementMap.cpp::erase;TopoShape::resetElementMap/dropElementNaming	cad-core/src/part/topo_shape.cpp erase/reset/policy-drop paths	ordered removed entries/child maps;identity transition;stable reason	S2	pending
FGMN1-SLICE-012	element_map.history	src/App/ElementMap.cpp::getElementHistory/traceElement	cad-core/src/part/topo_shape.cpp history consumption	dehash/tag layers;history chain;terminal condition	S2	pending
