id	evidence_field	why_required	source_authority	owner_step	observed_status	decision	artifact_or_note
C12M8-PROBE-001	freecad_occt_baseline	Native evidence must state exact runtime baseline	FreeCADCmd runtime	S2	s1_required_field_defined	required	Record FreeCADCmd path, FreeCAD revision, OCCT version and LibPack or build baseline; without this S2 cannot distinguish native behavior from environment drift.
C12M8-PROBE-002	mode_matrix	Enabled Mutated PartialLoad must be separated	ShapeBinder.h::BindCopyOnChange;PartialLoad	S2	s1_required_field_defined	required	Probe matrix must include Disabled control, Enabled pre-mutation setup, Mutated copied-object path and PartialLoad True boundary as separate rows with support count and diagnostic state.
C12M8-PROBE-003	single_support_gate	setupCopyOnChange requires support.size()==1	ShapeBinder.cpp::setupCopyOnChange	S1/S2	s1_required_field_defined	required	Record support.size, target object and rejection for zero or multi-support because setupCopyOnChange returns before dynamic CopyOnChange property wiring unless exactly one support exists.
C12M8-PROBE-004	tmp_binder_lifecycle	FreeCAD uses temporary binder during copied-object update	ShapeBinder.cpp::update	S2	s1_required_field_defined	required	Must show whether _tmp_binder is created during Mutated update and whether evidence can be exported as artifact without relying on a persistent backend session or temporary document handle.
C12M8-PROBE-005	copied_objs_identity	_CopiedObjs must expose stable copied object identities	ShapeBinder.h::_CopiedObjs;ShapeBinder.cpp::update	S2	s1_required_field_defined	required	Must include copied object names, typeIds, ids if available, source object relation, _CopiedObjs count and stored order after reverse insertion from copyObject returnAll.
C12M8-PROBE-006	dependency_order	copyObject dependency order is core graph evidence	Document.cpp::copyObject	S2	s1_required_field_defined	required	Must record recursive copyObject dependency list, dependency edges, imported object order and root copy position so frontend can persist a deterministic copied graph.
C12M8-PROBE-007	support_rewrite	Copied support must rewrite links to copied objects	ShapeBinder.cpp::_CopiedLink;Document.cpp::copyObject	S2	s1_required_field_defined	required	Must record Support before mutation, _CopiedLink target and subvalues after copy, and any copied support rewrite map from source objects to copied objects.
C12M8-PROBE-008	recompute_status	recomputeFeature(true) affects copied graph validity	Document.cpp::recomputeFeature;ShapeBinder.cpp::update	S2	s1_required_field_defined	required	Must record initial recomputeFeature true after copyObject, second recompute after CopyOnChange property paste, validity, recompute logs and diagnostic text for both failure modes.
C12M8-PROBE-009	elementmap_lifecycle	ElementMap/NamedShape lifecycle cannot become backend cache	PropertyTopoShape and ShapeBinder update path	S2/S3	s1_required_field_defined	required	Must capture ElementMap or NamedShape lifecycle before and after recompute, then judge whether evidence is serializable into request graph updates rather than post-request cache state.
C12M8-PROBE-010	cache_star_boundary	Cache_* must be classified as required semantic state or optimization	ShapeBinder.cpp Cache_ name handling	S2	s1_required_field_defined	boundary_review	Probe note must classify Cache_* dynamic matrix entries as transform rebuild optimization unless native evidence proves they are required copied graph semantic state; backend persistent cache remains forbidden.
