candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
P6MH-CAND-001	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShape.h; /home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	Part::MapperHistory(ShapeFix_Root&); MapperHistory::modified/generated	ShapeFix mapper entry	MapperHistory constructors accept BRepTools_History, BRepTools_ReShape and ShapeFix_Root, then read History()->Modified and History()->Generated	cad-core/src/part/topo_shape.cpp;cad-core/include/cad_core/part/topo_shape.h	P6MH-SCOPE-002	S3 should compare FreeCAD mapper inputs with namedShapeForShapeFixHistory and namedShapeForShapeFixRootHistory
P6MH-CAND-002	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/AppPartPy.cpp	ShapeFixModule::removeSmallEdges; ShapeFixModule::fixVertexPosition	ShapeFix ReShape producer	removeSmallEdges creates ShapeBuild_ReShape and calls ShapeFix::RemoveSmallEdges; fixVertexPosition creates ShapeBuild_ReShape and calls ShapeFix::FixVertexPosition	cad-core/src/part/shape_fix.cpp;cad-core/src/part/topo_shape.cpp	P6MH-SCOPE-002	S3 should verify which ReShape producer evidence cad-core consumes and which producers remain outside this slice
P6MH-CAND-003	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/ShapeFix/ShapeFix_ShapePyImp.cpp; /home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/ShapeFix/ShapeFix_FixSmallSolidPyImp.cpp	ShapeFix_ShapePy::perform; ShapeFix_FixSmallSolidPy::remove/merge	ShapeFix wrapper producer boundary	ShapeFix_Shape performs on a ShapeFix_Shape handle; FixSmallSolid remove/merge pass a ShapeBuild_ReShape context	cad-core/src/part/shape_fix.cpp;cad-core/src/part/topo_shape.cpp	P6MH-SCOPE-002;P6MH-NG-001	S3 should keep core history producers separate from complete ShapeFix Python API surface
P6MH-CAND-004	/home/user/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeatureDressUp.cpp	DressUp::getAddSubShape	DressUp AddSubShape cache	Shape or SupportTransform changes invalidate AddSubShape; getAddSubShape rebuilds add/sub compound and skips consecutive DressUp when SupportTransform is set	cad-core/src/part_design/feature_dress_up.cpp;cad-core/src/part_design/feature_dress_up_support.h	P6MH-SCOPE-003	S4 should trace add/sub slots through cacheDressUpAddSubShape and transformed callers
P6MH-CAND-005	/home/user/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeatureFillet.cpp; /home/user/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeatureChamfer.cpp	Fillet::execute; Chamfer::execute	Fillet and Chamfer replacement maker	Fillet calls makeElementFillet and Chamfer calls makeElementChamfer; both limit tolerance on invalid result, store rawShape, then refine	cad-core/src/part_design/feature_dress_up.cpp;cad-core/src/part/topo_shape.cpp	P6MH-SCOPE-003	S4 should separate replacement maker evidence from refine propagation and parameter variants
P6MH-CAND-006	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	TopoShape::makeElementRefine; MyRefineMaker	Refine propagation	makeElementRefine routes MyRefineMaker and GenericShapeMapper into makeShapeWithElementMap for modified, deleted and generated relations	cad-core/src/part/refine_model.cpp;cad-core/src/part/topo_shape.cpp	P6MH-SCOPE-003;P6MH-SCOPE-006	S4 should verify refine history publication against namedShapeForRefineHistory
P6MH-CAND-007	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/ExtrusionHelper.cpp; /home/user/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeatureExtrude.cpp	ExtrusionHelper::makeElementDraft; FeatureExtrude::buildExtrusion	taper geometry producer	FeatureExtrude calls ExtrusionHelper::makeElementDraft when taper angles are nonzero; makeElementDraft assembles reverse/source/forward wires and builds BRepOffsetAPI_ThruSections	cad-core/src/part/extrusion_helper.cpp;cad-core/src/part_design/feature_extrude.cpp	P6MH-SCOPE-004	S5 should verify taper historyComponents and historySources for Pad, Pocket and Part extrusion routes
P6MH-CAND-008	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	MapperThruSections::generated; TopoShape::makeLoft	taper ThruSections mapper	MapperThruSections falls back from maker Generated to GeneratedFace and FirstShape/LastShape for section endpoints	cad-core/src/part/topo_shape.cpp;cad-core/include/cad_core/part/topo_shape.h	P6MH-SCOPE-004	S5 should compare this fallback path with namedShapeForThruSectionsHistory and namedShapeForTaperedExtrusionHistory
P6MH-CAND-009	/home/user/Chili3DProject/FreeCAD/cad-core/src/adapters/c_api/c_api.cpp; /home/user/Chili3DProject/FreeCAD/cad-core/tests/test_adapters.py	capabilities.topo_history.producer_matrix; capabilities.object_metadata.local_history	capability and test publication	C ABI publishes producer_matrix and taper local_history; adapter tests assert maker_history entries and producer_matrix remaining arrays	cad-core/src/adapters/c_api/c_api.cpp;cad-core/tests/test_adapters.py	P6MH-SCOPE-001;P6MH-SCOPE-006	S2 and S6 should align formal docs with this publication surface after S3-S5 finish evidence review
P6MH-CAND-010	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp; /home/user/Chili3DProject/FreeCAD/src/Mod/PartDesign/App/FeatureTransformed.cpp	TopoShape::makeElementTransform; Transformed::execute	transformed history consumer	makeElementTransform copies ElementMap from transformed tmp shapes; Transformed Features mode calls getAddSubShape and transforms fuse/cut slots per original	cad-core/src/part/topo_shape.cpp;cad-core/src/part_design/feature_dress_up.cpp	P6MH-SCOPE-003;P6MH-SCOPE-005;P6MH-SCOPE-006	S4 should verify transformed consumer propagation for AddSubShape, terminal split/deleted and publication wording
