source_id	file_or_area	class_function	semantics	freecad_evidence	cad_core_target	current_status	next_step
C7M2-SRC-000	docs/CADCore方案/细化方案/10-P7-PartDesign常用生态.md	P7 known gap	Fillet/Chamfer 复杂参数组合和复杂引用变更后的完整稳定恢复	S0 已复核 P7 文档：基础 Fillet/Chamfer 与 SupportTransform 已支持，剩余 gap 是复杂参数和引用恢复	docs/CADCore7.0/C7-M2-PartDesignFilletChamfer复杂参数引用恢复收口主线	baseline_frozen	none
C7M2-SRC-101	src/Mod/PartDesign/App/FeatureFillet.cpp	PartDesign::Fillet::execute	Radius、UseAllEdges、selected edges、continuous edge expansion、makeElementFillet	ADD_PROPERTY_TYPE(Radius); UseAllEdges 文案为 Fillet all edges if true；execute 中 UseAllEdges=true 使用 getSubTopoShapes(TopAbs_EDGE)，否则 getContinuousEdges(baseShape)，最后 makeElementFillet(baseShape, edges, Radius, Radius)	cad-core/src/part_design/feature_fillet.cpp;cad-core/src/part_design/feature_dress_up.cpp	source_evidence_captured	S2
C7M2-SRC-102	src/Mod/PartDesign/App/FeatureChamfer.cpp	PartDesign::Chamfer::execute/updateProperties/migrateFlippedProperties	ChamferType、Size、Size2、Angle、FlipDirection、UseAllEdges、makeElementChamfer	ChamferTypeEnums 为 Equal distance、Two distances、Distance and Angle；execute 读取 Size2/Angle/FlipDirection，Distance and Angle 路径把 size2=angle；migrateFlippedProperties 警告 FlipDirection property is being adjusted	cad-core/src/part_design/feature_chamfer.cpp;cad-core/src/part_design/feature_dress_up.cpp	source_evidence_captured	S2
C7M2-SRC-103	src/Mod/PartDesign/App/FeatureDressUp.cpp	PartDesign::DressUp::getContinuousEdges/getFaces	Base LinkSub 边/面选择扩展和连续边过滤	getContinuousEdges 只保留 exactly two attaching faces 且 BRep_Tool::Continuity == GeomAbs_C0 的 Edge；Face 会展开到该 Face 内所有 Edge；getFaces 只接受 FaceN	cad-core/src/part_design/feature_dress_up.cpp	source_evidence_captured	S2
C7M2-SRC-104	src/Mod/PartDesign/App/FeatureDressUp.cpp	PartDesign::DressUp::getAddSubShape	SupportTransform、AddSubShape cache、链式 DressUp source base	SupportTransform 注释要求 find the previous support feature and skipping any consecutive DressUp；否则 AddSubShape cache 分别保存 shape.makeElementCut(baseShape) 和 baseShape.makeElementCut(shape)	cad-core/src/part_design/feature_dress_up.cpp;cad-core/src/part_design/feature_transformed.cpp	source_evidence_captured	S2
C7M2-SRC-105	cad-core/tests/test_p7_features.py;cad-core/fixtures/p7;cad-core/fixtures/c3m5	Fillet/Chamfer/DressUp focused tests	现有 supported、diagnostic、refine、SupportTransform、Chamfer 参数变体和 face-selection/history fixtures/tests baseline	p7 fixtures 覆盖 fillet-pad-edge、chamfer-pad-edge、refine、invalid diagnostic、mirrored SupportTransform；c3m5 覆盖 chamfer-two-distances-edge、chamfer-distance-angle-edge、fillet-face-selection-history、body-dressup-cumulative-base、body-dressup-invalid-stable-subname、chained-dressup-pattern-history	cad-core/tests/test_p7_features.py;cad-core/fixtures/p7;cad-core/fixtures/c3m5	baseline_supported_frozen	S2
C7M2-SRC-106	cad-core/src/part_design/feature_dress_up.cpp	resolveDressUpBase/selectedDressUpEdges/cacheDressUpAddSubShape/publishDressUpResult	cad-core 当前 Base 解析、stable subname diagnostic、UseAllEdges/Face expansion、RefineModel、SupportTransform cache 和发布路径	resolveDressUpBase 调 validateTargetStableSubnames；selectedDressUpEdges 在 UseAllEdges=true 时 allEdges，否则要求 EdgeN/FaceN；cacheDressUpAddSubShape 记录 SupportTransform source；publishDressUpResult 输出 base_selection/parameters	cad-core/src/part_design/feature_dress_up.cpp	cad_core_evidence_captured	S2
C7M2-SRC-107	cad-core/src/part_design/feature_fillet.cpp	buildFillet/executeFillet	cad-core Fillet executor、Radius 校验、UseAllEdges 共享选边、BRepFilletAPI_MakeFillet、NamedShape maker history	buildFillet 读取 Radius，invalid_length 诊断，逐 edge 调 maker.Add(radius, radius, edge.edge)，并通过 namedShapeForMakerHistory 生成 Fillet NamedShape；executeFillet 支持 Base/BaseFeature/SupportTransform/Radius/UseAllEdges/Refine/FuzzyTolerance	cad-core/src/part_design/feature_fillet.cpp	cad_core_evidence_captured	S2
C7M2-SRC-108	cad-core/src/part_design/feature_chamfer.cpp	buildChamfer/executeChamfer	cad-core Chamfer executor、Two distances、Distance and Angle、FlipDirection、UseAllEdges 共享选边、BRepFilletAPI_MakeChamfer	buildChamfer 读取 ChamferType/Size/Size2/Angle/FlipDirection；Two distances 调 maker.Add(size,size2,edge,face)；Distance and Angle 调 maker.AddDA(size, angle*pi/180, edge, face)；FlipDirection 选择 last ancestor face	cad-core/src/part_design/feature_chamfer.cpp	cad_core_evidence_captured	S2
C7M2-SRC-109	cad-core/src/part_design/feature_transformed.cpp	features-mode AddSubShape consumer	transformed family 消费 DressUp SupportTransform add/sub slot，不重建 DressUp Base	feature_transformed 遍历 context.addSubShapes；addShape 走 Fuse，subShape 走 Cut；p7/c3m5 mirrored/linear pattern tests 验证 slot history	cad-core/src/part_design/feature_transformed.cpp	regression_boundary_captured	S2
