candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
C10M2-SRC-101	src/Mod/PartDesign/App/FeatureDressUp.cpp	DressUp::getAddSubShape;DressUp::getContinuousEdges;DressUp::getFaces	dressup_addsubshape_slot_and_selection	DressUp owns Base selection expansion and AddSubShape slot evidence before Body or transformed family consumes the replacement solid	cad-core/src/part_design/feature_dress_up_support.*;cad-core/src/part_design/body.cpp	C10M2-SCOPE-101	S1_verify_then_S3
C10M2-SRC-102	src/Mod/PartDesign/App/FeatureFillet.cpp	Fillet::execute	fillet_maker_history	Fillet consumes selected edges and continuous edge expansion before OCCT fillet maker produces replacement history	cad-core/src/part_design/feature_fillet.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/app/element_map.cpp	C10M2-SCOPE-101	S3_dressup
C10M2-SRC-103	src/Mod/PartDesign/App/FeatureChamfer.cpp	Chamfer::execute	chamfer_parameter_history	Chamfer consumes Equal distance Two distances Distance and Angle and FlipDirection parameter variants over selected Base edges	cad-core/src/part_design/feature_chamfer.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/app/element_map.cpp	C10M2-SCOPE-101	S3_dressup
C10M2-SRC-104	src/Mod/PartDesign/App/FeatureDraft.cpp	Draft::execute	draft_face_history	Draft resolves selected faces neutral plane pull direction and may auto-guess a neutral plane from a selected face	cad-core/src/part_design/feature_draft.cpp;cad-core/src/part_design/feature_dress_up_support.*	C10M2-SCOPE-102	S3_dressup
C10M2-SRC-105	src/Mod/PartDesign/App/FeatureThickness.cpp	Thickness::execute	thickness_face_and_fuse_history	Thickness resolves selected close faces mode join intersection and multi-solid fuse history	cad-core/src/part_design/feature_thickness.cpp;cad-core/src/part_design/feature_dress_up_support.*;cad-core/src/part/topo_shape.cpp	C10M2-SCOPE-102	S3_dressup
C10M2-SRC-106	src/Mod/PartDesign/App/FeatureHole.cpp	Hole::execute;Hole::findHoles	hole_findholes_elementmap_history	Hole execute builds profile and tools; findHoles calls makeShapeWithElementMap protoHole mapper baseshape to propagate source history	cad-core/src/part_design/feature_hole.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/app/element_map.cpp	C10M2-SCOPE-201	S4_hole
C10M2-SRC-107	src/Mod/PartDesign/App/FeatureHole.cpp	Hole::makeThread;Hole::readCutDefinitions;Hole::updateThreadDepthParam	hole_modelthread_headcut_history	Hole ModelThread builds pipe-shell solid tool; dynamic head-cut and thread-depth resources affect tool shape and history publication	cad-core/src/part_design/feature_hole.cpp;cad-core/src/part_design/body.cpp	C10M2-SCOPE-202	S4_hole
C10M2-SRC-201	cad-core/src/part_design/feature_dress_up_support.*	publishDressUpResult;cacheDressUpAddSubShape;selectedDressUpEdges	current_dressup_support_landing	Current cad-core shared DressUp support owns Base selection AddSubShape slot and result publication	cad-core/src/part_design/feature_dress_up_support.*	C10M2-SCOPE-101,C10M2-SCOPE-102	S1_verify_then_S3
C10M2-SRC-202	cad-core/src/part_design/feature_hole.cpp	hole history publication current implementation	current_hole_landing	Current cad-core Hole implementation publishes source_profile model thread and mapper history metadata tested by P7 focused rows	cad-core/src/part_design/feature_hole.cpp	C10M2-SCOPE-201,C10M2-SCOPE-202	S1_verify_then_S4
C10M2-SRC-203	cad-core/include/cad_core/part/topo_shape.h;cad-core/src/part/topo_shape.cpp;cad-core/src/app/element_map.cpp	NamedShape;ElementMap;MapperHistory	current_topo_landing	Current request-local NamedShape ElementMap and mapper history own split deleted merge diagnostics and stable subname resolution	cad-core/include/cad_core/part/topo_shape.h;cad-core/src/part/topo_shape.cpp;cad-core/src/app/element_map.cpp	C10M2-SCOPE-301	S1_verify_then_S5
C10M2-SRC-204	cad-core/tests/test_p7_features.py;cad-core/tests/test_adapters.py	P7 DressUp and Hole focused tests	current_test_landing	Focused tests constrain DressUp SupportTransform chain history Hole profile source ModelThread and capability publication	cad-core/tests/test_p7_features.py;cad-core/tests/test_adapters.py	C10M2-SCOPE-401	S6_release_gate
