id	axis	product_boundary	native_parity_status	contract_status	migration_status	next_action	owner_step
C12M4-SCOPE-001	projection_item_ledger	in_scope_request_local	native_oracle_unavailable	product_contract_frozen	expected_wording_pending_s3	S2 freezes ledger fields as CAD Core request-local product contract; S3 may migrate C5-M9 wording from known_gap to product_contract.	S2
C12M4-SCOPE-002	mapper_history_event	in_scope_request_local	native_oracle_unavailable	product_contract_frozen	expected_wording_pending_s3	Keep MapperHistoryEvent as CAD Core ledger and document native_oracle_unavailable, not FreeCAD native ElementMap parity.	S2
C12M4-SCOPE-003	edge_wire_provenance	in_scope_request_local	native_oracle_unavailable	product_contract_frozen	expected_wording_pending_s3	Retain focused tests for projection_item_index, edge_fragment_index, source/target endpoints and recovery hook; remove native replacement delete-condition wording later.	S2
C12M4-SCOPE-004	face_rebuild_provenance	in_scope_request_local	native_oracle_unavailable	product_contract_frozen	expected_wording_pending_s3	Retain outer/inner face wire source tests; describe as request-local source-ledger contract with native oracle unavailable note.	S2
C12M4-SCOPE-005	height_compound_offset	in_scope_request_local	native_oracle_unavailable	product_contract_frozen	expected_wording_pending_s3	Retain height solid, compound child, pre-offset child and offset ownership tests; document pre/post offset semantics as product contract.	S2
C12M4-SCOPE-006	invalid_projection_diagnostic	in_scope_request_local_diagnostic	native_diagnostic_not_product_contract	product_diagnostic_contract_frozen	expected_wording_pending_s3	Migrate diagnostic expected wording without claiming native provenance or treating diagnostics as mapper history.	S2
C12M4-SCOPE-007	freecad_native_elementmap	out_of_scope_product_boundary	native_hidden_retained	not_product_contract	n/a	Keep as retained native blocker only; do not wait on FreeCAD native ElementMap parity for product contract migration.	S2
C12M4-SCOPE-008	output_guessing	out_of_scope_product_boundary	rejected	not_product_contract	n/a	Keep rejected: bbox/order/EdgeN/topology-count/geometry-similarity/fixture-name inference cannot become ownership contract.	S2
C12M4-SCOPE-009	gui_workbench_state	out_of_scope_product_boundary	rejected	not_product_contract	n/a	Reject GUI session, Workbench state, ViewProvider and selection UI state as CAD Core request-local product inputs.	S2
C12M4-SCOPE-010	persistent_native_cache	out_of_scope_product_boundary	rejected	not_product_contract	n/a	Reject persistent native Document, TopoDS, NamedShape and ElementMap cache as product state; CAD Core recomputes from request graph.	S2
C12M4-SCOPE-011	full_brep_transport	out_of_scope_product_boundary	rejected	not_product_contract	n/a	Reject full BREP transport as request/response product state; only allowed ReferenceShadow-style evidence remains outside this ProjectOnSurface contract.	S2
C12M4-SCOPE-012	decision_package_direct_edits	out_of_scope_package_boundary	rejected	not_product_contract	n/a	Reject direct C++/include/fixture expected/test/adapter/capability wording edits inside C12-M4; follow-up implementation package must own those changes.	S2
