id	module	files	change	step	status
FGMN1-IMPL-001	app recorder	cad-core/include/cad_core/app/element_map_producer_trace.h;cad-core/src/app/element_map_producer_trace.cpp	value-only recorder;RAII transaction/scope;snapshot hash;identity;closure;drain	S1	pending
FGMN1-IMPL-002	runtime ownership	cad-core/include/cad_core/runtime/compute_context.h;cad-core/include/cad_core/runtime/recompute.h;cad-core/src/runtime/recompute.cpp	create recorder before parsed-request preflight;unify response/context/trace artifacts;object scopes	S1-S2	pending
FGMN1-IMPL-003	StringHasher	cad-core/include/cad_core/app/string_hasher.h;cad-core/src/app/string_hasher.cpp	trace handle;ordered const inspection table;all allocation/mapped-name events	S2	pending
FGMN1-IMPL-004	reference	cad-core/include/cad_core/runtime/reference_resolution.h;cad-core/src/runtime/reference_resolution.cpp;cad-core/src/runtime/element_reference_update.cpp	propagate trace handle;resolve/update decisions and failure reasons	S2	pending
FGMN1-IMPL-005	Part snapshot	cad-core/include/cad_core/part/element_map_producer_trace_snapshot.h;cad-core/src/part/element_map_producer_trace_snapshot.cpp	const NamedShape/shape/child/mapper value snapshot builders	S2-S3	pending
FGMN1-IMPL-006	ElementMap/TopoShape	cad-core/include/cad_core/part/topo_shape.h;cad-core/src/part/topo_shape.cpp	ordered read/write/encode/reset/history/child/set/copy/map/maker/boolean/refine slices	S2-S3	pending
FGMN1-IMPL-007	TopoShape expansion	cad-core/include/cad_core/part/topo_shape_expansion.h;cad-core/src/part/topo_shape_expansion.cpp	expansion maker scopes and checkpoints where current logic lives outside topo_shape.cpp	S3	pending
FGMN1-IMPL-008	Mapper	cad-core/include/cad_core/part/topo_shape_mapper.h;cad-core/src/part/topo_shape_mapper.cpp	raw relation value support and public history link;do not reconstruct raw order from DTO	S3	pending
FGMN1-IMPL-009	Property Shape	cad-core/include/cad_core/part/property_topo_shape.h;cad-core/src/part/property_topo_shape.cpp	setValue/retag/slot checkpoint helpers	S5	pending
FGMN1-IMPL-010	FaceMaker/WireJoiner	cad-core/src/part/face_maker.cpp;cad-core/src/part/wire_joiner.cpp	pre-split/split/open wire/history lifecycle events	S4	pending
FGMN1-IMPL-011	Sketch	cad-core/src/sketcher/sketch_object.cpp;cad-core/src/sketcher/sketch_internal_builder.cpp;cad-core/src/sketcher/sketch_internal_result.cpp	Sketch outer scope;Shape/InternalShape/profile/FaceMaker/WireJoiner handoffs	S4	pending
FGMN1-IMPL-012	Extrude/Pad/Pocket	cad-core/include/cad_core/part_design/feature_extrude.h;cad-core/src/part_design/feature_extrude.cpp;cad-core/src/part_design/feature_pad.cpp;cad-core/src/part_design/feature_pocket.cpp	prism/AddSubShape/Boolean/refine/final slot scopes	S5	pending
FGMN1-IMPL-013	DressUp	cad-core/src/part_design/feature_dress_up.cpp;cad-core/src/part_design/feature_chamfer.cpp;cad-core/src/part_design/feature_fillet.cpp	base selection/CHF-FLT/cache/refine/final slot scopes	S5	pending
FGMN1-IMPL-014	Pattern	cad-core/include/cad_core/part_design/feature_transformed.h;cad-core/src/part_design/feature_transformed.cpp;cad-core/src/part_design/feature_linear_pattern.cpp	original/instance/transform/fuse-cut/support/final slot scopes	S5	pending
FGMN1-IMPL-015	Body	cad-core/include/cad_core/part_design/body.h;cad-core/src/part_design/body.cpp	Tip input and ledger-only inheritance checkpoint;no replay assertion	S5	pending
FGMN1-IMPL-016	CLI/IO	cad-core/src/adapters/cli/cli.cpp;cad-core/src/runtime/io.cpp	derive sidecar path;validate/freeze;temporary write and publish;hard fail	S6	pending
FGMN1-IMPL-017	actual runner	cad-core/tools/freecad_expected_parity/catalog.py;cad-core/tools/freecad_expected_parity/sources.py;cad-core/tools/freecad_expected_parity/engine.py	track/load/materialize actual trace without changing public comparator verdict	S6	pending
FGMN1-IMPL-018	Python validator	cad-core/tools/element_map_producer_trace/__init__.py;cad-core/tools/element_map_producer_trace/validate.py	shared closure validator reused by N1 publisher tests and N2 comparator	S6	pending
FGMN1-IMPL-019	build	cad-core/CMakeLists.txt	add recorder/snapshot sources and focused probe executable;match existing macOS RPATH	S1-S7	pending
FGMN1-IMPL-020	tests	cad-core/tests/element_map_producer_trace_probe.cpp;cad-core/tests/test_element_map_producer_trace.py;cad-core/tests/test_element_map_producer_trace_cli.py	unit/closure/mutation/determinism/no-side-effect/integration coverage	S1-S7	pending
