id	phase	case	role	native_trace	purpose	n1_gate	n2_followup	status
FGMN1-FIX-001	c4m6	topo-state-body-tip-stable-recovery	native	present_untracked	Sketch->Pad->Property->Body Tip scope;SID/ledger/mapper reference case	actual trace closure and key slice presence;cross-producer smoke	full first-divergence comparison	pending
FGMN1-FIX-002	p2	rect-pad-pocket	native	present_untracked	Sketch->Pad->Pocket->Body additive/subtractive chain	actual trace parent scopes;extrude/boolean/slot/body coverage	validate native closure/determinism then compare	pending
FGMN1-FIX-003	c3m5	chamfer-distance-angle-edge	native	present_untracked	DressUp Chamfer candidate/base/refine lifecycle	actual dressup/maker/reject/select/checkpoint coverage	validate native closure/determinism then compare	pending
FGMN1-FIX-004	c3m5	fillet-face-selection-history	native	present_untracked	Fillet base face resolution and history	actual reference/dressup/mapper/property coverage	validate native closure/determinism then compare	pending
FGMN1-FIX-005	c3m5	linear-pattern-multi-original-link-retag	native	present_untracked	Pattern Originals order;instance/add-sub/retag/Body handoff	actual pattern/multi-source/property/body coverage	validate native closure/determinism then compare	pending
FGMN1-FIX-006	p5	sketch-open-wire-internal-empty	native	present_untracked	open wire while InternalShape remains empty	actual sketch/FaceMaker/WireJoiner/open result and stable reason	validate native closure/determinism then compare	pending
FGMN1-FIX-007	c4m3	sketch-external-internal-self-intersection-bowtie	native	present_untracked	self-intersection split and bounded face lineage	actual pre-split/splitter/history/checkpoints	validate native closure/determinism then compare	pending
FGMN1-FIX-008	c4m3	sketch-external-internal-split-dangling-mixed	native	present_untracked	inter-edge split plus dangling/open edge handoff	actual split ownership/open wire/entry-local refs	validate native closure/determinism then compare	pending
FGMN1-FIX-009	c4m6	topo-state-schema-incompatible	native	present_untracked	parsed request preflight rejection before geometry	closed abort/failure transaction and no fabricated geometry	validate native cancel trace and compare request boundary	pending
FGMN1-FIX-010	c3m5	dressup-failure-diagnostics	unsupported	missing	CAD Core executor failure/guard instrumentation only	actual failure scope;last checkpoint;partial-write flag	no native parity until role/collector authority changes	pending
