id	axis	source_authority_status	expected_status	current_status	product_boundary_status	classification	code_gate	next_action	owner_step
C12M3-CAT-001	edge_wire_provenance	source_backed_s1_project_wire_and_toposhape_history	native_hidden_retained_s4_current_artifact	s5_no_comparison_no_expected_ready	request_local_probe_completed_no_history_visible	native_hidden_retained	closed_no_code	S5 audited the S4 artifact: object and intermediate edge/wire projection are observable, but getElementHistory returns None and no native_provenance_expected_ready row exists; no current comparison or implementation row was created.	S5
C12M3-CAT-002	face_rebuild_provenance	source_backed_s1_project_face_rebuild_and_elementmap	native_hidden_retained_s4_current_artifact	s5_no_comparison_no_expected_ready	request_local_probe_completed_no_history_visible	native_hidden_retained	closed_no_code	S5 audited the S4 artifact: face rebuild result is observable, but Face/Wire/Edge history remains None; face order, bbox, EdgeN and fixture names remain rejected and no comparison was run.	S5
C12M3-CAT-003	all_compound_height_offset	source_backed_s1_height_compound_offset_property_elementmap	native_hidden_retained_s4_current_artifact	s5_no_comparison_no_expected_ready	request_local_probe_completed_no_child_elementmap	native_hidden_retained	closed_no_code	S5 audited the S4 artifact: height solid and offset compound geometry exist, but no request-local compound child, height solid or pre-offset source provenance is exposed; current cad-core ledger comparison remains skipped.	S5
C12M3-CAT-004	invalid_projection_diagnostic	source_backed_s1_projection_links_and_diagnostics	native_hidden_retained_s4_diagnostic_context_only	s5_no_comparison_no_expected_ready	request_local_diagnostic_observed_not_provenance	native_hidden_retained	closed_no_code	S5 audited the S4 artifact: null/Invalid diagnostic behavior is not source-to-target provenance and cannot become backend gap evidence; no current comparison was run.	S5
C12M3-CAT-005	api_observability	source_backed_s1_toposhape_history_api_and_property_context	native_hidden_retained_s4_with_product_boundary_rows	s5_no_comparison_no_expected_ready	request_local_api_probe_completed_persistence_rejected	native_hidden_retained	closed_no_code	S5 audited getElementHistory/mapSubElement/mapShapes/ElementMap/MapperHistory observations; manual mapShapes injection and ElementMap persistence remain product_boundary_rejected, native history remains hidden, and no implementation gate opens.	S5
C12M3-CAT-006	output_guessing	C12M3-SCOPE-006	rejected_not_source_backed_native_expected	not_applicable	product_boundary_rejected	rejected	closed	Do not use bbox, order, EdgeN, topology count, fixture name or current cad-core ledger as provenance evidence.	S2
C12M3-CAT-007	gui_workbench_session	C12M3-SCOPE-007	not_applicable	not_applicable	product_boundary_rejected	rejected	closed	Do not depend on GUI session, Workbench command state, ViewProvider or TaskPanel lifecycle.	S2
C12M3-CAT-008	persistent_native_history_cache	source_backed_s1_property_part_shape_persistence_context	not_applicable	not_applicable	product_boundary_rejected	rejected	closed	PropertyPartShape ElementMap save/restore is source context only; do not implement cross-request native document, TopoDS, NamedShape or ElementMap cache.	S2
C12M3-CAT-009	full_brep_transport	C12M3-SCOPE-009	not_applicable	not_applicable	product_boundary_rejected	rejected	closed	Do not expand C12-M3 product DTO to full modeling BREP transport; local probe summaries are not product API.	S2
C12M3-CAT-010	c5m9_expected_as_native_expected	source_backed_s1_c5m9_expected_context	source_backed_known_gap_context_not_native_expected	current_context_only_until_s4_native_artifact	native_expected_reuse_rejected	rejected	closed	C5-M9 expected can remain current context/delete-condition evidence only; S4 native artifact is required before S5 comparison.	S2
C12M3-CAT-011	release_gate	s5_audited_release_gate_input	native_hidden_retained_s4_no_expected_ready	no_current_comparison_s5	pending_s6_no_code_expected	native_hidden_retained	closed_no_code_until_s6	S6 may publish only no-code retained for C12-M3 unless a future native artifact exposes expected-ready provenance; S5 created no current_covered/backend_gap_candidate and C12-M3 still does not authorize code work.	S5
