id	evidence_field	why_required	source_authority	owner_step	initial_status	decision	artifact_or_note
C12M10-PROBE-001	freecad_occt_baseline	Native evidence must state exact runtime baseline	FreeCADCmd runtime	S2	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must include command path, FreeCAD version/revision, OCCT or LibPack if available, platform, script path, cwd and timestamp; no parity decision without baseline.
C12M10-PROBE-002	mode_matrix	Disabled, Enabled, Mutated and PartialLoad must be separated	ShapeBinder.h::BindCopyOnChange;PartialLoad	S2	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must enumerate Disabled control, Enabled, property-change-to-Mutated, explicit Mutated and PartialLoad True with separate expected gate and diagnostics per mode.
C12M10-PROBE-003	single_support_gate	setupCopyOnChange requires exactly one support	ShapeBinder.cpp::setupCopyOnChange	S2	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must record zero, one and multi-support setup result; only exactly one support and non-Disabled may enter CopyOnChange, with cleanup observed where possible.
C12M10-PROBE-004	tmp_binder_lifecycle	FreeCAD uses temporary binder during copied-object update	ShapeBinder.cpp::update	S2	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must record _tmp_binder creation, cleanup, visibility and request-local observability while keeping temporary document handles rejected for DTO.
C12M10-PROBE-005	copied_objs_identity	_CopiedObjs must expose stable copied object identities	ShapeBinder.h::_CopiedObjs;ShapeBinder.cpp::update	S2	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must record source object names/ids to copied object names/ids plus _CopiedObjs order and lifetime; missing identity remains blocker.
C12M10-PROBE-006	dependency_order	copyObject dependency order is core graph evidence	Document.cpp::copyObject	S2	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must record dependency list/order from copyObject, included dependencies, dependency edges if observable and export/import copy result order.
C12M10-PROBE-007	support_rewrite	Copied support must rewrite links to copied objects	ShapeBinder.cpp::_CopiedLink;Document.cpp::copyObject	S2	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must record Support sublist before/after and _CopiedLink target/subvalues; no frontend prefix guessing or label-only proof.
C12M10-PROBE-008	recompute_status	recomputeFeature(true) affects copied graph validity	Document.cpp::recomputeFeature;ShapeBinder.cpp::update	S2	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must record first recompute before property copy, second recompute after property copy when triggered, success/failure signal and copyerror class.
C12M10-PROBE-009	elementmap_lifecycle	ElementMap and NamedShape lifecycle decides whether DTO can carry topo evidence	PropertyTopoShape;ShapeBinder update path	S2/S3	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must record ElementMap/NamedShape evidence before copy, after first recompute, after property copy and after binder result; S3 may approve request-local evidence only.
C12M10-PROBE-010	partial_load_boundary	PartialLoad is visible input but depends on copied graph lifecycle	ShapeBinder.h::PartialLoad;ShapeBinder.cpp::checkPropertyStatus	S2/S3	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must record PartialLoad True behavior with canLoadPartial and Support.setAllowPartial and whether copy path requires fully-loaded source before S3 decides.
C12M10-PROBE-011	cache_star_boundary	Cache_* must stay optimization unless native evidence proves semantic state	ShapeBinder.cpp Cache_ name handling	S2/S3	schema_fixed_pending_s2	required_for_s2_artifact	S2 artifact must record Cache_* creation, hit and removal and classify it as transform optimization unless FreeCAD evidence proves semantic copied graph state.
