id	status	area	blocker	owner_step	close_criteria
P8LAR-BLOCK-001	pending	baseline	旧 P8 / C4-M5 队列与当前 live capability 未统一裁决	S0	scope matrix 标出 supportedBaseline / staleQueue / backendGap
P8LAR-BLOCK-002	pending	source	Link ledger 还未精确到 FreeCAD 函数和字段	S1	source_candidates 从 source_to_verify 升级为 sourceReady
P8LAR-BLOCK-003	pending	link	ShowElement 持久写回事务缺少完整 owner / child / reclaim 证明	S2	fixtures 覆盖 synthetic / materialized / stale / toggle-off / apply-next-request
P8LAR-BLOCK-004	pending	link	CopyOnChange / touched / deep copy 发布边界未裁决	S2	scope matrix 明确 supported / backendGap / nonGoal
P8LAR-BLOCK-005	pending	xlink	cross-document hash / postfix / mapped alias 生命周期缺少稳定 schema	S3	diagnostics 与 update suggestion 覆盖 missing / hash mismatch / rename
P8LAR-BLOCK-006	pending	linksub	多层 LinkSub 与 imported ElementMap 未统一到正式 ElementMap / retag history	S4	nested fixtures 和 topo tests 通过，禁止 output 修剪
P8LAR-BLOCK-007	pending	import	导入 shape subshape map 不能被 Link chain 完整消费	S4	imported shape fixture 有 stable subname / ElementMap 证明
P8LAR-BLOCK-008	pending	assembly	remaining JointType 缺少产品裁决和 native oracle	S5	只发布 source+oracle+fixture+capability 闭环的 JointType
P8LAR-BLOCK-009	pending	assembly	underconstrained / contradictory / partial writeback diagnostic 不稳定	S5	diagnostic fixtures 锁定 code / object / recovery suggestion
P8LAR-BLOCK-010	pending	adapter	Worker / WASM / Web schema 和 capability 未冻结	S6	adapter tests 与 docs 同步，remaining gaps 不为空口号
