id	scope	freecad_authority	current_landing	status	owner_step	required_evidence	close_condition
C13M1-SCOPE-001	Live code path and schema baseline	cad-core current runtime; collector topo state schema	cad-core/src/runtime/recompute.cpp;cad-core/tools/collect_freecad_expected.py	closed	S0	Baseline HEAD 0055b6ccdf, input topoNamingState path, missing output path, expected schema keys and C13-M1 non-goals recorded	S0 closed by 7-8-17-55-【已实现】C13-M1-S0-live基线与schema冻结.md.
C13M1-SCOPE-101	Runtime topoNamingState publisher	TopoShapeExpansion makeShapeWithElementMap; ElementMap ledger	cad-core/include/cad_core/runtime/topo_naming_state.h;cad-core/src/runtime/topo_naming_state.cpp	closed_s3	S2/S3	Official response topoNamingState now comes from Document, ComputeContext and cached response subshapes	S3 closed by runtime publisher implementation and expectedFailure removal.
C13M1-SCOPE-102	ElementMap entries from NamedShape	ElementMap.cpp; PropertyLinks.cpp	cad-core/src/part/topo_shape.cpp;cad-core/src/runtime/topo_naming_state.cpp	closed_s3	S1/S3	Entries are generated from NamedShape.elementMap and mapper history projection, not from fixture strings	S3 focused Body fixture publishes history_partial entries.
C13M1-SCOPE-103	Response subshape state snapshot	ComplexGeoData element names; TopoShape element map	cad-core/src/runtime/recompute.cpp	closed_s3	S2/S3	Response subshapes cached in recomputeResultJson and reused for topoNamingState.objects.Body.subshapes	S3 focused response test passed without expectedFailure.
C13M1-SCOPE-104	Round-trip stable reference recovery	PropertyLinkBase updateElementReference	cad-core/src/runtime/reference_resolution.cpp;cad-core/src/runtime/recompute.cpp	closed_s4	S2/S4	Round-trip test feeds first response state into next c4m6 request and requires Body/Tip stable edges	S4 focused run passed; response state is consumable by the next request.
C13M1-SCOPE-105	Adapter response parity	CAD Core stateless adapter boundary	cad-core/src/adapters/c_api/c_api.cpp;cad-core/src/adapters/cli/cli.cpp	closed_s4	S2/S4	Focused adapter test requires C API, worker, wasm and CLI to share same topoNamingState channel	S4 focused run passed; full adapter class remains unrelated 6F/8E baseline.
C13M1-SCOPE-201	Expected hash alignment	collector semantic_hash	cad-core/src/runtime/topo_naming_state.cpp	closed_focused_s4_gap_allowed_broader	S1/S4	Runtime uses stable JSON projection plus sha256; collector byte-level parity remains gap_allowed	S4 focused documentHash and target objectHash matched expected; broader hash_encoding_gap remains classified, not a blocker.
C13M1-SCOPE-202	FreeCAD mapped-name gap classification	FreeCAD mapped name encoder	cad-core/src/runtime/topo_naming_state.cpp	followup_after_s5	S4/S5	Focused expected uses FreeCAD raw #... mapped names while runtime publishes NamedShape stable tokens	S5 keeps the gap as follow-up without fixture-string backfill; future batch can implement encoder parity.
C13M1-SCOPE-203	Child map and mapper history evidence key classification	ElementMap child maps and mapper history ids	cad-core/src/runtime/topo_naming_state.cpp	followup_after_s5	S4/S5	Expected evidence uses childElementMapKey and mapperHistoryIds; runtime publishes mapperHistory plus mapperHistoryIndexes	S5 records current schema gap and keeps byte-level FreeCAD id parity out of C13-M1.
C13M1-SCOPE-901	FreeCAD mapped-name byte parity	FreeCAD mapped name encoder	future batch	active_non_goal_after_s5	All	Raw Pocket.#...:H...,F encoding requires a dedicated encoder and native parity tests	Closed as non-goal for C13-M1; not supported until a future batch implements it.
C13M1-SCOPE-902	Full fixture parity release gate	collect_freecad_expected --phase all	future release package	active_non_goal_after_s5	All	Full expected topo state parity is broader than first output publisher	Closed as non-goal unless user explicitly broadens scope.
