candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
P8ASM-CAND-001	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::solve	solve_order	ensureIdentityPlacements; syncGroundedJoints; makeMbdAssembly; fixGroundedParts; if groundedObjs.empty return -6; jointParts; mbdAssembly->runPreDrag(); setNewPlacements	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_utils.cpp	P8ASM-SCOPE-003;P8ASM-SCOPE-006	S3 verify request-local real solver and missing grounded gate
P8ASM-CAND-002	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::validateNewPlacements	grounded_validation	Ignoring bad solve, a grounded object (%s) moved; oldPlc.isSame(newPlacement, Precision::Confusion())	cad-core/src/assembly/joint_solver.cpp	P8ASM-SCOPE-005	S4 verify invalid grounded writeback rejection
P8ASM-CAND-003	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::setNewPlacements	placement_writeback	getMbdPlacement(mbdPart); offsetPlc; propPlacement->setValue(newPlacement); obj->purgeTouched()	cad-core/src/assembly/assembly_utils.cpp	P8ASM-SCOPE-005	S4 verify documentObjectUpdates Placement contract
P8ASM-CAND-004	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::fixGroundedPart	grounded_part	marker- + obj->getFullName(); FixingMarker; CREATE<ASMTFixedJoint>::With(); setMarkerI; setMarkerJ	cad-core/src/assembly/joint_solver.cpp	P8ASM-SCOPE-003	S3 verify grounded part conversion
P8ASM-CAND-005	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointOfType	joint_type_mapping	ASMTFixedJoint; ASMTRevoluteJoint; ASMTCylindricalJoint; ASMTTranslationalJoint; ASMTSphericalJoint; makeMbdJointDistance; ASMTParallelAxesJoint; ASMTPerpendicularJoint; ASMTAngleJoint; ASMTRackPinionJoint; ASMTScrewJoint; ASMTGearJoint	cad-core/src/assembly/joint_solver.cpp	P8ASM-SCOPE-007	S5 classify JointType coverage and exclusions
P8ASM-CAND-019	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointOfType	Cylindrical_joint_mapping	case JointType::Cylindrical returns CREATE<ASMTCylindricalJoint>::With()	cad-core/src/assembly/joint_solver.cpp;cad-core/fixtures/c3m6/assembly-grounded-cylindrical-joint-real-solver.json;cad-core/fixtures/c3m6/expected/assembly-grounded-cylindrical-joint-real-solver.freecad.json	P8ASM-SCOPE-010	closed: S7 follow-up adds real ASMTCylindricalJoint adapter and checked-in native expected
P8ASM-CAND-006	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointDistance	distance_joint_detail	DistanceType; PointPoint; LineLine; PlanePlane; CylinderSphere; PointCurve; distanceIJ; offset; getJointDistance(joint); getFaceRadius; getEdgeRadius	cad-core/src/assembly/joint_solver.cpp	P8ASM-SCOPE-007	DistanceType S5 supports basic point line plane mapping with oracle and capability; keep radius-bearing and curve distance mapping out unless a later oracle-backed package exists
P8ASM-CAND-007	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/JointObject.py	Joint;JointTypes	joint_properties	JointTypes; JointUsingDistance2; App::PropertyEnumeration JointType; Reference1; Reference2; Placement1; Placement2; Angle; Distance; Distance2; App::PropertyXLinkSubHidden	cad-core/src/assembly/joint_group.cpp;cad-core/src/assembly/joint_solver.cpp	P8ASM-SCOPE-002;P8ASM-SCOPE-007	S2/S5 verify DTO fields and hidden XLinkSub handling
P8ASM-CAND-008	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/JointGroup.cpp	JointGroup::getJoints	joint_group_filter	Suppressed; Filter grounded joints and deactivated joints; Proxy; hasAttr("setJointConnectors")	cad-core/src/assembly/joint_group.cpp;cad-core/src/assembly/assembly_utils.cpp	P8ASM-SCOPE-002	S2 verify JointGroup input boundary
P8ASM-CAND-009	/home/user/Chili3DProject/FreeCAD/cad-core/include/cad_core/assembly/joint_solver.h	AssemblySolveRequest	solver_dto	assemblyObject; jointGroups; parts; groundedJoints; joints; JointConstraint; AssemblyPlacementUpdate	cad-core/src/assembly/joint_solver.cpp	P8ASM-SCOPE-002;P8ASM-SCOPE-003	S3 verify DTO matches FreeCAD solve order
