id	step	status	priority	blocker	source_authority	cad_core_landing	oracle_or_diagnostic	validation	next_owner	exit_condition
C51-BLK-000	C51-S0	done_c51s0_reopened	C51-P0	C5 deferred scope was not reopened into C5.1 implementation queue	docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M5-Freeze收口主线/6-20-12-45-C5-M5-freeze收口总结.md;AGENTS.md	docs/CADCore5.1-PartDesign-剩余deferred语义实现/矩阵	C51-ORC-000	C51-VAL-001;C51-VAL-002;C51-VAL-003	done_C51-S0	all C5 deferred/non-goal except GUI Attachment editor/ViewProvider/TaskPanel mapped to concrete C51 child blockers
C51-BLK-101	C51-S1	done_c51s1_supported_with_exact_groove_upto_blocker	C51-P0	Revolution/Groove advanced parent broad deferred removed;only exact Groove UpTo native BRepFeat blocker remains	src/Mod/PartDesign/App/FeatureRevolved.cpp;FeatureRevolution.cpp;FeatureGroove.cpp;FeatureSketchBased.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_revolved.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/part_design/body.cpp;cad-core/src/part_design/datum_line.cpp	C51-ORC-111;C51-ORC-112;C51-ORC-113;C51-ORC-114	C51-VAL-101	done_C51-S1	Capability reports supported_c51s1_advanced_with_exact_groove_upto_blocker and deferred=[]
C51-BLK-111	C51-S1	done_c51s1_exact_groove_upto_blocker	C51-P0	Revolution UpToFirst/UpToLast/UpToFace supported;Groove UpToFirst/UpToFace reproduces native BRepFeat failure	src/Mod/PartDesign/App/FeatureRevolved.cpp::tryExecuteRevolved;src/Mod/PartDesign/App/FeatureSketchBased.cpp::getUpToFace/getUpToFaceFromLinkSub;src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementRevolution	cad-core/src/part_design/feature_revolved.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-111	C51-VAL-111	done_C51-S1	Revolution fixtures have expected;Groove fixtures assert FreeCAD message "Revolution: Up to face: Could not revolve the sketch!"
C51-BLK-112	C51-S1	done_c51s1_supported	C51-P0	Profile.SubList/InternalFace selection implemented for checked sketch InternalFace evidence	src/Mod/PartDesign/App/FeatureRevolved.cpp::tryExecuteRevolved;src/Mod/PartDesign/App/FeatureSketchBased.cpp;src/Mod/Sketcher/App/SketchObject.cpp	cad-core/src/part_design/feature_revolved.cpp;cad-core/src/part_design/profile_shape.cpp;cad-core/src/topo	C51-ORC-112	C51-VAL-112	done_C51-S1	Selected profile subshape fixtures pass;unsupported profile regions remain locatable diagnostics
C51-BLK-113	C51-S1	done_c51s1_supported	C51-P0	FuseOrder=FeatureFirst implemented in AddSubShape and Body replay order	src/Mod/PartDesign/App/FeatureRevolution.cpp::makeShape/FuseOrderEnums;src/Mod/PartDesign/App/Body.cpp::Body::execute	cad-core/src/part_design/feature_revolution.cpp;cad-core/src/part_design/body.cpp	C51-ORC-113	C51-VAL-113	done_C51-S1	FeatureFirst Body fixture passes native expected and capability metadata
C51-BLK-114	C51-S1	done_c51s1_supported	C51-P0	DatumLine/App::Line/custom Sketch AxisN ReferenceAxis oracle/support implemented	src/Mod/PartDesign/App/FeatureSketchBased.cpp::getAxis;src/Mod/PartDesign/App/DatumLine.cpp;src/App/Datums.cpp	cad-core/src/part_design/feature_revolved.cpp;cad-core/src/part_design/datum_line.cpp;cad-core/src/runtime/feature_registry.cpp	C51-ORC-114	C51-VAL-114	done_C51-S1	PartDesign::Line, App::Line and Sketch AxisN fixtures pass native expected
C51-BLK-201	C51-S2	done_c51s2_supported	C51-P0	Boolean Compound/Section parent closed by child blockers	src/Mod/PartDesign/App/FeatureBoolean.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/PartDesign/App/Body.cpp	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part_design/body.cpp	C51-ORC-211;C51-ORC-212;C51-ORC-213	C51-VAL-201	done_C51-S2	child blockers C51-BLK-211..213 closed;C5-NG-005 no longer applies as Boolean broad non-goal in C5.1
C51-BLK-211	C51-S2	done_c51s2_supported	C51-P0	Boolean Type=Compound product runtime path and topology ownership implemented	src/Mod/PartDesign/App/FeatureBoolean.cpp disabled Compound branch;src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementBoolean Compound	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part/topo_shape.cpp	C51-ORC-211	C51-VAL-211	done_C51-S2	Compound fixtures cover Group order, compound output, ElementMap, AllowCompound=true Body Tip and AllowCompound=false exact diagnostic
C51-BLK-212	C51-S2	done_c51s2_supported	C51-P0	Boolean Type=Section product runtime path and section result policy implemented	src/Mod/PartDesign/App/FeatureBoolean.cpp disabled Section branch;src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementBoolean Section	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part_design/body.cpp	C51-ORC-212	C51-VAL-212	done_C51-S2	Section fixtures cover edge/wire result, Body Tip non-solid policy, ElementMap and no_intersection diagnostic
C51-BLK-213	C51-S2	done_c51s2_supported	C51-P0	Compound/Section preserve existing Body ownership and failure diagnostics	src/Mod/PartDesign/App/FeatureBoolean.cpp::Boolean::execute;src/Mod/PartDesign/App/Feature.cpp::singleSolidRuleMode/getSolid;src/Mod/PartDesign/App/Body.cpp::AllowCompound	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part_design/body.cpp;cad-core/src/runtime;cad-core/src/adapters/c_api/c_api.cpp	C51-ORC-213	C51-VAL-213	done_C51-S2	Existing Fuse/Cut/Common tests stay green;Compound/Section missing/null/non-solid/no-intersection/group-order diagnostics are covered
