oracle_id	scope_id	representative	route	fixture_or_expected	current_evidence	required_action	next_step
C6M8-ORC-000	C6M8-SCOPE-000	live_capability_baseline	releaseGate	cad-core/src/runtime/capability_contract.cpp;cad-core/tests/test_adapters.py	S2 verified route decisions at HEAD f981730d1c; capability/test assertions still await S3/S4 publication	Use S3/S4 to publish ProjectOnSurface overlap removal and surface family consistency	S3/S4
C6M8-ORC-101	C6M8-SCOPE-101	project_on_surface_existing_slice	expected_backed_closed	c4m1/part-project-on-surface-*;c5m9/part-project-on-surface-*	Existing expected-backed slice covers Edges Faces All height offset order and provenance diagnostics; S2 found no new stateless DTO/API backend gap	Protect existing fixtures and update capability/test/docs publication wording	S3/S4
C6M8-ORC-102	C6M8-SCOPE-101	project_on_surface_gui_task_panel	non_goal_frozen	FreeCAD src/Mod/Part/Gui/ViewProviderProjectOnSurface.cpp;src/Mod/Part/Gui/DlgProjectionOnSurface.cpp	GUI TaskPanel selection gate camera direction and TaskDialog session are GUI-only producers of existing App properties	Keep in non_goals only and do not collect fixtures	S3/S4
C6M8-ORC-103	C6M8-SCOPE-101	project_on_surface_native_mapper_history_hidden	historical_narrowed_gap	c5m9/part-project-on-surface-* provenance fixtures;future native mapper probe	Native ProjectOnSurface mapper/history is hidden until stable oracle; CAD Core projection item ledger remains request-local source-backed evidence	Write delete condition and do not promote historical evidence to expected-backed	S4
C6M8-ORC-201	C6M8-SCOPE-201	ruled_surface_expected_backed	expected_backed	p8/part-ruled-surface-line-line;p8/part-ruled-surface-conic-line;p8/part-ruled-surface-orientation-reversed;p8/part-ruled-surface-invalid-input;c4m1/part-ruled-surface-wire-wire	Expected-backed fixtures and invalid-input diagnostic are listed in capability; remaining_gaps empty	Verify adapter docs consistency	S4
C6M8-ORC-202	C6M8-SCOPE-201	loft_expected_plus_product	expected_backed_plus_product_contract	c3m4/part-loft-*;c4m1/part-loft-*;c5m12/part-loft-complex-*;c5m12/part-loft-subelement-assignment-diagnostic;c6m7/part-loft-subelement-product*	C6-M7 product fixtures plus C5-M12 native-hidden diagnostic historical evidence are separate from expected-backed complex profile fixtures	Verify no active remaining_gap reintroduced and native-hidden evidence stays narrowed	S4
C6M8-ORC-203	C6M8-SCOPE-201	sweep_expected_plus_product	expected_backed_plus_product_contract	c3m4/part-sweep-*;c4m1/part-sweep-*;c5m10/part-sweep-*;c5m12/part-sweep-spine-support-surface-normal;c6m4/part-sweep-*	C6-M4 located profile and advanced combined product fixtures coexist with c5m10 historical wrapper notCollected/build blocker evidence	Verify narrowed_gaps and non_goals wording	S4
C6M8-ORC-204	C6M8-SCOPE-201	filling_expected_plus_product	expected_backed_plus_product_contract	c3m4/part-filling-*;c5m8/part-filling-*;c5m12/part-filling-non-boundary-edge-no-support-order;c5m13/part-filling-param-*;c6m5/part-filling-*	C6-M5 product fixtures cover surface support/order explicit params and non-boundary support/order; native helper blockers remain narrowed historical evidence	Verify support/order/params product evidence remains non-parity	S4
C6M8-ORC-205	C6M8-SCOPE-201	geomplate_expected_plus_product	expected_backed_plus_product_contract	c3m4/part-geomplate-*;c5m7/part-geomplate-*;c5m13/part-geomplate-projected-curve2d-initial-surface;c6m6/part-geomplate-*	C6-M6 product fixtures plus curve criteria diagnostic and PlateSurface.Curves non-goal evidence are published with remaining_gaps empty	Verify non-goal and diagnostic boundaries stay separate from expected-backed claims	S4
C6M8-ORC-301	C6M8-SCOPE-301	new_batch_if_required	not_required_after_s2	No new fixture path	S2 found no ProjectOnSurface backend_gap_requires_implementation; broad advanced placeholder was split into non-goal historical or already expected-backed routes	Do not collect or add fixtures in S2/S3 unless a future concrete field route reopens implementation work	S3/S4
