id	layer	file	symbol	evidence	cad_core_landing	status	owner_step	next_action
C8M4-SRC-101	FreeCAD	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/CurveConstraintPyImp.cpp	CurveConstraintPy::PyInit	Constructs GeomPlate_CurveConstraint from GeometryCurvePy Boundary with Order NbPts TolDist TolAng TolCurv	cad-core/src/part/part_geomplate.cpp	s1_source_reviewed	S1	Use as Curve3d constructor authority for S4 fixture gate
C8M4-SRC-102	FreeCAD	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/CurveConstraintPyImp.cpp	setG0Criterion/setG1Criterion/setG2Criterion	All three setters still raise PyExc_NotImplementedError with Not yet implemented	cad-core/src/part/part_geomplate.cpp	s1_native_setter_boundary_confirmed	S1/S3	Keep native setter parity blocked unless S3 probe proves source changed
C8M4-SRC-103	FreeCAD	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/CurveConstraintPyImp.cpp	getG0Criterion/getG1Criterion/getG2Criterion	Getters call wrapped GeomPlate_CurveConstraint G0Criterion(u) G1Criterion(u) G2Criterion(u)	cad-core/tests/test_p8_features.py	s1_getter_state_confirmed	S1	Getter state proves OCCT criteria state exists but not setter support
C8M4-SRC-104	FreeCAD	/home/user/Chili3DProject/FreeCAD/src/Mod/Part/App/GeomPlate/PointConstraintPyImp.cpp	setG0Criterion/setG1Criterion/setG2Criterion	PointConstraint setters parse one double and call SetG0Criterion SetG1Criterion SetG2Criterion	cad-core/src/part/part_geomplate.cpp	s1_analog_only_not_curve_parity	S1	Point analog can guide request-local implementation but cannot close Curve native boundary
C8M4-SRC-201	cad-core	/home/user/Chili3DProject/FreeCAD/cad-core/include/cad_core/part/part_geomplate.h	GeomPlateCurveConstraintSource	Current Curve DTO has kind objectName subname surface curve2d projectedTolerance order nbPts tolerances but no g0Criterion g1Criterion g2Criterion fields	cad-core/include/cad_core/part/part_geomplate.h	s1_curve_dto_gap_confirmed	S1/S4	Add curve criteria DTO fields only if S4 opens request-local gate
C8M4-SRC-202	cad-core	/home/user/Chili3DProject/FreeCAD/cad-core/src/part/part_geomplate.cpp	readCurveConstraints	Current parser detects G0Criterion G1Criterion G2Criterion and returns unsupported_curve_criteria before creating GeomPlateCurveConstraintSource	cad-core/src/part/part_geomplate.cpp	s1_parser_blocker_confirmed	S1/S4	Blocker is native-policy guard plus missing curve criteria DTO parse/apply path, not just stale wording
C8M4-SRC-203	cad-core	/home/user/Chili3DProject/FreeCAD/cad-core/src/part/part_geomplate.cpp	addCurveConstraint	Current curve builder constructs GeomPlate_CurveConstraint and adds it without SetG0Criterion SetG1Criterion SetG2Criterion; SetG calls are only in addPointConstraint	cad-core/src/part/part_geomplate.cpp	s1_curve_apply_gap_confirmed	S1/S4	Do not claim current Curve request-local criteria support before adding apply path
C8M4-SRC-301	cad-core	/home/user/Chili3DProject/FreeCAD/cad-core/src/runtime/capability_contract.cpp	part_workbench.geomplate	Capability lists CurveConstraints G0/G1/G2 payload keys but publishes unsupported_curve_criteria and curve_constraint_criteria_setters_not_implemented as diagnostic-backed narrowed gap	cad-core/src/runtime/capability_contract.cpp	s5_publication_strategy_defined	S5	S6 must publish valid request-local criteria as product contract and retain native setter blocked only as native non-parity historical evidence if still needed
C8M4-SRC-401	tests	/home/user/Chili3DProject/FreeCAD/cad-core/tests/test_p8_features.py	test_c5m7_part_geomplate_curve_criteria_are_locatable_diagnostics	Focused test expects unsupported_curve_criteria on CurveConstraints.G0Criterion with target BoundaryA Edge1	cad-core/tests/test_p8_features.py	s1_current_guard_reviewed	S4	Replace only if S4 opens request-local gate and S6 adds positive coverage
C8M4-SRC-402	tests	/home/user/Chili3DProject/FreeCAD/cad-core/tests/test_adapters.py	test_c5m7_capabilities_include_geomplate_surface_boundaries	Adapter test asserts unsupported_curve_criteria diagnostic narrowed gap source authority and delete_condition; it also asserts curve_constraint_criteria is not covered	cad-core/tests/test_adapters.py	s5_capability_guard_update_required_for_S6	S5	S6 updates after implementation so capability smoke expects supported/product contract, not active unsupported_curve_criteria for legal G0/G1/G2
