id	axis	source_authority	freecad_semantic	existing_artifacts	c12m2_status	probe_question	initial_status	owner_step
C12M3-SRC-001	project_on_surface_execute_order	src/Mod/Part/App/FeatureProjectOnSurface.cpp::Part::ProjectOnSurface::execute(),tryExecute(); src/Mod/Part/App/FeatureProjectOnSurface.h::Part::ProjectOnSurface; support snippets: "tryExecute();", "Shape.setValue(createCompound(results))", "Placement.setValue(currentPlacement)"	FreeCAD execution order is support face, Projection LinkSubList shapes, Direction, createProjectedWire loop, filterShapes, createCompound, then restore Placement; this is geometry build authority only and does not by itself expose source-to-target mapper history.	docs/temp/6-29-20-40-c12m2-s5-project-on-surface-native-probe-output.json	c12m2_native_hidden_geometry_build_context	S4 must inspect result and intermediate history after the native execution path; output order or bbox is not accepted.	source_backed_geometry_coverage	S1
C12M3-SRC-002	project_on_surface_link_resolution_and_diagnostics	src/Mod/Part/App/FeatureProjectOnSurface.cpp::Part::ProjectOnSurface::getSupportFace(),getProjectionShapes(); src/Mod/Part/App/FeatureProjectOnSurface.h::SupportFace,Projection; support snippets: "SupportFace.getSubValues()", "Projection.getValues()", "Projection.getSubValues()", "Number of objects and sub-names differ"	SupportFace must resolve exactly one subshape; Projection pairs objects and subnames by index before the helper receives only TopoDS_Shape values. This is the source authority for source endpoint identity and invalid Projection diagnostics.	cad-core/fixtures/c5m9/expected/part-project-on-surface-invalid-provenance-diagnostics.freecad.json; docs/temp/6-29-20-40-c12m2-s5-project-on-surface-native-probe-output.json	source_backed_diagnostic_context_native_expected_missing	Can S4 expose stable native property/target/subname diagnostics rather than only collector-side diagnostic schema.	source_backed_known_gap	S1
C12M3-SRC-003	project_on_surface_filter_mode	src/Mod/Part/App/FeatureProjectOnSurface.cpp::Part::ProjectOnSurface::filterShapes(),getWires(); src/Mod/Part/App/FeatureProjectOnSurface.h::Mode,AllMode,FacesMode,EdgesMode; support snippets: "All", "Faces", "Edges", "it.ShapeType() == TopAbs_EDGE || it.ShapeType() == TopAbs_WIRE", "ShapeAnalysis::OuterWire(face)"	Mode filters projected results after projection: All keeps all non-null shapes, Faces keeps faces, Edges keeps edges/wires and converts face results to wires. This is geometry coverage and S4 context for which target elements can be probed.	cad-core/tests/test_p8_features.py::test_c4m1_part_project_on_surface_face_input_edges_mode_filters_to_wire	source_backed_geometry_coverage	Can S4 classify filter-only rows without mistaking filter output order for source provenance.	source_backed_geometry_coverage	S1
C12M3-SRC-004	project_on_surface_wire_projection	src/Mod/Part/App/FeatureProjectOnSurface.cpp::Part::ProjectOnSurface::createProjectedWire(),projectWire(); anonymous getProjectedWire(); support snippets: "BRepProj_Projection aProjection(wire, supportFace, dir)", "TopExp_Explorer xp(wireToTake, TopAbs_EDGE)", "shapes.push_back(TopoDS::Edge(xp.Current()))"	Wire and edge inputs are projected through BRepProj_Projection and expanded into result edges; FreeCAD does not attach source item or edge-fragment ownership in ProjectOnSurface itself.	cad-core/fixtures/c5m9/expected/part-project-on-surface-edge-provenance.freecad.json; cad-core/fixtures/c5m9/expected/part-project-on-surface-wire-split-provenance.freecad.json	source_backed_known_gap_current_context_native_expected_missing	Can native TopoShape history APIs show which result EdgeN came from which Projection LinkSubList item and wire fragment.	source_backed_known_gap	S1
C12M3-SRC-005	project_on_surface_face_rebuild	src/Mod/Part/App/FeatureProjectOnSurface.cpp::Part::ProjectOnSurface::createProjectedWire(),projectFace(),createFaceFromWire(),createFaceFromParametricWire(),createWiresFromWires(),getWires(); support snippets: "auto wires = projectFace(...)", "BRepBuilderAPI_MakeFace(surface, currentWire)", "the first wire", "the following wires are the inside wires"	Face inputs are projected as wires, converted to parametric wires on the support face, then rebuilt into a face with outer/inner wire ordering; FreeCAD geometry authority exists, but native per-wire face rebuild ownership remains hidden.	cad-core/fixtures/c5m9/expected/part-project-on-surface-face-rebuild-provenance.freecad.json	source_backed_known_gap_current_context_native_expected_missing	Can S4 expose source face/wire to rebuilt Face/Wire/Edge history without using face order, bbox, or fixture names.	source_backed_known_gap	S1
C12M3-SRC-006	project_on_surface_height_compound_offset	src/Mod/Part/App/FeatureProjectOnSurface.cpp::Part::ProjectOnSurface::createSolidIfHeight(),filterShapes(),createCompound(),getOffsetPlacement(); src/Mod/Part/App/FeatureProjectOnSurface.h::Height,Offset,Direction; support snippets: "height < Precision::Confusion() || Mode.getValue() != 0L", "BRepPrimAPI_MakePrism extrude", "it.Moved(loc)", "Offset.getValue()"	Mode=All plus Height extrudes rebuilt faces before filter/compound; createCompound applies Offset by moving each child after filtering. This supports geometry coverage and identifies where compound child provenance would need history evidence.	cad-core/fixtures/c5m9/expected/part-project-on-surface-all-compound-provenance.freecad.json	source_backed_known_gap_current_context_native_expected_missing	Can S4 expose height-solid and compound-child provenance, including pre-offset child identity, as request-local history.	source_backed_known_gap	S1
C12M3-SRC-007	toposhape_py_history_api	src/Mod/Part/App/TopoShapePyImp.cpp::Part::TopoShapePy::getElementHistory(),mapShapes(),mapSubElement(); support snippets: "getTopoShapePtr()->getElementHistory(name, &original, &history)", "s.makeShapeWithElementMap(self.getShape(), mapper, mapper.shapes, op)", "getTopoShapePtr()->mapSubElement(getPyShapes(sh), op)"	TopoShapePy exposes the exact Python-callable history surface C12-M3 can probe: getElementHistory returns tag/original/history when ElementMap exists, mapShapes synthesizes maker history through makeShapeWithElementMap, and mapSubElement copies/maps subelements from input shapes.	docs/temp/6-29-20-40-c12m2-s5-project-on-surface-native-probe-output.json	c12m2_native_hidden_blocker	Can S4 call these APIs on ProjectOnSurface result or intermediate shapes and get non-None source-backed history.	source_backed_native_api_candidate	S1
C12M3-SRC-008	toposhape_map_subelement_and_child_maps	src/Mod/Part/App/TopoShapeExpansion.cpp::Part::TopoShape::copyElementMap(),mapSubElement(const TopoShape&),mapSubElement(const std::vector<TopoShape>&),mapCompoundSubElements(),createChildMap(); support snippets: "copyElementMap(other, op)", "shapeType(true) == TopAbs_COMPOUND", "setMappedChildElements(children)", "child.elementMap = topoShape.elementMap()"	TopoShape can propagate element maps by partner-shape checks, ancestry matching, and compound child maps; this is the FreeCAD source path C12-M3 must observe before treating compound child ownership as expected-ready.	cad-core/fixtures/c5m9/expected/part-project-on-surface-all-compound-provenance.freecad.json	source_backed_known_gap_current_context_native_expected_missing	Can S4 prove ProjectOnSurface result or intermediate shapes carry child ElementMap data through this path.	source_backed_known_gap	S1
C12M3-SRC-009	toposhape_make_shape_with_mapper_history	src/Mod/Part/App/TopoShapeExpansion.cpp::Part::TopoShape::makeShapeWithElementMap(),Part::MapperHistory::modified(),generated(); src/Mod/Part/App/TopoShapeMapper.cpp::Part::ShapeMapper::insert(); support snippets: "mapper.modified(otherElement)", "mapper.generated(otherElement)", "Prevent an element shape from being both generated and modified", "elementMap()->setElementName"	makeShapeWithElementMap consumes a Mapper and writes generated/modified names into ElementMap; MapperHistory wraps OCCT BRepTools_History / ReShape / ShapeFix history. This is the native mapper path C12-M3 needs, but ProjectOnSurface does not currently publish a mapper from BRepProj_Projection.	cad-core/include/cad_core/part/topo_shape_mapper.h; cad-core/fixtures/c5m9/expected/part-project-on-surface-*.freecad.json	c12m2_native_hidden_blocker	Can S4 find any native ProjectOnSurface path that supplies MapperHistory or ElementMap rows instead of only geometry.	source_backed_native_api_candidate	S1
C12M3-SRC-010	property_part_shape_elementmap_persistence	src/Mod/Part/App/PropertyTopoShape.cpp::Part::PropertyPartShape::setValue(const TopoShape&),beforeSave(),Save(),Restore(),RestoreDocFile(); support snippets: "res.mapSubElement(_Shape)", "reTagElementMap(tag, hasher)", "ElementMap=\"", "shape.resetElementMap(elementMap)"	PropertyPartShape preserves and retags ElementMap when setting Shape, writes ElementMap version/HasherIndex during save, and restores the saved ElementMap around BREP reload. This is document persistence evidence, not permission to make CAD Core depend on persistent native cache.	cad-core/fixtures/c5m9/expected/part-project-on-surface-face-rebuild-provenance.freecad.json; cad-core/fixtures/c5m9/expected/part-project-on-surface-all-compound-provenance.freecad.json	source_backed_property_context_product_boundary_guard	Can S4 use save/restore behavior as observability context while S2 keeps persistent ElementMap cache outside CAD Core product boundary.	source_backed_product_boundary_context	S1
C12M3-SRC-011	c12m2_native_hidden_probe_context	docs/temp/6-29-20-40-c12m2-s5-project-on-surface-native-probe-output.json plus FreeCAD authority src/Mod/Part/App/FeatureProjectOnSurface.cpp::tryExecute(),getProjectionShapes(),projectWire(),projectFace(); src/Mod/Part/App/TopoShapePyImp.cpp::getElementHistory(),mapShapes(),mapSubElement(); support fields: "conclusion": "native_hidden", "history_visible": false, "stable_expected": false, "element_history": "None"	C12-M2 proved request-local geometry can build under FreeCADCmd 1.2.0 / OCCT 7.8.1, but all queried element history came back None and current comparison was explicitly blocked.	docs/temp/6-29-20-40-c12m2-s5-project-on-surface-native-probe-output.json	c12m2_native_hidden_blocker	S4 must either break the hidden-history blocker with a richer native provenance artifact or retain native_hidden; S1 cannot upgrade this to backend gap.	c12m2_native_hidden_blocker	S1
C12M3-SRC-012	current_cadcore_project_on_surface_ledger	cad-core/src/part/part_project_on_surface.cpp::ProjectSubshape,ProjectedShapeEvidence,projectOnSurfaceMapperEvidenceJson(),namedShapeForProjectOnSurfaceProvenance(),executePartProjectOnSurface(); cad-core/include/cad_core/part/topo_shape_mapper.h::MapperHistoryEvent,projectOnSurfaceMapperHistoryEvent(); embedded FreeCAD authority cites FeatureProjectOnSurface.cpp::getProjectionShapes(),tryExecute(),projectWire(),projectFace(),createSolidIfHeight(),createCompound()	Current cad-core has a request-local projection item ledger and mapper history event schema with fields such as source_subname, projection_item_index, edge_fragment_index, face_wire_sources, height_solid_id, compound_child_index and reference_recovery_hook. This is current implementation context only.	cad-core/src/part/part_project_on_surface.cpp; cad-core/include/cad_core/part/topo_shape_mapper.h	source_backed_known_gap_current_context	If S4 produces native expected, S5 can compare against this ledger; without native expected this remains context and must not drive FreeCAD semantics.	current_cadcore_context_only	S1
C12M3-SRC-013	current_focused_tests_context	cad-core/tests/test_p8_features.py::test_c5m9_part_project_on_surface_edge_provenance_has_mapper_history(),test_c5m9_part_project_on_surface_wire_split_records_fragment_ownership(),test_c5m9_part_project_on_surface_face_rebuild_records_wire_ownership(),test_c5m9_part_project_on_surface_all_compound_records_solid_and_child_provenance(),test_c5m9_part_project_on_surface_invalid_provenance_diagnostics_are_locatable(); FreeCAD authority remains FeatureProjectOnSurface.cpp::getProjectionShapes(),projectWire(),projectFace(),createSolidIfHeight(),createCompound()	Focused tests assert current cad-core fields like projection_item_ledger, mapper_history, maker_stage, edge_fragment_index, face_wire_sources, compound_child_index, offset_applied and diagnostic property/target/subname. These tests show current coverage, not native expected readiness.	cad-core/tests/test_p8_features.py; cad-core/fixtures/c5m9/expected/part-project-on-surface-*.freecad.json	source_backed_known_gap_current_context	S5 can reuse these tests as comparison context only after S4 expected-ready evidence exists.	current_test_context_only	S1
C12M3-SRC-014	c5m9_expected_known_gap_context	cad-core/fixtures/c5m9/expected/part-project-on-surface-edge-provenance.freecad.json,wire-split-provenance.freecad.json,face-rebuild-provenance.freecad.json,all-compound-provenance.freecad.json,invalid-provenance-diagnostics.freecad.json; FreeCAD authority fields cite FeatureProjectOnSurface.cpp::getProjectionShapes(),projectWire(),projectFace(),createFaceFromParametricWire(),createSolidIfHeight(),filterShapes(),createCompound(),PropertyTopoShape.cpp::PropertyPartShape::setValue(); support fields: "known_gap", "delete_condition", "native_hidden"	C5-M9 expected files are intentionally source-backed known-gap or diagnostic boundaries. They require replacement only after a FreeCADCmd collector or dedicated probe exports native ProjectOnSurface MapperHistory/ElementMap expected fields in the same schema.	cad-core/fixtures/c5m9/expected/part-project-on-surface-*.freecad.json	source_backed_known_gap_current_context_native_expected_missing	S4 is the gate for replacing known_gap context with native expected; S1 only records authority and status.	source_backed_known_gap	S1
