scope_id	source_candidate	semantic_item	current_status	scope_reason	cad_core_landing	fixture_or_test_route	next_step
C12M1-SCOPE-001	C12M1-SRC-001	live capability baseline	baseline_frozen_s0	S0 froze HEAD 4446df0c87, in-scope dirty boundary, C11 queue-empty output and live capability showing only SubShapeBinder CopyOnChange remaining_gaps	cad-core/src/runtime/capability_contract.cpp	cad-core/cad-core capabilities	S0 closed; S1 may refresh source rows but must not select implementation content from history alone
C12M1-SCOPE-101	C12M1-SRC-101	SubShapeBinder CopyOnChange full temporary document cache	active_remaining_gap_oracle_blocked	S1 verified ShapeBinder.cpp temporary _tmp_binder, copyObject, recomputeFeature, _CopiedObjs and _CopiedLink source path plus capability/test assertions; S3 still owns retained-or-implementation decision because live capability publishes remaining_gaps	cad-core/src/part_design/feature_shape_binder.cpp	cad-core/tests/test_c8_shapebinder.py;cad-core/tests/test_adapters.py	S3 decide whether retained gap still lacks native copied-object oracle and product DTO approval
C12M1-SCOPE-102	C12M1-SRC-102	App Link CopyOnChange DTO as reference path	reference_only_not_subshapebinder_support	S1 verified LinkBaseExtension CopyOnChange dynamic properties, Document::copyObject dependency import path and link_transaction documentObjectUpdates tests; App::Link remains vocabulary reference, not SubShapeBinder copied-object parity	cad-core/src/app/copy_on_change.cpp;cad-core/src/app/link.cpp	cad-core/tests/test_adapters.py	S3/S4 keep as vocabulary reference unless SubShapeBinder evidence exists
C12M1-SCOPE-201	C12M1-SRC-201	Assembly representative solver fallback	representative_or_product_scope_candidate	S1 verified AssemblyObject::solve request-local makeMbdAssembly/fixGroundedParts/runPreDrag/setNewPlacements path plus representative_solver_adapter status available=false and full_solver non_goal assertions	cad-core/src/runtime/capability_contract.cpp;cad-core/src/assembly	cad-core/tests/test_adapters.py	S4 classify as no-code unless product approves a concrete request-local subset
C12M1-SCOPE-202	C12M1-SRC-201	Assembly subshape marker placement subset	covered_representative_subset_currently_no_gap	S1 verified handleOneSideOfJoint getGlobalPlacement/offsetPlc marker path and test_adapters subshape_marker_placement covered_representative_subset assertions; adjacent expansion still needs product expected	cad-core/src/assembly;cad-core/src/runtime/capability_contract.cpp	cad-core/tests/test_adapters.py	S4 identify whether any adjacent subset qualifies for next package
C12M1-SCOPE-301	C12M1-SRC-301	Part Sweep located profile/advanced combined historical blockers	historical_narrowed_or_non_parity	S1 verified Sweep::execute native Sections/Spine/subvalue DocumentObject path and test_adapters narrowed_gaps for located/advanced wrapper blockers; C11-M1 remains no-code unless stable native oracle appears	cad-core/src/part/part_sweep.cpp	cad-core/tests/test_adapters.py;docs/CADCore11.0/C11-M1-PartSweepLocationOverloadNativeParity复开批次	S5 keep retained unless new stable native oracle exists
C12M1-SCOPE-302	C12M1-SRC-302	Part Filling native helper blockers	historical_narrowed_or_non_parity	S1 verified makeFilledFace helper declaration/delegation and direct BRepOffsetAPI_MakeFilling wrapper lifecycle; test_adapters keeps helper blockers in narrowed_gaps with remaining_gaps empty	cad-core/src/part/part_filling.cpp	cad-core/tests/test_adapters.py;docs/CADCore11.0/C11-M2-PartWorkbenchFillingNativeHelperParity复开批次	S5 keep retained unless new stable native oracle exists
C12M1-SCOPE-303	C12M1-SRC-303	GeomPlate native-hidden and wrapper-lifecycle evidence	historical_narrowed_or_non_parity	S1 verified BuildPlateSurfacePy wrapper lifecycle and Tools::makeSurface GeomPlate_BuildPlateSurface constraint path; capability/test rows retain native-hidden and wrapper-lifecycle evidence with remaining_gaps empty	cad-core/src/part/part_geomplate.cpp	cad-core/tests/test_adapters.py	S5 classify as probe-only or future package candidate
C12M1-SCOPE-304	C12M1-SRC-301	Loft selected subelement assignment native hidden	historical_narrowed_or_non_parity	S1 verified Loft::execute native Sections object-link path and capability/test rows for part_loft_subelement_assignment_native_hidden; remaining_gaps stays empty	cad-core/src/part/part_loft.cpp	cad-core/tests/test_adapters.py	S5 classify as native-hidden retained unless expected/current mismatch exists
C12M1-SCOPE-305	C12M1-SRC-304	ProjectOnSurface mapper history native hidden	historical_narrowed_or_non_parity	S1 verified ProjectOnSurface::execute/tryExecute support-face, projection LinkSubList, filter and compound source path plus native_project_on_surface_mapper_history_hidden_until_probe test coverage; not active remaining gap	cad-core/src/part/part_project_on_surface.cpp	cad-core/tests/test_adapters.py	S5 decide whether this is only oracle-probe follow-up
C12M1-SCOPE-401	C12M1-SRC-001	next implementation package selection	pending_s6	S6 must choose exactly one implementation package only if a candidate meets evidence rules	docs/CADCore12.0	goal-step-runner queue;matrix validation	S6 publish code authorization or no-code backlog gate
