id	field_group	field	canonical_schema	freecad_authority	cad_core_landing	oracle_collectability	expected_schema	diagnostic_contract	known_gap_delete_condition	next_owner
C5M10-FLD-100	native_boundary	Part::Sweep direct properties	Sections;Spine;Solid;Frenet;Linearize;Transition only	PartFeatures.cpp::Sweep::Sweep adds Sections/Spine/Solid/Frenet/Transition/Linearize; Sweep::execute calls makeElementPipeShell with isSolid/isFrenet/transMode and optional linearize	cad-core/src/part/part_sweep.cpp keeps base executor and source_backed_part_sweep_document_object_only	C5M10-ORC-001 existing native Part::Sweep expected-backed fixtures	object_fields include spine;sections;solid;frenet;transition;linearize;topo_naming_history=maker_history:pipeshell	Advanced fields must not be claimed as upstream native Part::Sweep properties; overclaim stays C5M10-NG-002/C5-NG-013	n/a	C5-M10-S1
C5M10-FLD-101	auxiliary	AuxiliarySpine	Objects[].Properties.AuxiliarySpine as App::PropertyLinkSub wire target; optional wrapper TypeOfContact remains default NoContact unless S2 explicitly owns contact variants	BRepOffsetAPI_MakePipeShell.pyi::setAuxiliarySpine(wire, CurvilinearEquivalence, TypeOfContact); PyImp calls SetMode(TopoDS::Wire(s), Base::asBoolean(curv), typeOfContact); FeaturePipe.cpp Mode=Auxiliary calls SetMode(TopoDS::Wire(auxshape), AuxiliaryCurvilinear.getValue())	cad-core/src/part/part_sweep.cpp parses link; cad-core/include/cad_core/part/topo_shape_expansion.h PipeShellOptions.auxiliarySpine; topo_shape_expansion.cpp configurePipeShellMode	FreeCADCmd wrapper expected can batch collect through a new request-local Part.BRepOffsetAPI_MakePipeShell helper; current collect_freecad_expected.py has no wrapper branch, so initial S2 may be source-backed	object_fields.advanced.auxiliary_spine={target,subname,curvilinear,contact}; shape_summary; topo_naming_history=maker_history:pipeshell	missing_link_target or invalid_subshape with property=AuxiliarySpine, target=linked object, subname=first requested subname; unsupported_property only while field remains deferred	Delete source-backed known_gap when collect_freecad_expected.py has a PartSweepAdvancedPipeShell wrapper helper and FreeCADCmd returns stable AuxiliarySpine shape_summary/object_fields	C5-M10-S2
C5M10-FLD-102	auxiliary	AuxiliaryCurvilinear	Objects[].Properties.AuxiliaryCurvilinear as bool; default true for PartDesign parity	BRepOffsetAPI_MakePipeShell.pyi names CurvilinearEquivalence; FeaturePipe.cpp property AuxiliaryCurvilinear defaults true and setupAlgorithm passes AuxiliaryCurvilinear.getValue()	cad-core/src/part/part_sweep.cpp reads bool; PipeShellOptions.auxiliaryCurvilinear already exists	Collected with AuxiliarySpine wrapper batch; no standalone geometry expected without AuxiliarySpine	object_fields.advanced.auxiliary_spine.curvilinear boolean	invalid_parameter with property=AuxiliaryCurvilinear, target=current object, subname=AuxiliaryCurvilinear for non-bool payload	Delete known_gap with C5M10-FLD-101 collector support	C5-M10-S2
C5M10-FLD-103	support	SpineSupport	Objects[].Properties.SpineSupport as App::PropertyLinkSub support face/surface; SupportMode=SurfaceNormal enables wrapper setSpineSupport	BRepOffsetAPI_MakePipeShell.pyi::setSpineSupport(shape) says support defines BiNormal like surface normal; PyImp calls SetMode(s) and returns bool	cad-core/src/part/part_sweep.cpp target resolution; PipeShellOptions needs support shape field and topo_shape_expansion.cpp SetMode(s) branch	FreeCADCmd wrapper expected can batch collect support_set_mode_ok and shape when support representation is valid; otherwise source-backed known_gap	object_fields.advanced.spine_support={target,subname,set_mode_ok}; shape_summary when build is stable	missing_link_target or invalid_subshape with property=SpineSupport; if SetMode returns false keep diagnostic property=SpineSupport target/subname from support	Delete known_gap when wrapper collector proves SetMode(s)=true and stable geometry for representative support fixture	C5-M10-S2
C5M10-FLD-104	support	SupportMode	Objects[].Properties.SupportMode enum None|SurfaceNormal; wrapper has no native enum but DTO uses it to avoid accidental support activation	BRepOffsetAPI_MakePipeShellPyImp.cpp exposes setSpineSupport(shape) as explicit method; native Part::Sweep has no SupportMode property	cad-core/src/part/part_sweep.cpp enum parser; S2 maps SurfaceNormal to SpineSupport SetMode(s) and keeps None as no-op	Collected as metadata in the SpineSupport wrapper batch; no separate native Part::Sweep oracle	object_fields.advanced.support_mode string	invalid_parameter with property=SupportMode, target=current object, subname=SupportMode for unknown enum; missing SpineSupport when SurfaceNormal is selected gives missing_link_target on SpineSupport	Delete known_gap with C5M10-FLD-103 collector support	C5-M10-S2
C5M10-FLD-105	mode	Binormal	Objects[].Properties.Binormal vector [x,y,z]; BiNormal is legacy deferred alias only, not canonical API	BRepOffsetAPI_MakePipeShell.pyi::setBiNormalMode(direction); PyImp converts vector to gp_Dir and calls SetMode(d); FeaturePipe.cpp Mode=Binormal calls SetMode(gp_Dir(bVec.x,bVec.y,bVec.z))	cad-core/src/part/part_sweep.cpp parses canonical Binormal and legacy BiNormal; PipeShellOptions.binormal already exists; configurePipeShellMode already calls SetMode(gp_Dir(...))	FreeCADCmd wrapper expected can batch collect valid vector shape; invalid zero/nonfinite vector is diagnostic-backed	object_fields.advanced.binormal=[x,y,z]; shape_summary; topo_naming_history=maker_history:pipeshell	invalid_parameter with property=Binormal, target=current object, subname=Binormal for zero/nonfinite/malformed vector; legacy BiNormal diagnostic must name BiNormal if that alias is supplied	Delete source-backed known_gap when wrapper collector returns stable Binormal expected for valid vector and focused diagnostics cover invalid vectors	C5-M10-S2
C5M10-FLD-106	profile_location	SectionOptions[].Location	Objects[].Properties.SectionOptions[].Location as App::PropertyLinkSub vertex target matched by Sections order	BRepOffsetAPI_MakePipeShell.pyi::add(Profile, Location, WithContact, WithCorrection); PyImp overload requires TopoShapeVertexPy and calls Add(s, v, withContact, withCorrection)	cad-core/src/part/part_sweep.cpp section option parser; topo_shape_expansion.cpp needs per-profile Add(profile, vertex, withContact, withCorrection) overload	FreeCADCmd wrapper expected can batch collect located profile with same request-local helper	object_fields.advanced.sections[].location={target,subname}; object_fields.advanced.sections[].profile from Sections order; shape_summary	missing_link_target or invalid_subshape with property=SectionOptions[i].Location, target=linked object, subname=requested vertex; malformed array gives invalid_parameter property=SectionOptions	Delete known_gap when wrapper collector supports located-profile expected and S3 fixture has stable shape_summary/object_fields	C5-M10-S3
C5M10-FLD-107	profile_location	SectionOptions[].WithContact	Objects[].Properties.SectionOptions[].WithContact bool matched by Sections order	BRepOffsetAPI_MakePipeShell.pyi says If WithContact is true, section is translated to contact with spine; PyImp passes Base::asBoolean(withContact) to Add	cad-core/src/part/part_sweep.cpp section option parser; topo_shape_expansion.cpp Add overload with withContact	Collected with located-profile and no-location profile wrapper batches	object_fields.advanced.sections[].with_contact boolean	invalid_parameter with property=SectionOptions[i].WithContact, target=current object, subname=WithContact for non-bool payload	Delete known_gap with C5M10-FLD-106 collector support	C5-M10-S3
C5M10-FLD-108	profile_location	SectionOptions[].WithCorrection	Objects[].Properties.SectionOptions[].WithCorrection bool matched by Sections order	BRepOffsetAPI_MakePipeShell.pyi says WithCorrection rotates section orthogonal to spine tangent; PyImp passes Base::asBoolean(withCorrection) to Add	cad-core/src/part/part_sweep.cpp section option parser; topo_shape_expansion.cpp Add overload with withCorrection	Collected with located-profile and no-location profile wrapper batches	object_fields.advanced.sections[].with_correction boolean	invalid_parameter with property=SectionOptions[i].WithCorrection, target=current object, subname=WithCorrection for non-bool payload	Delete known_gap with C5M10-FLD-106 collector support	C5-M10-S3
C5M10-FLD-109	tolerance	Tolerance.tol3d	Objects[].Properties.Tolerance.tol3d numeric finite 3D tolerance; old scalar Tolerance remains S0 deferred compatibility only	BRepOffsetAPI_MakePipeShell.pyi::setTolerance(tol3d, boundTol, tolAngular); PyImp parses three doubles and calls SetTolerance(tol3d, boundTol, tolAngular); FeaturePipe.cpp uses Precision::Confusion default	cad-core/src/part/part_sweep.cpp tolerance object parser; PipeShellOptions needs tolerance triple; topo_shape_expansion.cpp calls SetTolerance(tol3d,boundTol,tolAngular)	FreeCADCmd wrapper expected can batch collect metadata plus shape; geometry may be unchanged, so expected must record tolerance fields, not infer from cad-core output	object_fields.advanced.tolerance.tol3d number; shape_summary; topo_naming_history=maker_history:pipeshell	invalid_parameter with property=Tolerance.tol3d, target=current object, subname=tol3d for missing/non-numeric/nonfinite payload; do not add positivity clamp without FreeCAD/OCCT evidence	Delete known_gap when wrapper collector records tolerance triple and stable fixture expected; invalid payload diagnostics are focused-test backed	C5-M10-S3
