candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
CYL-CAND-001	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.h	Assembly::JointType	joint_type_enum	JointType enum includes Fixed, Revolute, Cylindrical, Slider, Ball, Distance, Parallel, Perpendicular, Angle, RackPinion, Screw, Gears, Belt	cad-core/src/assembly/joint_solver.cpp	CYL-SCOPE-002	S1 verify enum order against JointObject.py
CYL-CAND-002	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/JointObject.py	JointTypes	joint_property_strings	JointTypes includes Cylindrical and JointUsingReverse/Limit/PreSolve list Cylindrical where applicable	cad-core/src/assembly/joint_group.cpp;cad-core/src/assembly/joint_solver.cpp	CYL-SCOPE-002;CYL-SCOPE-005	S1 keep properties input-only and limits out of minimal support
CYL-CAND-003	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointOfType	cylindrical_mbd_mapping	case JointType::Cylindrical returns CREATE<ASMTCylindricalJoint>::With()	cad-core/src/assembly/joint_solver.cpp	CYL-SCOPE-002	S4 verify ASMTCylindricalJoint adapter conversion
CYL-CAND-004	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::solve	solver_order	fixGroundedParts, jointParts, mbdAssembly->runPreDrag, setNewPlacements	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_utils.cpp	CYL-SCOPE-003	S5 verify native expected and placement update order
CYL-CAND-005	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJoint	length_angle_limit_boundary	Slider or Cylindrical length limits and Revolute or Cylindrical angle limits are optional runtime limits	cad-core/src/assembly/joint_solver.cpp	CYL-SCOPE-005	keep as notCollected unless limit oracle is added
CYL-CAND-006	/home/user/Chili3DProject/FreeCAD/cad-core/src/assembly/joint_solver.cpp	makeOndselJointOfType	cad_core_adapter_mapping	cad-core maps Cylindrical to MbD::ASMTCylindricalJoint::With and supported predicate includes Cylindrical	cad-core/src/assembly/joint_solver.cpp	CYL-SCOPE-002	closed: build and focused test pass this mapping
CYL-CAND-007	/home/user/Chili3DProject/FreeCAD/cad-core/src/adapters/c_api/c_api.cpp	assembly capabilities	publication_surface	C ABI publishes supported_joint_matrix including Cylindrical and unsupported_joint_matrix excluding Cylindrical	cad-core/tests/test_adapters.py	CYL-SCOPE-004	closed: capability contract test passes
CYL-CAND-008	/home/user/Chili3DProject/FreeCAD/cad-core/fixtures/c3m6/assembly-grounded-cylindrical-joint-real-solver.json	c3m6 fixture	native_oracle_fixture	Request graph has GroundedJoint plus CylindricalJoint and recompute target Assembly	cad-core/tests/test_p8_features.py;cad-core/tests/test_expected_fixtures.py	CYL-SCOPE-003	S5 verify expected parity
CYL-CAND-009	/home/user/Chili3DProject/FreeCAD/cad-core/fixtures/c3m6/expected/assembly-grounded-cylindrical-joint-real-solver.freecad.json	FreeCADCmd expected	native_solver_expected	Expected records native_solver return_code 0, real_ondsel_solver mode and Cylindrical solver_joints	cad-core/tests/fixture_expected.py	CYL-SCOPE-003	S5 ensure not skipped and bbox/topology parity passes
CYL-CAND-010	/home/user/Chili3DProject/FreeCAD/cad-core/CMakeLists.txt	CAD_CORE_ONDSEL_SOLVER_DIR	build_gate	CMake hard-requires bundled OndselSolver CMakeLists and publishes CAD_CORE_HAS_ONDSEL_SOLVER=1	cad-core/build;src/3rdParty/OndselSolver	CYL-SCOPE-001	closed: submodule initialized and build verification passes
