candidate_id	source_file	freecad_symbol	semantic_axis	source_evidence	cad_core_landing	scope_hint	next_step
GBJ-CAND-001	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyUtils.h	Assembly::JointType	joint_type_enum	JointType enum order is RackPinion, Screw, Gears, Belt; this matches JointObject.py string order	cad-core/src/assembly/joint_solver.cpp	GBJ-SCOPE-002;GBJ-SCOPE-003	S2 route Gears and Belt separately from RackPinion and Screw
GBJ-CAND-002	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/JointObject.py	JointUsingDistance;JointUsingDistance2	joint_property_strings	JointUsingDistance includes RackPinion, Screw, Gears and Belt; JointUsingDistance2 only includes Gears and Belt; JointNoNegativeDistance is GUI/input-boundary evidence, not a solver blocker	cad-core/src/assembly/joint_group.cpp;cad-core/include/cad_core/assembly/joint_solver.h	GBJ-SCOPE-002;GBJ-SCOPE-003	S2 keep GUI lower-bound behavior out of solver support predicate
GBJ-CAND-003	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointOfType	gears_mbd_mapping	case JointType::Gears returns ASMTGearJoint with radiusI from Distance and radiusJ from Distance2	cad-core/src/assembly/joint_solver.cpp	GBJ-SCOPE-002	S3 closed; S4 native expected and S5 publication still required before supported claim
GBJ-CAND-004	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJointOfType	belt_mbd_mapping	case JointType::Belt returns ASMTGearJoint with radiusI from Distance and radiusJ from negative Distance2	cad-core/src/assembly/joint_solver.cpp	GBJ-SCOPE-003	S3 closed; S4 native expected must verify negative radiusJ before supported claim
GBJ-CAND-005	/home/user/Chili3DProject/FreeCAD/src/Mod/Assembly/App/AssemblyObject.cpp	AssemblyObject::makeMbdJoint	marker_binding	Only RackPinion branches to getRackPinionMarkers; Gears and Belt use handleOneSideOfJoint for Reference1/Placement1 and Reference2/Placement2	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_utils.cpp	GBJ-SCOPE-002;GBJ-SCOPE-003	S2/S3 verify existing reference and placement DTO remains sufficient
GBJ-CAND-006	/home/user/Chili3DProject/FreeCAD/src/3rdParty/OndselSolver/OndselSolver/ASMTGearJoint.h	MbD::ASMTGearJoint	ondsel_joint_fields	ASMTGearJoint exposes radiusI, radiusJ and aConstant fields	cad-core/src/assembly/joint_solver.cpp	GBJ-SCOPE-002;GBJ-SCOPE-003	S3 closed; radiusI/radiusJ are now used directly in cad-core ASMTGearJoint conversion
GBJ-CAND-007	/home/user/Chili3DProject/FreeCAD/cad-core/include/cad_core/assembly/joint_solver.h	JointConstraint	dto_gap	S3 adds distance2 next to distance/angle and records FreeCAD JointUsingDistance2 evidence	cad-core/include/cad_core/assembly/joint_solver.h	GBJ-SCOPE-002;GBJ-SCOPE-003	S3 closed; JointConstraint.distance2 has FreeCAD source comment
GBJ-CAND-008	/home/user/Chili3DProject/FreeCAD/cad-core/src/assembly/joint_solver.cpp	buildAssemblySolveRequest;makeOndselJointOfType	cad_core_adapter_gap	S3 reads Distance/Distance2 for Gears/Belt and converts both JointTypes to ASMTGearJoint with FreeCAD radius signs	cad-core/src/assembly/joint_solver.cpp	GBJ-SCOPE-002;GBJ-SCOPE-003	S3 closed; request builder reads Distance/Distance2 for Gears/Belt and ASMTGearJoint mapping is implemented
GBJ-CAND-009	/home/user/Chili3DProject/FreeCAD/cad-core/src/adapters/c_api/c_api.cpp	assembly capabilities	publication_surface	Current supported_joint_matrix omits Gears and Belt; unsupported_joint_matrix includes RackPinion, Screw, Gears and Belt	cad-core/tests/test_adapters.py	GBJ-SCOPE-005	S5 update supported and unsupported publication after implementation and expected pass
GBJ-CAND-010	/home/user/Chili3DProject/FreeCAD/cad-core/tests/test_p8_features.py	CadCoreP8FeatureTest	focused_tests_coverage	Current focused coverage has a separate Ball test and a grounded joint matrix for Revolute, Cylindrical, Slider, Distance, Parallel, Perpendicular and Angle, but no Gears or Belt	cad-core/fixtures/c3m6	GBJ-SCOPE-004	S4 add Gears and Belt fixture/assertions
GBJ-CAND-011	/home/user/Chili3DProject/FreeCAD/cad-core/fixtures/c3m6	c3m6 fixture route	native_expected_route	Need assembly-grounded-gears-joint-real-solver and assembly-grounded-belt-joint-real-solver plus checked-in expected	cad-core/tests/test_expected_fixtures.py	GBJ-SCOPE-004	S4 collect or verify FreeCADCmd expected
GBJ-CAND-012	/home/user/Chili3DProject/FreeCAD/docs/FreeCAD几何生态迁移工程-细分/P8-Assembly-Joint-Placement-OndselSolver收敛主线/矩阵/p8_assembly_solver_scope_review_matrix.tsv	P8ASM-SCOPE-007	upstream_matrix	P8ASM-SCOPE-007 currently keeps RackPinion, Screw, Gears and Belt diagnostic-only until source, DTO, fixture/oracle and focused tests exist	docs/FreeCAD几何生态迁移工程-细分/P8-Assembly-Joint-Placement-OndselSolver收敛主线	GBJ-SCOPE-005	S5 update upstream matrix after implementation
