id	step	status	priority	blocker	source_authority	cad_core_landing	oracle_or_diagnostic	validation	next_owner	exit_condition
C5-BLK-001	C5-S0	done_matrix_rebuilt	C5-P0	PartDesign 5.0 scope and source matrix frozen	docs/CADCore4.0/C4-M6-Freeze收口主线;src/Mod/PartDesign/App	docs/CADCore5.0-PartDesign-高价值剩余语义/矩阵	C5 source/scope/oracle/non-goal/blocker matrix audit	C5-VAL-001	done_C5-S0	all C5 source/scope/blocker rows are coherent; missing oracle IDs added; broad M3 rows split to package-local blockers
C5-BLK-101	C5-S1	done_c5m1_supported_diagnostic	C5-P0	Revolution/Groove advanced modes have oracle-backed or diagnostic-backed owner	src/Mod/PartDesign/App/FeatureRevolved.cpp;FeatureRevolution.cpp;FeatureGroove.cpp;FeatureSketchBased.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_revolved.*;feature_revolution.*;feature_groove.*	C5-ORC-101;C5-ORC-102;C5-ORC-103	C5-VAL-101	C5-M1	TwoAngles and Groove ThroughAll supported;UpTo/Profile/FuseOrder diagnostic-backed;remaining gaps concrete
C5-BLK-201	C5-S2	done_c5m2_supported_diagnostic	C5-P0	Boolean AllowCompound and multi-body ownership not implemented	src/Mod/PartDesign/App/FeatureBoolean.cpp;Body.cpp;Feature.cpp	cad-core/src/part_design/feature_boolean.*;body.*	C5-ORC-201;C5-ORC-202;C5-ORC-203	C5-VAL-201	done_C5-S2	Boolean ownership pressure supported or diagnostic-backed;Compound/Section remains C5-NG-005
C5-BLK-301	C5-S3	done_c5m3_expected_diagnostic_split	C5-P1	Loft/Pipe advanced branches remain deferred	src/Mod/PartDesign/App/FeatureLoft.cpp;FeaturePipe.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_loft.*;feature_pipe.*;cad-core/src/part/topo_shape_expansion.cpp	C5-ORC-301;C5-ORC-302;C5-ORC-303	C5-VAL-301	done_C5-S3	Loft advanced rows split into known-gap native oracle plus diagnostics; Pipe Multisection/Right-corner/Frenet expected-backed; remaining Pipe orientation/scaling and full sewing history explicit
C5-BLK-401	C5-S4	done_c5m4_diagnostic_gate	C5-P2	Datum AttachmentSupport/MapMode is only deferred diagnostic	src/Mod/PartDesign/App/Datum*.cpp;src/Mod/Part/App/AttachExtension.cpp;Attacher.cpp;src/App/PropertyLinks.cpp	cad-core/src/part_design/datum_*;cad-core/src/app;cad-core/src/runtime	C5-ORC-401	C5-VAL-401	done_C5-S4	no selected map mode support published; AttachmentSupport/MapMode/offset/reverse/parameter/downstream diagnostics preserved
C5-BLK-501	C5-S5	done_c5m5_freeze	C5-P0	5.0 PartDesign docs/capabilities/fixtures/tests frozen	docs/CADCore5.0-PartDesign-高价值剩余语义;cad-core capabilities	cad-core/src/adapters/c_api/c_api.cpp;cad-core/tests;docs	C5 freeze summary;capability metadata reviewed	C5-VAL-501	done_C5-S5	M0-M4 queues empty;C5M5-FR rows closed;capabilities have concrete supported/deferred/non-goal boundaries and no broad PartDesign gap
C5-BLK-601	C5-M6	done_c5m6_capability_docs_closed	C5-P1	Part Workbench Loft/Sweep profile-postprocess live support needs package-level reconciliation	src/Mod/Part/App/PartFeatures.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part/part_loft.cpp;cad-core/src/part/part_sweep.cpp;docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M6-PartWorkbenchSurface-ProfilePostProcess第二批主线	C5-ORC-601;C5-ORC-602;C5-ORC-603	C5-VAL-601	done_C5-M6	S4 closed final capability/docs wording; Loft profile/linearize and Sweep multi-profile/linearize are expected-backed; Sweep advanced PipeShell field contract is handled by C5-M10 and the package queue is empty
C5-BLK-701	C5-M7	done_c5m7_capability_docs_closed	C5-P0	GeomPlate BuildPlateSurface helper second batch is scoped by same PartGeomPlateSurfaceDTO	src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp;CurveConstraintPyImp.cpp;PointConstraintPyImp.cpp;PlateSurfacePyImp.cpp;Tools.cpp	cad-core/include/cad_core/part/part_geomplate.h;cad-core/src/part/part_geomplate.cpp;docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M7-PartWorkbenchSurface-GeomPlateSurfaceHelper第二批主线	C5-ORC-701;C5-ORC-702;C5-ORC-703;C5-ORC-704	C5-VAL-701	done_C5-M7	Initial surface, 2D constraints, mixed constraints and point criteria are expected-backed; G1/ProjectedCurve2d native oracle blockers and curve/wrapper diagnostics are precise remaining boundaries; package queue is empty
C5-BLK-801	C5-M8	done_c5m8_capability_docs_closed	C5-P0	Filling helper second batch is closed without thin support/order-only scope and without modifying upstream FreeCAD source to repair oracle helpers	src/Mod/Part/App/AppPartPy.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/Part/App/BRepOffsetAPI_MakeFillingPyImp.cpp	cad-core/src/part/part_filling.cpp;cad-core/include/cad_core/part/topo_shape_expansion.h;cad-core/src/part/topo_shape_expansion.cpp;docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M8-PartWorkbenchFillingSupportOrderParam第二批主线	C5-ORC-801 verified by S0;C5M8-ORC-100 scope corrected;C5-ORC-802 done source-backed known_gap;C5-ORC-803 done source-backed known_gap;C5-ORC-804 done expected/source-backed;C5-ORC-805 done expected/diagnostic;S5 docs/capability closed	C5-VAL-801	done_C5-M8	S1-S4 have cad-core expected-backed/source-backed/diagnostic evidence, including compound optional expected-backed and direct wrapper unsupported_wrapper_lifecycle diagnostics; S5 capability/docs/root matrices are closed and package queue is empty
C5-BLK-901	C5-M9	done_c5m9_capability_docs_closed	C5-P0	ProjectOnSurface capability/docs/root matrix closeout is complete after S3 face/all compound provenance implementation	src/Mod/Part/App/FeatureProjectOnSurface.h;src/Mod/Part/App/FeatureProjectOnSurface.cpp;src/Mod/Part/App/TopoShapeMapper.cpp;src/Mod/Part/App/PropertyTopoShape.cpp	cad-core/src/part/part_project_on_surface.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_mapper.cpp;cad-core/include/cad_core/part/topo_shape_mapper.h;docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M9-PartWorkbenchProjectOnSurfaceProvenance第二批主线	C5-ORC-901;C5-ORC-902;C5-ORC-903	C5-VAL-901	done_C5-M9	Projected edge/wire/face/compound provenance has expected-backed or source-backed fixtures, focused mapper/history tests, capability metadata, and package queue empty; remaining gaps only GUI task panel and unverified advanced branches
