id	scope	freecad_authority	current_landing	status	owner_step	required_evidence	close_condition
C12M16-SCOPE-001	Live baseline and C12-M15 inheritance	C12-M15 S3/S4	docs/CADCore12.0/README.md	s0_closed_live_baseline_frozen	S0	HEAD=a4375f45a5, clean dirty boundary, C12-M15 queue header only, and user-authorized CONTRACT-009 implementation lane recorded	S0 closed: C12-M16 only reopens C12-M15 CONTRACT-009 split fragment implementation; next step is S1.
C12M16-SCOPE-101	FaceMaker pre-split fragment history	C12M16-SRC-001;C12M16-SRC-002	cad-core/src/sketcher/sketch_edge_identity.cpp	s1_reviewed_history_required	S1/S3	FreeCAD pre-split AddModified(edge, fragment) plus postBuild MapperHistory/MapperMaker chain recorded; current cad-core lacks equivalent durable fragment ledger	S3 closes when source edge -> current fragment evidence is consumed or blocker recorded.
C12M16-SCOPE-102	WireJoiner split ownership	C12M16-SRC-003	cad-core/src/sketcher/sketch_internal_result.cpp	s1_reviewed_first_subset_needed	S1/S3	EdgeInfo/sourceEdgeArray/sourceEdges and aHistory AddModified(intersectShape, newInfo.edge) reviewed; removedEdge mapping is not active in source	S3 closes when in-scope WireJoiner split cases publish fragment ledger or are explicitly deferred.
C12M16-SCOPE-103	InternalEdge/InternalFace alias propagation	C12M16-SRC-004	cad-core/src/runtime/recompute.cpp;cad-core/src/runtime/reference_resolution.cpp	s1_reviewed_alias_limited	S1/S4	getInternalElementMap only gives InternalVertex/InternalEdge shared-vertex SingleResult alias; InternalFace identity must come from FaceMaker/WireJoiner history	S4 closes when InternalEdgeN/InternalFaceN inherits fragment identity only through authoritative alias/history.
C12M16-SCOPE-104	Fragment token response contract	C12M16-SRC-101;C12M16-SRC-102;C12M16-SRC-103	cad-core/include/cad_core/sketcher/sketch_edge_identity.h;cad-core/src/runtime/recompute.cpp	s1_current_gap_confirmed	S2/S3/S4	edgeSegments/subshapes can carry identity fields, but raw ledger only publishes plain g<ID> -> EdgeN and has no source-to-many fragment entries	S4 closes when focused response tests pass with one ledger publishing g<ID>:splitN.
C12M16-SCOPE-105	Fragment reference resolution	C12M16-SRC-104	cad-core/src/runtime/reference_resolution.cpp	s1_current_gap_confirmed	S2/S3/S4	StableSubList/ReferenceShadow g<ID>:splitN currently depends on ShadowSub/ReferenceShadow; raw sketch source identity accepts only plain g<ID>	S4 closes when g<ID>:splitN resolves through fragment ledger and missing/ambiguous diagnostics are tested.
C12M16-SCOPE-106	Diagnostics and fallback	C12M16-SRC-104;C12M16-SRC-105	cad-core/src/runtime/reference_resolution.cpp;cad-core/tests/test_p5_sketch.py	s1_diagnostic_boundary_confirmed	S2/S3	Existing split/delete/ambiguous diagnostics found; missing-id fallback, count drift, deleted split token and unresolved fragment ownership need fragment-ledger red tests	S3 closes when implementation keeps diagnostics explicit and avoids order guessing.
C12M16-SCOPE-901	Out-of-scope frontend consumer sync	C12-M11/C12-M15	my-chili3d	active_non_goal_s0_reaffirmed	All	Frontend consumes backend tokens only; not implemented in FreeCAD repo	Closed as non-goal unless user switches to my-chili3d.
C12M16-SCOPE-902	Out-of-scope persistent session cache	CAD Core stateless boundary	cad-core runtime	active_non_goal_s0_reaffirmed	All	Fragment ledger request-local only	Closed as non-goal unless root architecture changes.
C12M16-SCOPE-903	Out-of-scope ordinary g<ID> raw edge identity	C12-M15 S3	cad-core/src/sketcher/sketch_edge_identity.cpp	active_non_goal_s0_reaffirmed	All	C12-M15 current-supported ordinary g<ID> raw edge ledger remains unchanged; C12-M16 only adds split fragment branch	Closed as non-goal unless a future ordinary raw edge regression is proven.
C12M16-SCOPE-904	Out-of-scope open wire mesh contract	C12-M11/C12-M15	cad-core/src/sketcher/sketch_internal_result.cpp	superseded_current_supported_2026_07_05	All	C12-M11 open wire mesh product decision was separate from split fragment identity; current cad-core supports raw EdgeN mesh/subshapes	Closed as non-goal for C12-M16; do not open an open-wire package unless new regression evidence appears.
