candidate_id	layer	file	symbol	semantic_axis	evidence	cad_core_landing	owner_step	next_action
C8M5-SRC-101	docs	docs/CADCore8.0/C8-M4-PartGeomPlateCurveConstraintCriteriaRequestLocal批量收口主线/README.md	C8-M4 current status	stage_regression_failure	C8-M4 S6 records two unrelated C8-M1 expected drift rows; S0 rerun at e93ddd8746 reproduces only those rows	docs/CADCore8.0/C8-M5-C8M1ExpectedFixtureRegressionRecovery阶段回归恢复主线	S0	frozen as live input
C8M5-SRC-102	fixture	cad-core/fixtures/c8m1/expected/shape-binder-subshape-binder-element-map-namedshape-body-replay.freecad.json	BodyBaseFeature	body_replay_expected	expected refreshed to remove collector-created BodyBaseFeature fields because current input fixture lacks BodyBaseFeature and Body.BaseFeature	cad-core/fixtures/c8m1/expected	S3	closed as approved_expected_refresh
C8M5-SRC-103	freecad	src/Mod/PartDesign/App/ShapeBinder.cpp	ShapeBinder::updatedShape()	shape_binder_source_authority	calls getFilteredReferences and buildShapeFromReferences before publishing shape	cad-core/src/part_design/feature_shape_binder.cpp	S3	verify ShapeBinder path does not own BodyBaseFeature synthesis
C8M5-SRC-104	freecad	src/Mod/PartDesign/App/Body.cpp	Body::onChanged(BaseFeature)	body_basefeature_source_authority	Body BaseFeature change creates PartDesign::FeatureBase and syncs BaseFeature chain	cad-core/src/part_design/body.cpp	S3	verify Body replay update path
C8M5-SRC-105	cad-core	cad-core/src/part_design/body.cpp	appendBodyBaseFeatureChainUpdates()	body_replay_current_implementation	creates PartDesign::FeatureBase documentObjectUpdates only when input Body has BaseFeature; S3 keeps this as correct request-local behavior	cad-core/src/part_design/body.cpp	S3	closed no C++ change
C8M5-SRC-106	test	cad-core/tests/test_c8_shapebinder.py	test_binder_element_map_namedshape_and_body_replay_stay_request_local	body_replay_focused_test	focused test now directly asserts no BodyBaseFeature no documentObjectUpdates and stable Body group tip	cad-core/tests/test_c8_shapebinder.py	S3	closed focused assertion aligned
C8M5-SRC-201	fixture	cad-core/fixtures/c8m1/expected/subshape-binder-setlinks-normalization-diagnostics.freecad.json	cycle_rejected_by_property_link	property_link_cycle_expected	expected fixture records setter-level cycle rejection and S2 fresh native collector repeats cycle_rejected_by_property_link; S4 current output now matches	cad-core/src/runtime/reference_lifecycle.cpp	S4	closed as code_fix_landed
C8M5-SRC-202	cad-core	cad-core/src/graph/recompute_plan.cpp	visitObject()	graph_cycle_current	generic graph cycle diagnostic remains cycle_dependency; SubShapeBinder Support self-link is blocked earlier by reference lifecycle	cad-core/src/graph/recompute_plan.cpp	S4	closed no generic graph policy change
C8M5-SRC-203	freecad	src/Mod/PartDesign/App/ShapeBinder.cpp	SubShapeBinder::setLinks()	property_link_cycle_source_authority	throws Cyclic reference to target when target is in in-list	cad-core/src/runtime/reference_lifecycle.cpp	S4	verify whether setter-level check is replayable
C8M5-SRC-204	test	cad-core/tests/test_c8_shapebinder.py	test assertions	diagnostic_assertion_aligned	focused test asserts cycle_rejected_by_property_link plus SubShapeBinderCycle Support target fields	cad-core/tests/test_c8_shapebinder.py	S4	closed focused assertion aligned
C8M5-SRC-205	test	cad-core/tests/test_diagnostics.py	CadCoreDiagnosticsTest	diagnostic_vocab_focused_test	generic graph cycle fixtures cycle-dependency and cycle-link-sub still expect cycle_dependency; c8m1 SubShapeBinder setLinks fixture expects cycle_rejected_by_property_link	cad-core/tests/test_diagnostics.py	S4	closed generic graph cycle remains distinct from SubShapeBinder setter policy
C8M5-SRC-206	cad-core	cad-core/src/runtime/reference_lifecycle.cpp	classifyReferenceLifecycle()	reference_lifecycle_current_implementation	reference lifecycle now blocks PartDesign::SubShapeBinder Support App::PropertyXLinkSubList self-link with cycle_rejected_by_property_link	cad-core/src/runtime/reference_lifecycle.cpp	S4	closed code_fix_landed
C8M5-SRC-301	test	cad-core/tests/test_expected_fixtures.py	CadCoreExpectedFixtureTest	fixture_gate	expected fixture gate reports drift across c8m1 expected files	cad-core/tests/fixture_expected.py	S2	collect focused diff and owner route
C8M5-SRC-401	capability	cad-core runtime capabilities	part_design.sub_shape_binder.remaining_gaps	non_goal_boundary	S0 confirms the only nonempty remaining_gaps path is copy_on_change_full_temporary_document_cache	cad-core/src/runtime/capability_contract.cpp	S0	keep out of C8-M5 implementation scope
