id	phase	kind	scope	status	priority	source_authority	cad_core_landing	oracle_or_diagnostic	validation	acceptance_boundary	next_owner
C51-SCOPE-000	C51-S0	process	C5 deferred scope reopen	done_c51s0_reopened	C51-P0	docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M5-Freeze收口主线/6-20-12-45-C5-M5-freeze收口总结.md;src/Mod/PartDesign/App;src/Mod/Part/App;src/App	docs/CADCore5.1-PartDesign-剩余deferred语义实现/矩阵	C51-ORC-000	C51-VAL-001;C51-VAL-002;C51-VAL-003	C5 deferred/non-goal except GUI Attachment editor/ViewProvider/TaskPanel converted to concrete C5.1 blockers;C51-BLK-000 closed	done_C51-S0
C51-SCOPE-101	C51-S1	feature-family	Revolution/Groove advanced parent	done_c51s1_supported_with_exact_groove_upto_blocker	C51-P0	src/Mod/PartDesign/App/FeatureRevolved.cpp;FeatureRevolution.cpp;FeatureGroove.cpp;FeatureSketchBased.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_revolved.cpp;cad-core/src/part_design/feature_revolution.cpp;cad-core/src/part_design/feature_groove.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-111;C51-ORC-112;C51-ORC-113;C51-ORC-114	C51-VAL-101	S1 broad deferred removed;Revolution UpTo/Profile/FuseOrder/Axis supported;Groove UpTo kept as exact native BRepFeat blocker	done_C51-S1
C51-SCOPE-111	C51-S1	semantic-batch	Revolution/Groove UpTo BRepFeat path	done_c51s1_supported_with_exact_groove_upto_blocker	C51-P0	src/Mod/PartDesign/App/FeatureRevolved.cpp::tryExecuteRevolved;src/Mod/PartDesign/App/FeatureSketchBased.cpp::getUpToFace/getUpToFaceFromLinkSub;src/Mod/Part/App/TopoShapeExpansion.cpp::TopoShape::makeElementRevolution	cad-core/src/part_design/feature_revolved.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/include/cad_core/part/topo_shape_expansion.h	C51-ORC-111	C51-VAL-111	Revolution UpToFirst/UpToLast/UpToFace pass native expected;Groove UpToFirst/UpToFace fixtures reproduce native FreeCAD BRepFeat failure exactly	done_C51-S1
C51-SCOPE-112	C51-S1	semantic-batch	Revolution/Groove profile subshape selection	done_c51s1_supported	C51-P0	src/Mod/PartDesign/App/FeatureRevolved.cpp::tryExecuteRevolved;src/Mod/PartDesign/App/FeatureSketchBased.cpp::getTopoShapeVerifiedFace/Profile;src/Mod/Sketcher/App/SketchObject.cpp	cad-core/src/part_design/feature_revolved.cpp;cad-core/src/part_design/profile_shape.cpp;cad-core/src/topo	C51-ORC-112	C51-VAL-112	Profile.SubList InternalFaceN uses checked internal shape evidence;unsupported profile regions stay exact diagnostics	done_C51-S1
C51-SCOPE-113	C51-S1	semantic-batch	Revolution FuseOrder FeatureFirst	done_c51s1_supported	C51-P0	src/Mod/PartDesign/App/FeatureRevolution.cpp::FuseOrderEnums;src/Mod/PartDesign/App/FeatureRevolution.cpp::makeShape;src/Mod/PartDesign/App/Body.cpp::Body::execute	cad-core/src/part_design/feature_revolution.cpp;cad-core/src/part_design/body.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-113	C51-VAL-113	FeatureFirst is represented in AddSubShape Body replay and expected/capability;adapter does not alter geometry	done_C51-S1
C51-SCOPE-114	C51-S1	semantic-batch	DatumLine/AppLine/custom sketch axis support for ReferenceAxis	done_c51s1_supported	C51-P0	src/Mod/PartDesign/App/FeatureSketchBased.cpp::getAxis;src/Mod/PartDesign/App/DatumLine.cpp;src/App/Datums.cpp	cad-core/src/part_design/feature_revolved.cpp;cad-core/src/part_design/datum_line.cpp;cad-core/src/runtime/feature_registry.cpp	C51-ORC-114	C51-VAL-114	PartDesign::Line z-axis, App::Line x-axis, and Sketch AxisN have native expected and focused tests	done_C51-S1
C51-SCOPE-201	C51-S2	feature-family	Boolean Compound/Section parent	done_c51s2_supported	C51-P0	src/Mod/PartDesign/App/FeatureBoolean.cpp;src/Mod/PartDesign/App/Body.cpp;src/Mod/PartDesign/App/Feature.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part_design/body.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_expansion.cpp	C51-ORC-211;C51-ORC-212;C51-ORC-213	C51-VAL-201	C5-NG-005 superseded by C5.1 product contract;Compound/Section supported or exact diagnostic-backed;Fuse/Cut/Common unchanged	done_C51-S2
C51-SCOPE-211	C51-S2	semantic-batch	Boolean Type=Compound product path	done_c51s2_supported	C51-P0	src/Mod/PartDesign/App/FeatureBoolean.cpp::Boolean::execute disabled Compound branch;src/Mod/Part/App/TopoShapeExpansion.cpp::TopoShape::makeElementBoolean Compound	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part/topo_shape.cpp	C51-ORC-211	C51-VAL-211	Compound product semantics cover Group order, output compound, ElementMap, AllowCompound=true Body Tip and AllowCompound=false exact diagnostic	done_C51-S2
C51-SCOPE-212	C51-S2	semantic-batch	Boolean Type=Section product path	done_c51s2_supported	C51-P0	src/Mod/PartDesign/App/FeatureBoolean.cpp::Boolean::execute disabled Section branch;src/Mod/Part/App/TopoShapeExpansion.cpp::TopoShape::makeElementBoolean Section/FCBRepAlgoAPI_Section	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part_design/body.cpp	C51-ORC-212	C51-VAL-212	Section standalone edge/wire output is supported;Body Tip replacement is rejected with exact partdesign_body_tip_non_solid diagnostic;no-intersection is no_intersection	done_C51-S2
C51-SCOPE-213	C51-S2	semantic-batch	Boolean Compound/Section Body ownership and diagnostics	done_c51s2_supported	C51-P0	src/Mod/PartDesign/App/FeatureBoolean.cpp::Boolean::execute;src/Mod/PartDesign/App/Feature.cpp::singleSolidRuleMode/getSolid;src/Mod/PartDesign/App/Body.cpp::AllowCompound	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part_design/body.cpp;cad-core/src/runtime;cad-core/src/adapters/c_api/c_api.cpp	C51-ORC-213	C51-VAL-213	Compound/Section preserve BaseFeature/Group/Tip/AllowCompound semantics and structured missing/null/non-solid/no-intersection diagnostics	done_C51-S2
