id	phase	fixture_family	status	source_authority	cad_core_landing	freecad_oracle_source	cad_core_fixture_target	expected_fields	validation	next_owner	notes
C51-ORC-000	C51-S0	scope baseline	done_scope_split	docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M5-Freeze收口主线/6-20-12-45-C5-M5-freeze收口总结.md	docs/CADCore5.1-PartDesign-剩余deferred语义实现/矩阵	queue/script audit	docs/CADCore5.1-PartDesign-剩余deferred语义实现/矩阵	C5 deferred rows;C5 non-goal reopen decision;new C51 child blockers;GUI-only remaining non-goal	C51-VAL-001;C51-VAL-002;C51-VAL-003	done_C51-S0	GUI Attachment editor/ViewProvider/TaskPanel remains non-goal;C51-BLK-000 closed
C51-ORC-111	C51-S1	Revolution/Groove UpTo BRepFeat	done_native_oracle_plus_exact_blocker	src/Mod/PartDesign/App/FeatureRevolved.cpp::tryExecuteRevolved/generateRevolution;src/Mod/PartDesign/App/FeatureSketchBased.cpp::getUpToFace/getUpToFaceFromLinkSub;src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementRevolution	cad-core/fixtures/c51m1	FreeCADCmd native expected plus checked diagnostic fixtures	cad-core/fixtures/c51m1/expected	Revolution UpToFirst;Revolution UpToLast;Revolution UpToFace LinkSub;target object/subname;BRepFeat maker_history:revolution;Groove UpToFirst/UpToFace exact FreeCAD BRepFeat failure diagnostics	C51-VAL-111	done_C51-S1	Expected files: partdesign-revolution-uptofirst-body, uptolast-body, uptoface-body; diagnostic fixtures: partdesign-groove-uptofirst-body, groove-uptoface-body
C51-ORC-112	C51-S1	Revolution/Groove Profile subshape	done_native_oracle	src/Mod/PartDesign/App/FeatureRevolved.cpp;src/Mod/PartDesign/App/FeatureSketchBased.cpp;src/Mod/Sketcher/App/SketchObject.cpp	cad-core/fixtures/c51m1	FreeCADCmd native collector with internal profile evidence	cad-core/fixtures/c51m1/expected	Profile.SubList InternalFaceN;source profile id;generated revolved faces;diagnostic for unsupported profile evidence	C51-VAL-112	done_C51-S1	Expected file: partdesign-revolution-internalface-profile;old c5m1 diagnostic fixture now asserts support
C51-ORC-113	C51-S1	Revolution FuseOrder FeatureFirst	done_native_oracle	src/Mod/PartDesign/App/FeatureRevolution.cpp::FuseOrderEnums/makeShape;src/Mod/PartDesign/App/Body.cpp::Body::execute	cad-core/fixtures/c51m1	FreeCADCmd native collector	cad-core/fixtures/c51m1/expected	FuseOrder=FeatureFirst;Body Tip replay;maker_history:fuse/revolve;capability metadata	C51-VAL-113	done_C51-S1	Expected file: partdesign-revolution-featurefirst-body;Body replay stores additiveFuseOrder
C51-ORC-114	C51-S1	ReferenceAxis DatumLine/AppLine/SketchAxisN	done_native_oracle	src/Mod/PartDesign/App/FeatureSketchBased.cpp::getAxis;src/Mod/PartDesign/App/DatumLine.cpp;src/App/Datums.cpp	cad-core/fixtures/c51m1	FreeCADCmd native collector plus focused tests	cad-core/fixtures/c51m1/expected	PartDesign::Line ReferenceAxis;App::Line ReferenceAxis;Sketch AxisN;axis base/direction;object/property/target diagnostics	C51-VAL-114	done_C51-S1	PartDesign::Line uses z base direction;App::Line uses x base direction per App::Datums.cpp::Line::Line()
C51-ORC-211	C51-S2	Boolean Compound product semantics	done_product_contract_expected	src/Mod/PartDesign/App/FeatureBoolean.cpp disabled Compound branch;src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementBoolean Compound;src/Mod/PartDesign/App/Body.cpp	cad-core/fixtures/c51m2	C5.1 product contract expected;native PartDesign UI does not expose this Type	cad-core/fixtures/c51m2/expected	Type=Compound;Group order;BaseFeature;AllowCompound true/false;Body Tip result;compound subshape map;part_compound:make_element_compound;unsupported source-difference note	C51-VAL-211	done_C51-S2	Expected file partdesign-boolean-compound-body-tip documents productization source;partdesign-boolean-compound-disallowed asserts exact AllowCompound diagnostic
C51-ORC-212	C51-S2	Boolean Section product semantics	done_product_contract_expected	src/Mod/PartDesign/App/FeatureBoolean.cpp disabled Section branch;src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementBoolean Section/FCBRepAlgoAPI_Section	cad-core/fixtures/c51m2	C5.1 product contract expected;Part Section/TopoShape maker is source authority	cad-core/fixtures/c51m2/expected	Type=Section;section edge/wire result;Group order;BaseFeature;Body Tip non-solid policy;ElementMap aliases;no_intersection diagnostic	C51-VAL-212	done_C51-S2	Expected file partdesign-boolean-section-standalone covers non-solid edge/wire result;Body Tip fixture asserts partdesign_body_tip_non_solid
C51-ORC-213	C51-S2	Boolean Compound/Section ownership diagnostics	done_fixture_contract	src/Mod/PartDesign/App/FeatureBoolean.cpp::Boolean::execute;src/Mod/PartDesign/App/Feature.cpp::singleSolidRuleMode/getSolid;src/Mod/PartDesign/App/Body.cpp::AllowCompound	cad-core/fixtures/c51m2	stable diagnostic fixtures plus existing c5m2 expected	cad-core/fixtures/c51m2/expected	Existing Fuse/Cut/Common unchanged;Compound/Section missing tool;null shape;non-solid;AllowCompound;Group order;object/property/stage/target diagnostics	C51-VAL-213	done_C51-S2	Existing c4m2/c5m2 unsupported Type fixtures now use unknown Type=Fragments;Section is no longer broad unsupported Type
C51-ORC-311	C51-S3	Loft profile/section ledger	done_active_parity	src/Mod/PartDesign/App/FeatureLoft.cpp::getSectionShape/Loft::execute	cad-core/fixtures/c51m3	FreeCADCmd native collector plus existing c5m3 oracle	cad-core/fixtures/c51m3/expected	Profile full sketch vs subelement;Sections XLinkSubList;wire count equality;multi-wire ordering;vertex sections;explicit subelement selection;diagnostic for mismatch	C51-VAL-311	done_C51-S3	Existing c5m3 known-gap fixtures are active parity inputs and mirrored into c51m3
C51-ORC-312	C51-S3	Loft Closed multi-section parity	done_active_parity	src/Mod/PartDesign/App/FeatureLoft.cpp::Loft::execute;src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementLoft	cad-core/fixtures/c51m3	FreeCADCmd native collector plus existing c5m3 oracle	cad-core/fixtures/c51m3/expected	Closed=true with 3+ profiles;Closed ignored when invalid;BRepOffsetAPI_ThruSections compatibility;solid/shell counts;bbox/volume;Body AddSubShape	C51-VAL-312	done_C51-S3	Known-gap removed;closed Loft passes native bbox/volume/topology parity in c5m3/c51m3
