id	phase	kind	scope	status	priority	source_authority	cad_core_landing	oracle_or_diagnostic	validation	acceptance_boundary	next_owner
C5-SCOPE-000	C5-M0	process	5.0 PartDesign package baseline	done_matrix_rebuilt	C5-P0	docs/CADCore4.0/C4-M6-Freeze收口主线/6-20-05-24-【已实现】C4-M6-freeze收口总结.md;docs/CADCore4.0/矩阵/cadcore4_fixture_oracle_matrix.tsv;docs/CADCore4.0/矩阵/cadcore4_non_goal_registry.tsv	docs/CADCore5.0-PartDesign-高价值剩余语义/矩阵;docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M*/矩阵	queue script output;docs diff check;package-local matrix audit	C5-VAL-001	each executable topic package has root entry, local matrix, pending step docs and no unresolved broad C5-M0 blocker	done_C5-S0
C5-SCOPE-101	C5-M1	feature-family	Revolution / Groove parameter completion	done_c5m1_supported_diagnostic	C5-P0	src/Mod/PartDesign/App/FeatureRevolution.cpp;FeatureGroove.cpp;FeatureRevolved.cpp;FeatureSketchBased.cpp;Body.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_revolution.*;feature_groove.*;feature_revolved.*;cad-core/src/part/topo_shape_expansion.cpp	C5-ORC-101 TwoAngles expected-backed;C5-ORC-102 Groove ThroughAll expected-backed and UpTo diagnostic-backed;C5-ORC-103 Profile/FuseOrder diagnostic-backed	C5-VAL-101	TwoAngles and Groove ThroughAll are supported;UpTo/Profile subshape/FuseOrder are locatable diagnostics;Angle first slice stays supported	C5-M1
C5-SCOPE-201	C5-M2	feature-family	Boolean / Body ownership	done_c5m2_supported_diagnostic	C5-P0	src/Mod/PartDesign/App/FeatureBoolean.cpp;Body.cpp;Feature.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;TopoShape.cpp	cad-core/src/part_design/feature_boolean.*;body.*;cad-core/src/part/topo_shape*	C5-ORC-201 expected-backed AllowCompound=true and diagnostic AllowCompound=false;C5-ORC-202 expected-backed multi-tool ownership and missing/non-solid tool diagnostics;C5-ORC-203 unsupported Type diagnostics	C5-VAL-201	Boolean multi-solid policy and ownership pressure are expected-backed or diagnostic-backed;LinkStage3-only Compound/Section stays C5-NG-005 non-goal unless scope reopens	done_C5-S2
C5-SCOPE-301	C5-M3	feature-family	Loft / Pipe advanced branches	done_c5m3_pipe_expected_loft_diagnostic	C5-P1	src/Mod/PartDesign/App/FeatureLoft.cpp;FeaturePipe.cpp;Body.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_loft.*;feature_pipe.*;cad-core/src/part/topo_shape_expansion.cpp	C5-ORC-301 Loft Closed/multi-wire known-gap native oracle plus stable diagnostics;C5-ORC-302 Pipe Multisection and Right-corner/Frenet expected-backed plus Auxiliary/Binormal/scaling diagnostics;C5-ORC-303 full sewing MapperHistory deferred owner	C5-VAL-301	Loft/Pipe advanced rows are split by FreeCAD call-chain; Part Workbench capability and Hole PipeShell are not counted as PartDesign support	done_C5-S3
C5-SCOPE-401	C5-M4	lifecycle	Datum Attachment / map-mode solver boundary	done_c5m4_diagnostic_gate	C5-P2	src/Mod/PartDesign/App/Datum*.cpp;src/Mod/Part/App/AttachExtension.cpp;Attacher.cpp;Attacher.h;src/App/PropertyLinks.cpp	cad-core/src/part_design/datum_*;cad-core/src/app;cad-core/src/runtime	C5-ORC-401 diagnostic-backed AttachmentSupport/MapMode/offset/reverse/parameter plus attached-Datum dependency skip	C5-VAL-401	no selected map mode support is product-published; active AttachmentSupport/MapMode remains locatable diagnostics and downstream attached Datum references skip without writeback	done_C5-S4
C5-SCOPE-501	C5-M5	process	5.0 PartDesign freeze	done_c5m5_freeze	C5-P0	docs/CADCore5.0-PartDesign-高价值剩余语义;cad-core capabilities;cad-core fixtures	docs/CADCore5.0-PartDesign-高价值剩余语义;cad-core/tests;cad-core/src/adapters/c_api/c_api.cpp	closed C5 blockers;capability metadata reviewed;freeze summary	C5-VAL-501	capabilities/docs/expected/tests synced; remaining boundaries concrete and no broad PartDesign gap	done_C5-S5
C5-SCOPE-601	C5-M6	feature-family	Part Workbench Surface Profile / PostProcess 第二批	done_c5m6_capability_docs_closed	C5-P1	src/Mod/Part/App/PartFeatures.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part/part_loft.cpp;cad-core/src/part/part_sweep.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-601 Loft profile/linearize S1 verified;C5-ORC-602 Sweep multi-profile/linearize S2 verified;C5-ORC-603 advanced contracts routed out of the C5-M6 support claim	C5-VAL-601	S4 finalized capability/docs closure: Loft and Sweep published only expected-backed slices; Loft complex_profile_family broad gap is later closed by C5-M12, while advanced PipeShell field contract is closed by C5-M10/C5-M11/C5-M12	done_C5-M6
C5-SCOPE-701	C5-M7	feature-family	Part Workbench GeomPlateSurface Helper 第二批	done_c5m7_capability_docs_closed	C5-P0	src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp;src/Mod/Part/App/GeomPlate/CurveConstraintPyImp.cpp;src/Mod/Part/App/GeomPlate/PointConstraintPyImp.cpp;src/Mod/Part/App/PlateSurfacePyImp.cpp;src/Mod/Part/App/Tools.cpp	cad-core/include/cad_core/part/part_geomplate.h;cad-core/src/part/part_geomplate.cpp;cad-core/tools/collect_freecad_expected.py;cad-core/tests/test_p8_features.py;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-701 live guard;C5-ORC-702 initial/G1 expected/blocker;C5-ORC-703 2D constraints done with projected known_gap;C5-ORC-704 point criteria expected plus curve/wrapper diagnostics	C5-VAL-701	Same BuildPlateSurface helper and PartGeomPlateSurfaceDTO batch publishes expected-backed default/approx/initial/2D/mixed/point-criteria support, source-backed known_gap G1/ProjectedCurve2d, diagnostic-backed curve criteria/wrapper lifecycle, and explicit GUI/native/Filling/full-surface non-goals	done_C5-M7
C5-SCOPE-801	C5-M8	feature-family	Part Workbench Filling Support / Order / Param 第二批	done_c5m8_capability_docs_closed	C5-P0	src/Mod/Part/App/AppPartPy.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/Part/App/BRepOffsetAPI_MakeFillingPyImp.cpp	cad-core/src/part/part_filling.cpp;cad-core/include/cad_core/part/topo_shape_expansion.h;cad-core/src/part/topo_shape_expansion.cpp;cad-core/tools/collect_freecad_expected.py;cad-core/tests/test_p8_features.py;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-801 live guard frozen;C5M8-ORC-100 scope corrected;C5-ORC-802 surface/support/order source-backed known_gap;C5-ORC-803 non-default params source-backed known_gap;C5-ORC-804 non-boundary constraints source-backed/expected-backed;C5-ORC-805 compound/wrapper boundary done;S5 capability/docs closed	C5-VAL-801	One minimal semantic batch under Part.makeFilledFace helper: S1 closed Surface/Supports/Orders in cad-core with source evidence, known_gap expected and locatable diagnostics; S2 closed constructor params metadata with known_gap native helper expected plus locatable invalid_parameter diagnostics; S3 closed non-boundary wire/edge/face/vertex constraints with expected-backed no-kwargs cases, source-backed edge support/order known_gap and locatable diagnostics; S4 closed compound optional expected-backed and direct wrapper diagnostic-backed unsupported_wrapper_lifecycle; S5 closed capability/docs/root matrices and package queue is empty	done_C5-M8
C5-SCOPE-901	C5-M9	feature-family	Part Workbench ProjectOnSurface provenance 第二批	done_c5m9_capability_docs_closed	C5-P0	src/Mod/Part/App/FeatureProjectOnSurface.h;src/Mod/Part/App/FeatureProjectOnSurface.cpp;src/Mod/Part/App/TopoShapeMapper.cpp;src/Mod/Part/App/PropertyTopoShape.cpp	cad-core/src/part/part_project_on_surface.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_mapper.cpp;cad-core/include/cad_core/part/topo_shape_mapper.h;cad-core/tools/collect_freecad_expected.py;cad-core/tests/test_p8_features.py;cad-core/src/adapters/c_api/c_api.cpp	C5-ORC-901 live guard;C5-ORC-902 projected edge/wire provenance done;C5-ORC-903 face/all compound provenance done;S4 capability/docs/root matrices closed	C5-VAL-901	Existing geometry slice stays supported; S2/S3 promote projected edge/wire/face/all provenance and mapper/history evidence; S4 closes the broad provenance gap, leaves native mapper/history hidden-until-probe as source-backed boundary, and keeps GUI/full-family overclaim out of scope	done_C5-M9
