scope_id	source_candidate	semantic_item	current_status	scope_reason	cad_core_landing	fixture_or_test_route	next_step
P8ASM-SCOPE-001	P8ASM-CAND-012;P8ASM-CAND-014;P8ASM-CAND-016	live docs and capability publication	supported	S6 verdict: formal P8 docs, C ABI capabilities and focused tests now use real-only publication; no stale `solve=not_migrated` wording remains for the verified subset	docs/CADCore方案/细化方案/11-P8-Part导入导出与Assembly后续.md;cad-core/src/adapters/c_api/c_api.cpp;cad-core/src/assembly/assembly_object.cpp	test_adapters capabilities;test_p8_features Assembly solver smoke;rg publication drift	closed; keep future edits real-only
P8ASM-SCOPE-002	P8ASM-CAND-007;P8ASM-CAND-008;P8ASM-CAND-009;P8ASM-CAND-015;P8ASM-CAND-017;P8ASM-CAND-018	JointGroup and Joint DTO extraction	supported	S6 verdict: Joint and GroundedJoint DTOs feed the request-local solver request and stateless placement writeback only; documentObjectUpdates are Placement update suggestions, not full FreeCAD Joint lifecycle	cad-core/src/assembly/joint_group.cpp;cad-core/src/assembly/assembly_utils.cpp;cad-core/include/cad_core/assembly/joint_solver.h	test_p8_features assembly input, hidden XLinkSub, grounded_input and writeback next-request checks	closed; keep DTO publication input-only
P8ASM-SCOPE-003	P8ASM-CAND-001;P8ASM-CAND-004;P8ASM-CAND-009;P8ASM-CAND-010;P8ASM-CAND-013;P8ASM-CAND-017;P8ASM-CAND-018	real Ondsel grounded solver path	supported	S6 verdict: CAD Core hard-requires bundled OndselSolver and focused tests assert only real_ondsel_solver; missing grounded part now errors instead of falling back	cad-core/src/assembly/joint_solver.cpp;cad-core/CMakeLists.txt;cad-core/src/assembly/assembly_utils.cpp	test_c3m6_assembly_grounded_joint_matrix_uses_real_ondsel_solver;test_c3m6_assembly_invalid_grounded_distance_rejects_solver_writeback;test_c3m6_assembly_ungrounded_joint_errors_without_fallback	closed; keep native oracle separate
P8ASM-SCOPE-004	P8ASM-CAND-001;P8ASM-CAND-009;P8ASM-CAND-010;P8ASM-CAND-016	legacy representative solver fallback	removed	Representative fallback is removed from C++, C ABI publication, fixtures and focused tests; it is not an executable solver mode and must not be used for no-grounded or unlinked builds	cad-core/src/assembly/joint_solver.cpp;cad-core/tests/test_p8_features.py;cad-core/src/adapters/c_api/c_api.cpp	test_c3m6_assembly_ungrounded_joint_errors_without_fallback;test_adapters capabilities	closed; do not reintroduce fallback
P8ASM-SCOPE-005	P8ASM-CAND-002;P8ASM-CAND-003;P8ASM-CAND-011;P8ASM-CAND-014;P8ASM-CAND-016	placement writeback lifecycle	supported	S7 verdict: documentObjectUpdates.action=assembly_set_placement transport remains stateless Placement suggestions; native placement values, invalid-grounded writeback and request-local Assembly display parity are now covered by P8ASM-SCOPE-006	cad-core/src/assembly/assembly_utils.cpp;cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_object.cpp	test_c3m6_assembly_placement_writeback_applies_to_next_request_graph;test_c3m6_assembly_multi_component_writeback_order_and_target_fields;test_c3m6_assembly_invalid_grounded_distance_rejects_solver_writeback;CadCoreExpectedFixtureTest	closed; keep writeback as frontend graph suggestion, not backend persistence
P8ASM-SCOPE-006	P8ASM-CAND-001;P8ASM-CAND-003;P8ASM-CAND-010;P8ASM-CAND-016	native FreeCAD solver placement oracle	supported	S7 verdict: 9 FreeCADCmd native solver placement expected are checked in and pass cad-core parity; object-level JCS placement, Distance/multi-component writeback, invalid-grounded and ungrounded behavior no longer require known_gap	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c3m6/expected;cad-core/tests/fixture_expected.py;cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly/assembly_object.cpp	CadCoreExpectedFixtureTest;CadCoreP8FeatureTest;cmake --build build --target cad-core cad_core_ffi	closed; future JointType/constraint expansion must open separate unsupported/notCollected scope
P8ASM-SCOPE-007	P8ASM-CAND-005;P8ASM-CAND-006;P8ASM-CAND-007;P8ASM-CAND-010;P8ASM-CAND-012;P8ASM-CAND-016	JointType support matrix	unsupported_remaining	PPJ S5 verdict: current cad-core request-local subset is Fixed/Revolute/Cylindrical/Slider/Ball/Distance/Parallel/Perpendicular/Angle; RackPinion/Screw/Gears/Belt stay diagnostic-only until source+DTO+fixture/oracle+focused tests exist, and complex Distance geometry remains notCollected	cad-core/src/assembly/joint_solver.cpp;cad-core/src/adapters/c_api/c_api.cpp	test_c3m6_assembly_unsupported_joint_stays_diagnostic;JointType source matrix;C3M6 focused scalar Distance/Angle/Parallel/Perpendicular fixtures	keep remaining unsupported without oracle
P8ASM-SCOPE-010	P8ASM-CAND-005;P8ASM-CAND-007;P8ASM-CAND-010;P8ASM-CAND-012;P8ASM-CAND-016;P8ASM-CAND-019	Cylindrical JointType minimal follow-up	supported	S7 follow-up: FreeCAD makeMbdJointOfType maps Cylindrical to ASMTCylindricalJoint; FreeCADCmd native placement expected is checked in; cad-core real Ondsel adapter converts ASMTCylindricalJoint; C ABI capabilities and focused tests remove Cylindrical from unsupported matrix	cad-core/src/assembly/joint_solver.cpp;cad-core/src/adapters/c_api/c_api.cpp;cad-core/fixtures/c3m6/assembly-grounded-cylindrical-joint-real-solver.json;cad-core/fixtures/c3m6/expected/assembly-grounded-cylindrical-joint-real-solver.freecad.json	test_c3m6_assembly_grounded_joint_matrix_uses_real_ondsel_solver;CadCoreExpectedFixtureTest;test_c_api_capabilities_exposes_web_contract_facts	closed; do not expand RackPinion/Screw/Gears/Belt or full Joint constraint in this scope
P8ASM-SCOPE-008	P8ASM-CAND-010;P8ASM-CAND-012;P8ASM-CAND-013;P8ASM-CAND-016	Ondsel hard-link publication	supported	S6 verdict: `CAD_CORE_ENABLE_ONDSEL_SOLVER` was removed; CMake hard-requires bundled OndselSolver and C ABI always publishes `CAD_CORE_HAS_ONDSEL_SOLVER=1` real mode	cad-core/CMakeLists.txt;cad-core/src/assembly/joint_solver.cpp;cad-core/src/adapters/c_api/c_api.cpp;cad-core/tests/fixture_runner.py	cmake configure;capability publication test;focused solver tests	closed; keep publication real-only
P8ASM-SCOPE-009	P8ASM-CAND-001;P8ASM-CAND-002;P8ASM-CAND-003;P8ASM-CAND-018	full persistent Assembly transaction lifecycle	nonGoal	S2 verdict: FreeCAD GUI drag/postDrag, persistent MBD session state, read-only placement side effects and complete transaction lifecycle exceed the stateless CAD Core request boundary	cad-core/src/assembly;docs/CADCore方案/细化方案/11-P8-Part导入导出与Assembly后续.md	docs nonGoal registry only;no C++ or oracle route	Keep nonGoal unless a future protocol explicitly adds frontend-owned Assembly transaction lifecycle
