id	step	phase	status	priority	blocker	source_authority	cad_core_landing	oracle_or_diagnostic	artifact_targets	validation	next_owner	exit_condition
C4-BLK-000	C4-S0	C4-M0	done	C4-P0	4.0 matrix is not yet authoritative enough for implementation	docs/CADCore3.0/00-总览.md;06-C3-M8后续收口清单.md;FreeCAD语义矩阵.md;capabilities-gap对照表.md;oracle-fixture队列.md;cad-core/src/adapters/c_api/c_api.cpp	docs/CADCore4.0/矩阵/*.tsv;docs/CADCore4.0/C4-M*/矩阵/*.tsv;docs/CADCore4.0/C4-M*/工作步骤细分	C3 freeze mapped to C4 source/landing/oracle-or-diagnostic/validation/owner fields	docs/CADCore4.0/矩阵/*.tsv;docs/CADCore4.0/C4-M*/矩阵/*.tsv;docs/CADCore4.0/C4-M*/工作步骤细分	python3 ~/.codex/skills/goal-step-runner/scripts/step_goal_queue.py docs/CADCore4.0/C4-M0-目标范围审计与矩阵重建主线/工作步骤细分 --format markdown;git diff --check -- docs/CADCore4.0	C4-S0	C4 matrices reviewed, contradictions fixed, topic package queues remain ordered
C4-BLK-101	C4-S1	C4-M1	done	C4-P1	ProjectOnSurface no longer has a broad surface-family gap	src/Mod/Part/App/FeatureProjectOnSurface.cpp::ProjectOnSurface::execute/tryExecute/getSupportFace/getProjectionShapes/filterShapes/createProjectedWire/projectWire/projectFace/createSolidIfHeight/getOffsetPlacement;FeatureProjectOnSurface.h	cad-core/src/part/part_project_on_surface.cpp;runtime/feature_registry.cpp;tools/collect_freecad_expected.py;adapters/c_api/c_api.cpp	C4-ORC-101 expected-backed Mode=Edges Height=0 Offset=0 single SupportFace single edge/wire Projection;deferred diagnostics for Faces/All height offset multi projection	cad-core/fixtures/c4m1/part-project-on-surface-edge-plane.json;cad-core/fixtures/c4m1/expected/part-project-on-surface-edge-plane.freecad.json;cad-core/fixtures/c4m1/part-project-on-surface-deferred-boundaries.json	C4-VAL-101	C4-S1	ProjectOnSurface first slice expected and stable deferred diagnostics exist
C4-BLK-102	C4-S2	C4-M1	done	C4-P1	RuledSurface wire/wire and Loft profile/Linearize first-batch boundary closed with complex profile deferred	src/Mod/Part/App/TopoShapeExpansion.cpp::makeElementRuledSurface;PartFeatures.cpp::Loft::execute	cad-core/src/part/part_ruled_surface.cpp;part_loft.cpp;topo_shape_expansion.cpp	C4-ORC-102 expected-backed BRepFill::Shell;C4-ORC-103 expected-backed Linearize face/vertex profile;complex profile family deferred	cad-core/src/part/part_ruled_surface.cpp;part_loft.cpp;topo_shape_expansion.cpp;fixtures/c4m1;capabilities	C4-VAL-101	C4-S3	wire/wire and Loft Linearize/face/vertex rows supported;complex profile remains explicit deferred boundary
C4-BLK-103	C4-S3	C4-M1	done	C4-P1	Sweep advanced, Filling advanced, GeomPlate advanced remain deferred	src/Mod/Part/App/PartFeatures.cpp::Sweep::execute;AppPartPy.cpp::makeFilledFace;Tools.cpp::makeSurface;GeomPlate/BuildPlateSurfacePyImp.cpp	cad-core/src/part/part_sweep.cpp;part_filling.cpp;part_geomplate.cpp;topo_shape_expansion.cpp	C4-ORC-104 Sweep multi-profile/Linearize expected-backed plus advanced wrapper deferred diagnostics;C4-ORC-105 Filling Surface/Supports/Orders/non-default params deferred diagnostics;C4-ORC-106 GeomPlate advanced approximation expected-backed plus wrapper/2D/initial-surface deferred diagnostics	cad-core/src/part/part_sweep.cpp;part_filling.cpp;part_geomplate.cpp;cad-core/fixtures/c4m1/part-sweep-*.json;part-filling-advanced*.json;part-geomplate-advanced*.json;adapters/c_api/c_api.cpp	C4-VAL-101	C4-S4	expected-backed and deferred branches are split with concrete owner;full surface family is still not claimed
C4-BLK-201	C4-S4	C4-M2	done	C4-P1	PartDesign Revolution/Groove first slice classified and implemented against product target	src/Mod/PartDesign/App/FeatureRevolution.cpp;FeatureGroove.cpp;FeatureRevolved.cpp;FeatureSketchBased.cpp;Body.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	cad-core/src/part_design/feature_revolution.cpp;feature_groove.cpp;feature_revolved.cpp;body.cpp;part/topo_shape_expansion.cpp	C4-ORC-201 native expected-backed axis+Angle Revolution/Groove plus deferred diagnostics for TwoAngles/UpTo*/ThroughAll/Profile subshape/FuseOrder=FeatureFirst	cad-core/fixtures/c4m2/partdesign-revolution-axis-angle-body.json;partdesign-groove-axis-angle-body.json;partdesign-revolution-groove-deferred.json;partdesign-revolution-invalid-angle.json	C4-VAL-201	C4-S5	Revolution/Groove supported/deferred/non-goal state and oracle policy are recorded with passing focused validation
C4-BLK-202	C4-S5	C4-M2	done	C4-P1	PartDesign Loft/Pipe/Boolean/Datum target scope not executable	src/Mod/PartDesign/App/FeatureLoft.cpp;FeaturePipe.cpp;FeatureBoolean.cpp;Datum*.cpp;Body.cpp	cad-core/src/part_design/feature_boolean.cpp;cad-core/src/part_design/feature_loft.cpp;cad-core/src/part_design/feature_pipe.cpp;cad-core/src/part_design/datum_*.cpp;cad-core/src/part/topo_shape*	C4-ORC-202 Boolean native expected-backed;C4-ORC-203 Datum existing supported plus attachment diagnostic;C4-ORC-204 Loft Additive/Subtractive Body first slice expected-backed;C4-ORC-205 Pipe Additive/Subtractive Body first slice expected-backed with deferred diagnostics	cad-core/src/part_design/feature_boolean.*;cad-core/src/part_design/feature_loft.*;cad-core/src/part_design/feature_pipe.*;cad-core/src/part_design/datum_*;cad-core/fixtures/c4m2/partdesign-boolean-*;cad-core/fixtures/c4m2/partdesign-loft-*;cad-core/fixtures/c4m2/partdesign-pipe-*;cad-core/fixtures/c4m2/partdesign-datum-attachment-deferred-diagnostics.json;docs/CADCore4.0/C4-M2-PartDesign-LoftPipeBooleanDatum主线/矩阵/*.tsv	C4-VAL-201	C4-S12	LPBD families have source/fixture-oracle/diagnostic/support-deferred-non-goal records;Boolean, Loft and Pipe first slices are implemented;Datum Attachment pressure has stable unsupported diagnostic and no solver overclaim
C4-BLK-301	C4-S6	C4-M3	done	C4-P1	Sketcher solver-facing expansion needed DTO/source matrix	/Users/li/Chili3DProject/FreeCAD/src/Mod/Sketcher/App/Constraint.h;Sketch.cpp;SketchObjectConstraints.cpp;SketchObjectGeometry.cpp;SketchObject.cpp;PropertyConstraintList.cpp	cad-core/src/sketcher;cad-core/src/runtime;cad-core/src/adapters/c_api/c_api.cpp	C4-ORC-301 request fixtures and unsupported_sketch_constraint_relation diagnostic	sketcher source files;cad-core/src/sketcher;cad-core/fixtures/c4m3/sketch-constraint-*.json;docs/CADCore4.0/C4-M3-SketcherConstraintFacing扩展主线/矩阵/*.tsv	C4-VAL-301	C4-S6	constraint rows classified supported/deferred/diagnostic/non-goal without full GCS solver
C4-BLK-302	C4-S7	C4-M3	done	C4-P1	ExternalGeometry/InternalShape pressure cases are expected-backed or locatable deferred diagnostics	src/Mod/Sketcher/App/SketchObjectExternal.cpp;SketchObject.cpp;src/Mod/Part/App/FaceMaker*.cpp;WireJoiner.cpp;TopoShape*.cpp	cad-core/src/sketcher;cad-core/src/part/face_maker.cpp;wire_joiner.cpp;part/topo_shape*	C4-ORC-302 c4m3/sketch-external-internal-* expected-backed and diagnostic fixtures	cad-core/fixtures/c4m3/sketch-external-internal-*;cad-core/tests/test_p5_sketch.py;cad-core/tests/test_p6_topology.py;cad-core/tests/test_adapters.py;cad-core/src/adapters/c_api/c_api.cpp	C4-VAL-301	C4-S7	ExternalGeometry Frozen/Detached/Missing, ReferenceShadow single subshape snapshot, InternalShape bounded/open/self-intersection/split mixed cases and stable-loss diagnostics are covered
C4-BLK-401	C4-S8	C4-M4	done	C4-P0	Long edit chain topo/reference pressure matrix missing	src/App/PropertyLinks.cpp;ElementMap.cpp;MappedName.cpp;src/Mod/Part/App/PropertyTopoShape.cpp;TopoShape*.cpp;TopoShapeMapper*.cpp	cad-core/src/app;cad-core/src/part/topo_shape*	C4-ORC-401 matrix designed with updated/unchanged/needs_reselect/diagnostic_only pressure rows	docs/CADCore4.0/C4-M4-ReferenceRecovery-TopoNamingPressure主线/矩阵/topo_reference_pressure_matrix.tsv;docs/CADCore4.0/矩阵/*.tsv	C4-VAL-001;C4-VAL-002;C4-VAL-401 for S9 implementation	C4-S9	matrix includes mixed producer/reference pressure cases and explicit S9 owner/boundaries
C4-BLK-402	C4-S9	C4-M4	done	C4-P0	Pressure fixtures implemented and published	src/App/PropertyLinks.cpp;src/Mod/Part/App/TopoShape*.cpp;cad-core capabilities	cad-core fixtures/tests/adapters	C4-ORC-401 12 pressure fixtures implemented with expected-backed source evidence or classified stable diagnostics from topo_reference_pressure_matrix.tsv	cad-core/fixtures/c4m4/topo-reference-pressure-*.json;cad-core/tests/test_p6_topology.py;cad-core/tests/test_adapters.py;cad-core/src/adapters/c_api/c_api.cpp;docs/CADCore4.0/C4-M4-ReferenceRecovery-TopoNamingPressure主线/矩阵/topo_reference_pressure_matrix.tsv	C4-VAL-401 S9 focused run;queue output;git diff --check -- docs/CADCore4.0 cad-core	done_C4-S9	pressure fixtures pass or are classified with stable diagnostics; no scenario outside the S8 matrix and no output-order/bbox/fixture-name alias
